cbsa,theta_hat_age,se_age,theta_tilde_age,prior_share_age,n_eff_age,theta_hat_edu,se_edu,theta_tilde_edu,prior_share_edu,n_eff_edu,theta_hat_race,se_race,theta_tilde_race,prior_share_race,n_eff_race,couple_sides_n_alloc,couple_sides_kish
10180,0.9399858647304568,0.02498549241004628,0.9477118778430478,0.13138548298496303,1353.7671850822699,1.0888632719499878,0.05843147943763592,1.0466389354688073,0.394514132330601,1104.8272097704717,0.8764464599910055,0.03796152532854285,0.8815207976206971,0.09252288605417712,1028.8533424238497,3650.114537583317,1797.531485557892
10420,1.059448070156922,0.018316418411746645,1.0548879879796436,0.07517687440702121,3226.8165984618486,1.0191606214118316,0.03398003896703971,1.012420925496729,0.18056277596768552,2622.4403043875786,1.0315662909487207,0.024899519930109044,1.027352626976125,0.04202078999910375,4047.932721405958,11596.0,6462.023436148507
10500,0.9789808431627768,0.031206385270444684,0.9827626111369108,0.19090984370210023,956.6079546591243,1.092351431806758,0.06718716594460596,1.0412054867761336,0.46278860098850083,725.9700766963895,1.2247374977735939,0.0504575590225332,1.179947662701192,0.15263352452748793,934.8007142622612,1924.037530405967,1181.0367533335934
10540,0.9797530366935097,0.033487326132861865,0.9838204250114122,0.2136571219643148,824.302488600288,1.2030331185053487,0.06772201914850179,1.0997923554740536,0.46673345078209083,905.3261789061377,0.8034990206125886,0.04622585619457973,0.8202814512427723,0.13132658193928182,1327.1779306557107,2505.110277098992,1376.539254019145
10580,1.0326352575644304,0.014485889198711317,1.0309977086878073,0.04838344412336753,4813.957126332335,0.9017836541228245,0.022528306740834076,0.9088523447852952,0.08830243612016496,5609.146261580958,1.0043239627569034,0.015693652368886445,1.0030731475945127,0.017126625764015965,7819.181412746443,17403.288702928832,9214.248404798867
10740,0.9359040522443893,0.016855490681864,0.9399541848109192,0.06440438675190789,3041.7313547648014,0.9426581385527484,0.02771712144285293,0.9476673629395145,0.1278632209422227,4017.8460570274797,0.6862491524689845,0.013568731972701104,0.6893999735213341,0.012858319079449284,5365.167235657988,12285.050096661753,6449.335772088991
10780,0.9483600594656886,0.023704048363990458,0.9544029662919983,0.11982769883472048,1585.8031010532836,0.9637106162610982,0.048846902849455115,0.9693811810638253,0.3128768520951544,1627.9848740574403,0.9801666747166649,0.028029568709305612,0.9775929499925411,0.05265816581665522,2352.7181408744423,3124.3405630361985,1954.5864786085676
10900,0.9937434632147444,0.01395495762803651,0.9939708545353324,0.04505865402031226,4869.641417036504,0.9124335734416779,0.02122307607329154,0.9179268883603261,0.07915325991099842,6707.390876251297,1.0400615111464382,0.021841672842843753,1.036510153169362,0.032649885596758736,3855.6332764748486,13508.0,7107.900919502405
11020,1.0626348714112215,0.03278828694056011,1.0494410606860698,0.20665428215711476,1010.377666622432,1.0369945287531637,0.044996049978205895,1.0216216381740806,0.27869654405704486,1725.6487887007709,0.961608026245834,0.09722145526887761,0.9494585682424643,0.40074166570382663,927.0557062076878,3501.613254107838,2132.298809655404
11100,0.9908602587765744,0.023944763367051203,0.9918274952986699,0.12197540116062003,1650.670209737062,1.0880897440602737,0.054176253141802265,1.049941528781871,0.3590245341796941,1288.789387511708,0.8744718391921201,0.031012675205032095,0.8780918200353627,0.06371101951516371,1371.9023113624046,4731.349313565846,2423.100869080948
