sex_s,age_s,age_c,raw_share,fitted_share,raw_weight
male,25,18,0.0009547864605700029,0.033693884976632914,417.3255622119225
male,25,19,0.0039258540437141125,0.041992381902242304,1715.9431072963148
male,25,20,0.012027544502641482,0.055753699967258596,5257.093579434731
male,25,21,0.029961079710613143,0.07175785545928773,13095.623944272638
male,25,22,0.06309297819019591,0.09808413353386966,27577.17425017632
male,25,23,0.12441640461566526,0.12641692604951993,54380.89892227971
male,25,24,0.21397540014945482,0.15501113392893712,93526.04781762636
male,25,25,0.26166772934056415,0.16362324588409433,114371.78549282721
male,25,26,0.13309578181572862,0.09223360623830193,58174.549250650925
male,25,27,0.057072684422706924,0.049653962426756786,24945.77698497173
male,25,28,0.02958659909186959,0.03143551949223727,12931.943015385856
male,25,29,0.01783143507183206,0.020966780748542156,7793.903635746112
male,25,30,0.01487888651266812,0.016063912149758112,6503.38053105578
male,25,31,0.008059116989040436,0.010835491061081186,3522.542125676035
male,25,32,0.006139605183875039,0.008026119150799827,2683.5468357922196
male,25,33,0.0045078727247469955,0.005614636910771169,1970.3364018292982
male,25,34,0.0032790453745838587,0.004337009163160337,1433.2308960997068
male,25,35,0.004085009857084634,0.0034373244045902197,1785.5081797361738
male,25,36,0.0012730191719291207,0.0022080096509847283,556.4212141369438
male,25,37,0.0018383166580872134,0.001733947120909375,803.505877535997
male,25,38,0.0013927496861833198,0.0013014179299786102,608.7539673111211
male,25,39,0.0007164166649321833,0.0009950136731801539,313.13702049390696
male,25,40,0.0011596745198937772,0.0008032757917928878,506.8796437567715
male,25,41,0.0008520316605620918,0.0006175470417736724,372.41268749680063
male,25,42,0.0007574370868269418,0.0004977819450210745,331.0665485468922
male,25,43,0.0003481189784741162,0.0003953569856242906,152.15857619264924
male,25,44,0.00013341301808845576,0.00031724607413242636,58.31320937135565
male,25,45,0.0003007722287376042,0.00025042132216320607,131.4638870986072
male,25,46,0.0003913008814969191,0.0001955214517861075,171.03286138686275
male,25,47,0.0002811419695309219,0.00016352687700681688,122.8837392874372
male,25,48,0.00034392354588522395,0.0001635591921781645,150.32480357836602
male,25,49,0.0003238785647262284,9.040588801743778e-05,141.563385840298
male,25,50,5.490887002518107e-05,0.0001233334359715547,24.0
male,25,51,8.494260989438005e-05,0.00010302521664102527,37.127382816842044
male,25,52,0.00023425532872126264,7.980800689581039e-05,102.39015821545789
male,25,53,1.9943816529384632e-05,8.276930295821539e-05,8.717199907514445
male,25,54,0.0002106483228281981,5.482233950560131e-05,92.07182274117619
male,25,55,3.2542247475605514e-05,6.482029472350219e-05,14.223821015736823
male,25,56,6.274355234831268e-05,7.137610069771674e-05,27.42444445986463
male,25,57,0.0,3.676301824838307e-05,0.0
male,25,58,0.0,6.168590190684014e-05,0.0
male,25,59,0.0002420773259107252,6.685613213951228e-05,105.80905815750751
male,25,60,0.0,0.00010430360069233965,0.0
male,25,61,4.038010820160036e-05,4.9573919094158204e-05,17.649654716878555
male,25,62,2.973324083944427e-05,4.6700660321762814e-05,12.99603834169977
male,25,63,3.294373739510688e-05,0.00010518219061841947,14.39930738184878
male,25,64,2.2540451901915236e-05,2.6667045632170254e-05,9.852157682317587
male,25,65,7.092395711585888e-05,4.751122415587412e-05,31.0
male,25,66,5.203317146902747e-05,5.343829132041901e-05,22.743067097974595
male,25,67,0.00013937456643489503,4.9955127634540766e-05,60.91892972671767
male,25,68,0.0,7.356252217176844e-05,0.0
male,25,69,0.0,1.4924946350170286e-05,0.0
male,25,70,0.0,1.2266329930004855e-05,0.0
male,35,18,5.178116855789124e-05,0.004774906743354424,43.0
male,35,19,0.00013510639283335985,0.005673275332479418,112.19474286949281
male,35,20,0.0003637701286358611,0.006800587629363912,302.0811612981305
