sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,-52,-9.210340371976182,-9.210340371976182,-9.211276672313803
male,-51,-9.210340371976182,-9.210340371976182,-9.211276672313803
male,-50,-9.210340371976182,-9.210340371976182,-9.211276672313803
male,-49,-6.378612089911555,-6.378751464643622,-6.3796877649812425
male,-48,-6.161215097353723,-6.1613497755307,-6.1622860758683204
male,-47,-6.385911977055065,-6.385740291619731,-6.386676591957352
male,-46,-6.158353914553423,-6.1584829048051635,-6.159419205142784
male,-45,-6.3606528457561256,-6.360406218483752,-6.361342518821373
male,-44,-5.975005249404343,-5.97518723385058,-5.976123534188201
male,-43,-6.243382160459707,-6.243241151419936,-6.244177451757557
male,-42,-6.119358170408313,-6.11918384751968,-6.120120147857301
male,-41,-5.675705060394447,-5.67574358487678,-5.6766798852144005
male,-40,-5.505358166294832,-5.505358033200478,-5.506294333538099
male,-39,-5.384203833783919,-5.384321063183476,-5.385257363521097
male,-38,-5.641060452718059,-5.64093021598018,-5.641866516317801
male,-37,-5.537287203445617,-5.53693926237843,-5.537875562716051
male,-36,-4.822313309310187,-4.822598385652321,-4.823534685989942
male,-35,-5.254590644897888,-5.253993781417659,-5.25493008175528
male,-34,-4.470620647952146,-4.4707314215480505,-4.471667721885671
male,-33,-4.319134373161254,-4.319257356442154,-4.320193656779775
male,-32,-4.568091542710414,-4.567886340209182,-4.568822640546803
male,-31,-4.285234968258797,-4.285191653836046,-4.286127954173667
male,-30,-3.9929747977799077,-3.993027721424277,-3.9939640217618977
male,-29,-3.919771023626051,-3.9196917217844187,-3.9206280221220395
male,-28,-3.6668653669334073,-3.6669364810312945,-3.6678727813689154
male,-27,-3.6671617738154407,-3.667031689584573,-3.667967989922194
male,-26,-3.3538573924831248,-3.35391711706438,-3.354853417402001
male,-25,-3.2831838614950035,-3.283157283749337,-3.284093584086958
male,-24,-3.1546954721073535,-3.154656392279471,-3.1555926926170916
male,-23,-2.9549699856252687,-2.954984691395585,-2.9559209917332057
male,-22,-2.8388074426581658,-2.8387912235288817,-2.8397275238665025
male,-21,-2.7019756160044004,-2.701903409351525,-2.7028397096891457
male,-20,-2.4206512758933445,-2.420662173096388,-2.421598473434009
male,-19,-2.2416781261058443,-2.2416697925186893,-2.24260609285631
male,-18,-2.078840767687424,-2.0788105441645803,-2.079746844502201
male,-17,-1.8731554966828685,-1.8731366543532568,-1.8740729546908774
male,-16,-1.6657835323819714,-1.6657755769816525,-1.666711877319273
male,-15,-1.4823205224575555,-1.4823081533065465,-1.4832444536441671
male,-14,-1.3027592596738795,-1.3027282431241516,-1.3036645434617722
male,-13,-1.079648417152077,-1.0796278215886967,-1.0805641219263173
