sex_s,gap,raw_log_mult,smoothed_log_mult,gauged_log_mult
male,-52,-9.210340371976182,-9.210340371976182,-9.210829324586536
male,-51,-9.210340371976182,-9.210340371976182,-9.210829324586536
male,-50,-9.210340371976182,-9.210340371976182,-9.210829324586536
male,-49,-7.434533585537634,-7.4346811033219735,-7.4351700559323275
male,-48,-7.225189292255438,-7.225306731057963,-7.225795683668317
male,-47,-7.405679840278226,-7.405481195320365,-7.405970147930719
male,-46,-7.097423446883194,-7.097556189606766,-7.09804514221712
male,-45,-7.25990552770439,-7.259698841397376,-7.26018779400773
male,-44,-6.919216957213941,-6.919360049731588,-6.919849002341942
male,-43,-7.089368629577739,-7.089282433705989,-7.089771386316343
male,-42,-7.010929258753177,-7.010698640327086,-7.01118759293744
male,-41,-6.486460486030325,-6.486526564139535,-6.487015516749889
male,-40,-6.337584165556278,-6.337562536395901,-6.338051489006255
male,-39,-6.174494518728734,-6.174614358531042,-6.175103311141396
male,-38,-6.403685975812087,-6.403542170490625,-6.404031123100979
male,-37,-6.241845259741556,-6.241555316137097,-6.242044268747451
male,-36,-5.574918331432831,-5.575179055107878,-5.575668007718232
male,-35,-5.934609739888248,-5.934020493513224,-5.934509446123578
male,-34,-5.110512288076412,-5.110613638291801,-5.111102590902155
male,-33,-4.912295136636856,-4.912423948677944,-4.912912901288298
male,-32,-5.140079104184275,-5.139897294470068,-5.140386247080422
male,-31,-4.889251001278618,-4.8891893800255914,-4.889678332635945
male,-30,-4.56767100101965,-4.567701618979388,-4.568190571589742
male,-29,-4.414829413272381,-4.414774922495865,-4.415263875106219
male,-28,-4.161784950829085,-4.161849718996743,-4.162338671607097
male,-27,-4.140886442512263,-4.140753542266823,-4.141242494877177
male,-26,-3.8027781031496906,-3.802837200878272,-3.8033261534886256
male,-25,-3.709726967607184,-3.709696587323835,-3.7101855399341885
male,-24,-3.5518890065597195,-3.551838010479335,-3.5523269630896883
male,-23,-3.300620190357952,-3.3006440807505775,-3.301133033360931
male,-22,-3.169052554775707,-3.169024657328305,-3.1695136099386585
male,-21,-2.988469624536055,-2.9884055294419145,-2.988894482052268
male,-20,-2.6924300632419627,-2.6924343863907625,-2.692923339001116
male,-19,-2.482952567797857,-2.482941346267429,-2.4834302988777823
male,-18,-2.2882046787467543,-2.288173604509927,-2.2886625571202805
male,-17,-2.0549750735301786,-2.0549538764402744,-2.055442829050628
male,-16,-1.8196684510704424,-1.8196501582484517,-1.8201391108588052
male,-15,-1.5888146851863745,-1.588805508766271,-1.5892944613766244
male,-14,-1.3815228121878882,-1.381492312995322,-1.3819812656056756
male,-13,-1.1375280598573758,-1.1375022308239835,-1.137991183434337
male,-12,-0.8808335996726676,-0.88080922616515,-0.8812981787755035
male,-11,-0.6187858597134355,-0.6187391334037079,-0.6192280860140614
male,-10,-0.3024582692574291,-0.30247443611068464,-0.3029633887210382
male,-9,-0.09914296301917197,-0.09910117523349392,-0.09959012784384746
male,-8,0.17283121990022735,0.17285524177341688,0.17236628916306335
male,-7,0.44699773391289394,0.44702331533566236,0.44653436272530883
male,-6,0.7268147876559778,0.7268478535473071,0.7263589009369535
male,-5,1.027545963366721,1.0275601130136482,1.0270711604032947
male,-4,1.2979647291999648,1.2979974680995698,1.2975085154892163
male,-3,1.593671422239578,1.59368188846525,1.5931929358548964
male,-2,1.8534065659667147,1.8534109512491945,1.852921998638841
male,-1,2.076677813177856,2.0766321633084686,2.076143210698115
male,0,2.1427188488383253,2.1425643732443906,2.142075420634037
male,1,1.614874384738258,1.6149792363738753,1.6144902837635218
male,2,1.0691387312707705,1.069279887836535,1.0687909352261815
male,3,0.653494923182167,0.6535838471827066,0.653094894572353
male,4,0.3308977969156116,0.33094990884334463,0.3304609562329911
male,5,0.04968041121086611,0.049710806778097194,0.049221854167743655
male,6,-0.24061083387112137,-0.24056831092956318,-0.24105726353991672
male,7,-0.498562080821108,-0.4985468188246049,-0.4990357714349584
male,8,-0.8078551457549966,-0.8077955114121599,-0.8082844640225134
male,9,-1.0335878882487086,-1.0335568496581107,-1.0340458022684642
male,10,-1.2249178326589065,-1.2249436304873094,-1.225432583097663
male,11,-1.5876585502353573,-1.5875736156211644,-1.588062568231518
male,12,-1.816786455173594,-1.8167708138538756,-1.8172597664642292
male,13,-2.0741998812095623,-2.0741745336385455,-2.074663486248899
male,14,-2.343259347982758,-2.343219825485701,-2.3437087780960546
male,15,-2.577271264845248,-2.5772445718724337,-2.5777335244827873
male,16,-2.801019814175646,-2.80100133256472,-2.8014902851750736
male,17,-3.0404821045819634,-3.040443800541922,-3.0409327531522754
male,18,-3.2316345621111453,-3.231614876981447,-3.2321038295918005
male,19,-3.41575644662558,-3.415740802754352,-3.4162297553647054
male,20,-3.605024447502319,-3.605014308577389,-3.6055032611877427
male,21,-3.8249465531031928,-3.8248936316151427,-3.8253825842254963
male,22,-3.9369742678289796,-3.9369560883388823,-3.937445040949236
male,23,-4.014893516634353,-4.0150048067438675,-4.0154937593542215
male,24,-4.597574658470752,-4.597216772192536,-4.59770572480289
male,25,-4.378246582592459,-4.378353218535414,-4.378842171145768
male,26,-4.503333761408874,-4.503346969554597,-4.503835922164951
male,27,-4.719876237064452,-4.719775709526385,-4.720264662136739
male,28,-4.677473170274603,-4.6775936256804975,-4.6780825782908515
male,29,-5.095310326507611,-5.095076560257893,-5.095565512868247
