sex_s,age_s,age_c,raw_share,fitted_share,raw_weight
male,25,18,0.00088947477512884,0.032920693559452194,418.86580340657594
male,25,19,0.003715726487453481,0.041848958592081695,1749.7862827879005
male,25,20,0.011526567085276902,0.05698123239042082,5428.017654570313
male,25,21,0.02897289661865056,0.0747608562749906,13643.732187266216
male,25,22,0.06177263292182444,0.10321604186698866,29089.575377324887
male,25,23,0.12271624988077977,0.13358213081711356,57788.75583055117
male,25,24,0.21400448545341724,0.15897170467221453,100777.63106780888
male,25,25,0.26175358167426505,0.1604772419217551,123263.33174165459
male,25,26,0.13567609275019638,0.0892282075050746,63891.72260072727
male,25,27,0.0580777789739773,0.04746658669263813,27349.61825812409
male,25,28,0.03003867853852701,0.02953337099314578,14145.623429837528
male,25,29,0.018026489594061765,0.01950974539649271,8488.919818241331
male,25,30,0.014850495637373628,0.014539965841701254,6993.3009457557
male,25,31,0.008101754943644015,0.009679550739448456,3815.226905092496
male,25,32,0.006175727378682966,0.006994500838093627,2908.2342551168254
male,25,33,0.00453971260103669,0.004826436582768703,2137.812582254234
male,25,34,0.0032198833316403087,0.003637374496496846,1516.286977770226
male,25,35,0.004263094802147295,0.0028306790825399267,2007.5494878887057
male,25,36,0.0012844655862406845,0.0018351334805117583,604.8723637506989
male,25,37,0.0017824312517783316,0.001394175745082702,839.3711875471399
male,25,38,0.0014082221808181718,0.0010509340364468368,663.1510320884856
male,25,39,0.0007020341638764846,0.000777015945692957,330.5974630122516
male,25,40,0.0012166718084352433,0.0006306992661724971,572.9473491235783
male,25,41,0.0008446079442438624,0.0004675677208489918,397.7374007914248
male,25,42,0.0007344338044841273,0.0003707427961586697,345.8548956822661
male,25,43,0.00032311354673064815,0.0002983235975165219,152.15857619264924
male,25,44,0.0001463853813625928,0.00024387831636304841,68.93487267532558
male,25,45,0.0003114226075557399,0.0001986716372339448,146.653153479154
male,25,46,0.00038928511055618206,0.0001523060468360004,183.31966813079552
male,25,47,0.0003737415638839381,0.0001378429350106371,176.0
male,25,48,0.0003703847535728783,0.00012653899297438524,174.41923224003529
male,25,49,0.0003421253385541743,7.255561081245625e-05,161.11148826956156
male,25,50,5.09647587114461e-05,9.421629591090984e-05,24.0
male,25,51,9.086309939025929e-05,8.234522629844691e-05,42.78867281042301
male,25,52,0.00024632966710532285,6.835788366411754e-05,116.0
male,25,53,2.335884774274613e-05,7.416035808533433e-05,11.0
male,25,54,0.00022933311228149605,4.894443895156825e-05,107.9960905126344
male,25,55,5.09647587114461e-05,5.470530966463701e-05,24.0
male,25,56,6.582948000228455e-05,6.272941170877585e-05,31.0
male,25,57,0.0,3.263339011746399e-05,0.0
male,25,58,0.0,5.7978703490361525e-05,0.0
male,25,59,0.00025694732517020743,6.15229918159453e-05,121.0
male,25,60,0.0,0.00010398164956073022,0.0
male,25,61,4.827770714630868e-05,4.6327185824699777e-05,22.734630768519374
male,25,62,3.397650580763073e-05,4.4527907370064416e-05,16.0
male,25,63,4.03471006465615e-05,0.00010447990632955459,19.0
male,25,64,2.760591096869997e-05,3.539412909148188e-05,13.0
male,25,65,6.582948000228455e-05,4.5484283554800856e-05,31.0
male,25,66,5.945888516335379e-05,5.2918778351551916e-05,28.0
male,25,67,0.00015926487097326906,5.9467256676248295e-05,75.0
male,25,68,0.0,8.037834478731854e-05,0.0
male,25,69,0.0,1.5673891011998172e-05,0.0
male,25,70,0.0,1.2108266655328469e-05,0.0
male,35,18,3.5906906515826724e-05,0.003190493453877041,43.0
male,35,19,9.729346892539673e-05,0.003972734342715779,116.51293775329938
male,35,20,0.0002527319926788211,0.0050986353118407214,302.6569743734186
male,35,21,0.0006599902025860273,0.006407383048776352,790.3654607140907
male,35,22,0.0014739728105650552,0.008774304637735096,1765.143171728284
male,35,23,0.0019454648150136198,0.01175784290529726,2329.7742736125974
male,35,24,0.0026089470499849957,0.01501592085120176,3124.321586987925
male,35,25,0.006212467400343423,0.02025424095443933,7439.685679885047
male,35,26,0.009547575139441423,0.023910108628094645,11433.614611579655
male,35,27,0.014086769514031466,0.02927760946528466,16869.486900420237
male,35,28,0.02234034298397984,0.03702609880793885,26753.4811969311
male,35,29,0.03150321139149796,0.044827747337694644,37726.39364622867
male,35,30,0.04912005169408543,0.06060978323973704,58823.28576299642
male,35,31,0.06962526121799517,0.07109228274924888,83379.11902976588
male,35,32,0.09705369681981818,0.08942210821635758,116225.80077770575
