sex_s,age_s,age_c,raw_share,fitted_share,raw_weight
male,25,18,0.0010521193796456736,0.033859501991456466,418.86580340657594
male,25,19,0.004196729866871031,0.0405877699028331,1670.7862827879005
male,25,20,0.012533705929543813,0.05267774136676208,4989.8717820483225
male,25,21,0.032032761033543244,0.06787414854731112,12752.762134430592
male,25,22,0.0649111134479015,0.093796713508188,25842.167923498586
male,25,23,0.1282172376526431,0.12151835365322569,51045.36357654864
male,25,24,0.21037229639293048,0.15273093975108304,83752.6260306952
male,25,25,0.26327197855819756,0.16595434456088548,104812.84818682478
male,25,26,0.12937630638463482,0.09461488360046076,51506.807653163465
male,25,27,0.05602359765049825,0.05118772228484936,22303.903619288496
male,25,28,0.029093155856522095,0.032931011486640405,11582.457596759436
male,25,29,0.01781068060993686,0.022083232925074994,7090.721060010848
male,25,30,0.0146625334840449,0.017823125998681733,5837.392587368393
male,25,31,0.008361669039943375,0.012178856700954734,3328.916174336887
male,25,32,0.006217441374260495,0.00939142081336226,2475.264334775355
male,25,33,0.0042151645342999415,0.0067104307207133595,1678.125423129317
male,25,34,0.0035274732003491432,0.005268150048796965,1404.344340237327
male,25,35,0.0038939091304888065,0.0042605475775203735,1550.2284321420657
male,25,36,0.0011363405841337774,0.002820467267456453,452.3956320213283
male,25,37,0.001830326124134726,0.0022921814369849386,728.6825405116363
male,25,38,0.0012223523077698351,0.0016998282040283758,486.6382953732141
male,25,39,0.0007300080214705178,0.0013306460833095216,290.6280430928575
male,25,40,0.0008542189478075706,0.0010742141867065406,340.07842910282363
male,25,41,0.0009111344158227036,0.000851988153954785,362.7374007914248
male,25,42,0.0008159800311708139,0.0007392219416440349,324.8548956822661
male,25,43,0.0003821963633450097,0.0005768234860439082,152.15857619264924
male,25,44,9.853666918915142e-05,0.0004518936155239648,39.2290474858678
male,25,45,0.00031649048634958024,0.00037233555826854576,126.0
male,25,46,0.0003424117306803877,0.0002570997286408335,136.31966813079552
male,25,47,0.00017080438945850363,0.00020462017563698442,68.0
male,25,48,0.00023465316068296157,0.00022885442639015904,93.4192322400353
male,25,49,0.00018423045475073578,0.0001224285450808278,73.34513452942373
male,25,50,6.028390216182481e-05,0.00019066910521476192,24.0
male,25,51,8.177984121037775e-05,0.00013951875521987187,32.5578822648274
male,25,52,0.00019089902351244524,0.00010362634927458695,76.0
male,25,53,1.7582804797198904e-05,0.00010357287305214141,7.0
