cbsa,theta_hat_age,se_age,theta_tilde_age,prior_share_age,n_eff_age,theta_hat_edu,se_edu,theta_tilde_edu,prior_share_edu,n_eff_edu,theta_hat_race,se_race,theta_tilde_race,prior_share_race,n_eff_race,couple_sides_n_alloc,couple_sides_kish
10180,0.9048392155909858,0.06310568501883354,0.9482089928291202,0.4848416025917446,223.8041691649329,1.1319211684828066,0.13726647178166007,0.9993162063438408,0.7568803773559002,288.1453335417557,0.9108528526137973,0.07475810822015778,0.9082689617897362,0.24870284915019691,292.8331525884191,810.5395411167939,373.0070402921905
10420,1.06195364229768,0.0379523290204176,1.044770073458968,0.2539581605525096,736.7934802940048,0.9185891813935516,0.0708235514133397,0.9358702825549802,0.4531841924566807,759.4615835541348,1.0781627904088276,0.046641321023185286,1.057879297851663,0.11414496420270454,1347.0242676701853,2730.0,1621.8983736811322
10500,0.9036084642872549,0.07169141037590802,0.9533444114979589,0.5484643575677277,160.79028357138554,1.0502294494630167,0.1633343620525394,0.9740126830423934,0.8150859208013964,172.3282363244506,1.2412407407051753,0.12324840048806228,1.0798448311930273,0.47361101204473915,173.93115542978154,407.90476477719244,253.98143106404643
10540,1.0185748306840898,0.07272482921536412,1.0050839299019934,0.5555427809045979,181.88802727445596,1.3212798763837343,0.16903419071872122,1.0204453894216883,0.8252031942803879,206.97764479950087,0.7647864273462169,0.09695336298316581,0.8133106923376087,0.3576455923885046,349.3177616988091,649.7583659919777,368.6564854917664
10580,1.0350379389453734,0.026381719858484382,1.0292823090961931,0.1412518506631069,1443.86732085911,0.8625141395070508,0.05143710357243026,0.8911701141722979,0.30417880791459373,1327.9432276378054,0.9464639756495862,0.03504542644424988,0.9433445026380438,0.06781375622422384,1813.658826963742,4366.443514644347,2280.323628900121
10740,0.9279090149908886,0.03380932792342836,0.9420275688874852,0.21268764633714798,748.845053592603,0.9392994685819717,0.06813593554068093,0.9468623130607542,0.4340890524660648,807.6822520730461,0.6526573231371834,0.034716492732338025,0.6691689291919185,0.06663116349411101,950.740092449946,2998.2543650008356,1604.5683433054537
10780,0.8436291564681918,0.05147212897548879,0.9016404666870519,0.38504403826969436,283.62871761241274,0.9476331215224124,0.12227204877782762,0.9541027394980124,0.711832431879605,375.7797065675263,1.000202293536808,0.06624980706816702,0.9796231927801371,0.20632971162509706,428.9247391438452,754.004980141633,467.5900707544904
10900,0.9453199281863336,0.030963696375812453,0.9543661497814342,0.18472714099542592,886.276842380903,0.7741257785863173,0.05800495543230377,0.8393657709610223,0.3572914181252558,1121.4499379665779,0.9228105356124605,0.04539561417766404,0.920379532102849,0.10878358844764957,901.9896525843329,2890.0,1578.814877604308
11020,0.9805974630999099,0.06433543960818507,0.9873685673863113,0.49448706880364673,217.3584635228849,0.908981353773601,0.13044962904304633,0.9441969833315681,0.7376476426453124,290.1748096767559,0.8854104830495946,0.22171641601281958,0.896615218996079,0.7443573246574845,204.36099344004654,658.8503728854661,428.832057176674
11100,0.9723758634292478,0.05093382577737037,0.9807051805693148,0.3800774778208032,355.621135053203,1.00330113499273,0.14824999688351792,0.9667792089463487,0.7840800671465363,241.7963746918123,0.8041360301718741,0.07588248892067379,0.8286343190341763,0.2543232869577652,255.0878667653871,922.6930617617518,462.3624871713579
11180,1.360502656131694,0.10480535681107872,1.0961320032969766,0.7219060244918796,138.85813342929163,1.214438879587314,0.181034183243905,0.9968958593729116,0.8441156588574869,158.10821845497046,0.7115091342175378,0.15433234105087465,0.8220852375287514,0.5852004087205867,135.22389574869013,456.0,263.6009705476273
11200,1.032518129490678,0.05525138962767012,1.0164971592755805,0.4190956556916647,284.54324229956086,0.8855258727888778,0.096871512458527,0.9288072520508375,0.6079192919927743,347.2752590985261,0.7960230329970689,0.11227691823091243,0.8406696786934822,0.42748464476159337,257.5169408514234,733.8943694035521,430.3237973598272
11260,0.88431586248647,0.046867575356122175,0.9218968663765443,0.34172381179465616,374.0082344378298,0.7729664601475749,0.09528458889769306,0.8832229517884684,0.6000178832964473,448.1413610029301,0.7206728013302787,0.0442455230383847,0.7393542765161267,0.10390686245433563,507.81597857227257,1139.9388238822148,603.6973939621257
11460,1.2178030735740473,0.05823247758197735,1.1183672924327273,0.44487809644493126,393.78184935806865,1.037240896161605,0.11112424712315996,0.9832056542427465,0.6710860685216806,331.9094267587825,0.8115494042473244,0.06058352747352415,0.8274274816958798,0.17857796675628834,481.89999328125134,1196.0,742.4147759234952
