sex_s,age_s,age_c,raw_share,fitted_share,raw_weight
male,25,18,0.0010123254312266077,0.03189568150783413,415.8884663623868
male,25,19,0.004107744830081021,0.03976965478649053,1687.5637466900741
male,25,20,0.012443415971998571,0.05245266127664539,5112.064782007122
male,25,21,0.030750843297693998,0.06773403735782928,12633.211281605405
male,25,22,0.06415137038711452,0.09510706860431319,26354.978569505332
male,25,23,0.1257355505043422,0.12431354555483629,51655.29152332025
male,25,24,0.21390989380527076,0.15539890734122774,87879.5048807787
male,25,25,0.261581402393433,0.16735849533619215,107464.14632546657
male,25,26,0.13105283036173832,0.09484736297193143,53839.762343570794
male,25,27,0.056244573820881126,0.05122724787605716,23106.669877125856
male,25,28,0.029237329234752106,0.03269943809977132,12011.422059445771
male,25,29,0.017683603417396374,0.02190599564172668,7264.86412191631
male,25,30,0.01488059917235026,0.01715632940645663,6113.320259912374
male,25,31,0.008025780475154736,0.011654889740101966,3297.1902416092935
male,25,32,0.006136070350261049,0.00877630637110447,2520.8503202074917
male,25,33,0.00448140912742977,0.006202581645924444,1841.07433406162
male,25,34,0.0033342962283005786,0.0048548260651861954,1369.8118233635566
male,25,35,0.00397750647633819,0.00389580715189299,1634.0585915997406
male,25,36,0.0012696122243704556,0.002509871539587626,521.588280389818
male,25,37,0.001886500921779148,0.002008724726996329,775.0215009409686
male,25,38,0.0013757283125387942,0.0015045176440292274,565.1834087975199
male,25,39,0.0007296232497759086,0.0011647998675460374,299.7473786704843
male,25,40,0.0011114775348432715,0.0009398510737954633,456.6226167035216
male,25,41,0.0008555080660176297,0.000737242139468622,351.46399227135396
male,25,42,0.0007768398891324996,0.0006059003921092557,319.14514852104026
male,25,43,0.0003703733301534549,0.0004798003935105752,152.15857619264924
male,25,44,0.00012533790292144136,0.0003834727842035115,51.49192800571607
male,25,45,0.0002897863602486896,0.00029655038874555373,119.05144454440527
male,25,46,0.0003934014180157497,0.00023051760236471815,161.6190874560122
male,25,47,0.00021402048243239364,0.00018315523258165557,87.92493743943281
male,25,48,0.0003169840081810182,0.0001948696951747128,130.22491479253964
male,25,49,0.00030394179363385667,0.00010567358640428974,124.86684866214915
male,25,50,5.841905297818068e-05,0.00014928690432003752,24.0
male,25,51,7.983083587458693e-05,0.00011974586126699312,32.796492981590845
male,25,52,0.0002273742839953899,9.019189913286567e-05,93.41101126592248
male,25,53,1.6833631209126552e-05,8.913235162056047e-05,6.915674397699199
male,25,54,0.00019189794382168341,5.9377900532063684e-05,78.83644833202894
male,25,55,2.074192270038707e-05,7.220005175776961e-05,8.521297751869046
male,25,56,5.910657888034141e-05,7.86779625213382e-05,24.282452741197645
male,25,57,0.0,4.090291023675612e-05,0.0
male,25,58,0.0,6.521747444889911e-05,0.0
male,25,59,0.00023523356919164648,7.109434803966048e-05,96.63980110578188
male,25,60,0.0,0.00010268018292950404,0.0
male,25,61,3.358113009821599e-05,5.229199796101785e-05,13.795963495988241
