sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,hispanic,nh_aian,bachelors,bachelors,0.7844,-0.2428,4.2
male,hispanic,nh_aian,bachelors,graduate,0.9733,-0.02709,5.8
male,hispanic,nh_aian,graduate,hs_or_less,1.0765,0.07375,6.6
male,hispanic,nh_aian,graduate,some_college,0.9061,-0.09855,1.5
male,hispanic,nh_aian,graduate,bachelors,0.9763,-0.024,4.8
male,hispanic,nh_aian,graduate,graduate,0.8985,-0.10708,1.7
male,hispanic,nh_nhpi,hs_or_less,hs_or_less,1.0685,0.06622,41.8
male,hispanic,nh_nhpi,hs_or_less,some_college,0.9643,-0.03636,18.9
male,hispanic,nh_nhpi,hs_or_less,bachelors,0.9355,-0.0667,2.2
male,hispanic,nh_nhpi,hs_or_less,graduate,0.9773,-0.023,0.8
male,hispanic,nh_nhpi,some_college,hs_or_less,1.1097,0.10411,18.3
male,hispanic,nh_nhpi,some_college,some_college,1.0373,0.0366,23.1
male,hispanic,nh_nhpi,some_college,bachelors,1.0424,0.04156,7.7
male,hispanic,nh_nhpi,some_college,graduate,0.9958,-0.00419,1.8
male,hispanic,nh_nhpi,bachelors,hs_or_less,0.9481,-0.05329,1.7
male,hispanic,nh_nhpi,bachelors,some_college,1.0619,0.0601,8.6
male,hispanic,nh_nhpi,bachelors,bachelors,0.9111,-0.09315,2.2
male,hispanic,nh_nhpi,bachelors,graduate,0.987,-0.01307,2.1
male,hispanic,nh_nhpi,graduate,hs_or_less,0.9733,-0.02711,0.1
male,hispanic,nh_nhpi,graduate,some_college,0.9814,-0.01881,1.0
male,hispanic,nh_nhpi,graduate,bachelors,0.9765,-0.02374,1.1
male,hispanic,nh_nhpi,graduate,graduate,1.052,0.05069,4.4
male,hispanic,nh_twoplus,hs_or_less,hs_or_less,0.889,-0.11763,501.1
male,hispanic,nh_twoplus,hs_or_less,some_college,0.9058,-0.09899,482.0
male,hispanic,nh_twoplus,hs_or_less,bachelors,0.8606,-0.15016,195.6
male,hispanic,nh_twoplus,hs_or_less,graduate,0.8511,-0.16126,72.0
male,hispanic,nh_twoplus,some_college,hs_or_less,0.8903,-0.11624,174.6
male,hispanic,nh_twoplus,some_college,some_college,1.0701,0.06775,577.4
male,hispanic,nh_twoplus,some_college,bachelors,0.9724,-0.02804,272.1
male,hispanic,nh_twoplus,some_college,graduate,1.0484,0.04731,116.9
male,hispanic,nh_twoplus,bachelors,hs_or_less,1.0698,0.06746,68.8
male,hispanic,nh_twoplus,bachelors,some_college,1.1985,0.18105,188.0
male,hispanic,nh_twoplus,bachelors,bachelors,1.0857,0.08221,330.9
male,hispanic,nh_twoplus,bachelors,graduate,1.1383,0.12957,171.5
male,hispanic,nh_twoplus,graduate,hs_or_less,0.9224,-0.08075,13.7
male,hispanic,nh_twoplus,graduate,some_college,1.1189,0.11232,54.1
male,hispanic,nh_twoplus,graduate,bachelors,1.0672,0.06506,106.1
male,hispanic,nh_twoplus,graduate,graduate,0.998,-0.00204,127.4
male,hispanic,nh_other,hs_or_less,hs_or_less,1.1223,0.11534,85.1
male,hispanic,nh_other,hs_or_less,some_college,0.962,-0.03869,51.6
male,hispanic,nh_other,hs_or_less,bachelors,1.0079,0.00789,27.2
male,hispanic,nh_other,hs_or_less,graduate,1.0193,0.01907,12.5
male,hispanic,nh_other,some_college,hs_or_less,0.9406,-0.06119,20.9
male,hispanic,nh_other,some_college,some_college,1.0338,0.03326,57.4
male,hispanic,nh_other,some_college,bachelors,1.0614,0.05957,35.2
male,hispanic,nh_other,some_college,graduate,0.9786,-0.02168,12.4
male,hispanic,nh_other,bachelors,hs_or_less,1.1456,0.13592,14.0
male,hispanic,nh_other,bachelors,some_college,0.9556,-0.04541,12.8
male,hispanic,nh_other,bachelors,bachelors,0.857,-0.15431,22.4
male,hispanic,nh_other,bachelors,graduate,0.9683,-0.03221,16.1
male,hispanic,nh_other,graduate,hs_or_less,1.08,0.07699,5.5
male,hispanic,nh_other,graduate,some_college,1.0517,0.05042,6.8
male,hispanic,nh_other,graduate,bachelors,0.8931,-0.11301,5.6
male,hispanic,nh_other,graduate,graduate,0.9682,-0.03231,14.1
male,nh_white,hispanic,hs_or_less,hs_or_less,0.5096,-0.6741,3286.4
male,nh_white,hispanic,hs_or_less,some_college,0.8647,-0.14541,2657.5
male,nh_white,hispanic,hs_or_less,bachelors,1.2048,0.18634,1197.3
male,nh_white,hispanic,hs_or_less,graduate,1.3488,0.29923,416.4
male,nh_white,hispanic,some_college,hs_or_less,0.6495,-0.43157,2146.1
male,nh_white,hispanic,some_college,some_college,0.9228,-0.08033,4178.0
male,nh_white,hispanic,some_college,bachelors,1.3201,0.27772,2296.6
male,nh_white,hispanic,some_college,graduate,1.5362,0.42931,861.6
male,nh_white,hispanic,bachelors,hs_or_less,0.5919,-0.52446,960.6
male,nh_white,hispanic,bachelors,some_college,0.9682,-0.03236,2053.5
male,nh_white,hispanic,bachelors,bachelors,1.2945,0.25814,4032.0
male,nh_white,hispanic,bachelors,graduate,1.4923,0.40032,1770.0
male,nh_white,hispanic,graduate,hs_or_less,0.6492,-0.43202,360.0
male,nh_white,hispanic,graduate,some_college,0.9796,-0.02063,669.2
male,nh_white,hispanic,graduate,bachelors,1.234,0.21023,1400.1
male,nh_white,hispanic,graduate,graduate,1.365,0.31112,1618.5
male,nh_white,nh_white,hs_or_less,hs_or_less,1.2517,0.22454,43374.3
male,nh_white,nh_white,hs_or_less,some_college,1.1212,0.11444,33185.9
male,nh_white,nh_white,hs_or_less,bachelors,0.9721,-0.0283,15273.0
male,nh_white,nh_white,hs_or_less,graduate,0.9429,-0.05878,5924.6
male,nh_white,nh_white,some_college,hs_or_less,1.0519,0.05056,18253.6
male,nh_white,nh_white,some_college,some_college,0.9678,-0.03274,40944.1
male,nh_white,nh_white,some_college,bachelors,0.9681,-0.03247,26183.6
male,nh_white,nh_white,some_college,graduate,0.9725,-0.02784,11003.0
male,nh_white,nh_white,bachelors,hs_or_less,0.857,-0.15437,7224.1
male,nh_white,nh_white,bachelors,some_college,0.9089,-0.09556,17136.4
male,nh_white,nh_white,bachelors,bachelors,1.03,0.02958,48807.0
male,nh_white,nh_white,bachelors,graduate,1.0256,0.02532,24264.6
male,nh_white,nh_white,graduate,hs_or_less,0.7588,-0.27595,2246.0
male,nh_white,nh_white,graduate,some_college,0.7949,-0.22957,5131.9
