sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,hispanic,nh_aian,bachelors,bachelors,0.7732,-0.25717,4.2
male,hispanic,nh_aian,bachelors,graduate,0.9939,-0.00612,5.8
male,hispanic,nh_aian,graduate,hs_or_less,1.094,0.08988,6.6
male,hispanic,nh_aian,graduate,some_college,0.8812,-0.12647,1.5
male,hispanic,nh_aian,graduate,bachelors,0.9763,-0.02398,4.8
male,hispanic,nh_aian,graduate,graduate,0.8974,-0.10821,1.7
male,hispanic,nh_nhpi,hs_or_less,hs_or_less,1.0481,0.04696,41.8
male,hispanic,nh_nhpi,hs_or_less,some_college,0.9782,-0.02201,18.9
male,hispanic,nh_nhpi,hs_or_less,bachelors,0.9329,-0.06942,2.2
male,hispanic,nh_nhpi,hs_or_less,graduate,0.9747,-0.0256,0.8
male,hispanic,nh_nhpi,some_college,hs_or_less,1.0883,0.08464,18.3
male,hispanic,nh_nhpi,some_college,some_college,1.0382,0.03747,23.1
male,hispanic,nh_nhpi,some_college,bachelors,1.0719,0.06945,7.7
male,hispanic,nh_nhpi,some_college,graduate,1.0023,0.00228,1.8
male,hispanic,nh_nhpi,bachelors,hs_or_less,0.9369,-0.06514,1.7
male,hispanic,nh_nhpi,bachelors,some_college,1.0601,0.0584,8.6
male,hispanic,nh_nhpi,bachelors,bachelors,0.9074,-0.09718,2.2
male,hispanic,nh_nhpi,bachelors,graduate,0.9947,-0.00535,2.1
male,hispanic,nh_nhpi,graduate,hs_or_less,0.9694,-0.03108,0.1
male,hispanic,nh_nhpi,graduate,some_college,0.9752,-0.02508,1.0
male,hispanic,nh_nhpi,graduate,bachelors,0.9745,-0.02585,1.1
male,hispanic,nh_nhpi,graduate,graduate,1.0696,0.06732,4.4
male,hispanic,nh_twoplus,hs_or_less,hs_or_less,0.8557,-0.15583,501.1
male,hispanic,nh_twoplus,hs_or_less,some_college,0.9186,-0.0849,482.0
male,hispanic,nh_twoplus,hs_or_less,bachelors,0.8708,-0.13837,195.6
male,hispanic,nh_twoplus,hs_or_less,graduate,0.826,-0.19119,72.0
male,hispanic,nh_twoplus,some_college,hs_or_less,0.8205,-0.19782,174.6
male,hispanic,nh_twoplus,some_college,some_college,1.0346,0.03406,577.4
male,hispanic,nh_twoplus,some_college,bachelors,1.052,0.0507,272.1
male,hispanic,nh_twoplus,some_college,graduate,1.1071,0.10173,116.9
