cbsa,slug,status,page_title,file_title,source_url,image_url,author,license,license_url,retrieved,sha256,file
42100,santa-cruz-california,ok,"Santa_Cruz,_California",File:Mission_Santa_Cruz_(8321945663).jpg,https://commons.wikimedia.org/wiki/File:Mission_Santa_Cruz_(8321945663).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6a/Mission_Santa_Cruz_%288321945663%29.jpg/1920px-Mission_Santa_Cruz_%288321945663%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"Don DeBold from San Jose, CA, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,2026-09-17,7bc3ce16be40f954bfc1fb6f122500fa7cfc10ceebb488d7ba373dc951977f3d,santa-cruz-california.jpg
31340,lynchburg-virginia,ok,"Lynchburg,_Virginia","File:Lynchburg,_Virginia_(cropped).jpg","https://commons.wikimedia.org/wiki/File:Lynchburg,_Virginia_(cropped).jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4c/Lynchburg%2C_Virginia_%28cropped%29.jpg/1920px-Lynchburg%2C_Virginia_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Quintin Soloviev,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-09-17,e76581e1e1d4fe3b41bab6cd2017d5cbbadfdbaa2ac73b99c74a2899c2a58e04,lynchburg-virginia.jpg
28020,kalamazoo-michigan,ok,"Kalamazoo,_Michigan",File:Kalamazoo.jpg,https://commons.wikimedia.org/wiki/File:Kalamazoo.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Kalamazoo.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,User Mxobe on en.wikipedia,Public domain,,2026-09-17,20d4ef49e561bcdb723ec181b8031bb8cdcc49c73d6a20f42dac05a7172d3157,kalamazoo-michigan.jpg
22020,fargo-north-dakota,ok,"Fargo,_North_Dakota",File:Downtown_Fargo_Aerial_-_Facing_Southeast_(51009704407).jpg,https://commons.wikimedia.org/wiki/File:Downtown_Fargo_Aerial_-_Facing_Southeast_(51009704407).jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/eb/Downtown_Fargo_Aerial_-_Facing_Southeast_%2851009704407%29.jpg/1920px-Downtown_Fargo_Aerial_-_Facing_Southeast_%2851009704407%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,formulanone,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,2026-09-17,0982522a5cbb52285b495871ccdf7e84ec614165f57db61abffa52529e3c659c,fargo-north-dakota.jpg
13460,bend-oregon,ok,"Bend,_Oregon","File:20210803_03_Bend,_Oregon.jpg","https://commons.wikimedia.org/wiki/File:20210803_03_Bend,_Oregon.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/1/11/20210803_03_Bend%2C_Oregon.jpg/1920px-20210803_03_Bend%2C_Oregon.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,David Wilson,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,2026-09-17,ec3344761aed1881b8db4b271d2f9ed021828eb1139f31aaedaff9f80445a086,bend-oregon.jpg
49420,yakima-washington,ok,"Yakima,_Washington","File:Yakima,_Washington_skyline.jpg","https://commons.wikimedia.org/wiki/File:Yakima,_Washington_skyline.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9c/Yakima%2C_Washington_skyline.jpg/1920px-Yakima%2C_Washington_skyline.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Quintin Soloviev,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-09-17,46f403bb6bf59228d813f545fdff730ab108019314fdb7d8122b5db2257f52c1,yakima-washington.jpg
19300,daphne-alabama,download_failed,,,,,,,,,,
11540,appleton-wisconsin,ok,"Appleton,_Wisconsin",File:Downtown_Appleton_Skyline.jpg,https://commons.wikimedia.org/wiki/File:Downtown_Appleton_Skyline.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/Downtown_Appleton_Skyline.jpg/1920px-Downtown_Appleton_Skyline.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Jasperthedog28,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,45082cb616affbe3de84e89d184a04223bbe794db926a65f778f21d5053aeaa3,appleton-wisconsin.jpg
39150,prescott-valley-arizona,ok,"Prescott_Valley,_Arizona",File:Skyline_of_Prescott_Valley_civic_center.jpg,https://commons.wikimedia.org/wiki/File:Skyline_of_Prescott_Valley_civic_center.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/Skyline_of_Prescott_Valley_civic_center.jpg/1920px-Skyline_of_Prescott_Valley_civic_center.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CZfromPV,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2026-09-17,568edf13bbc1f68ea7a081d2eca1e027d3407af932bc6a95116c942ca2db2455,prescott-valley-arizona.jpg
13780,binghamton-new-york,ok,"Binghamton,_New_York","File:Binghamton,_New_York,_USA.jpg","https://commons.wikimedia.org/wiki/File:Binghamton,_New_York,_USA.jpg",https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/Binghamton%2C_New_York%2C_USA.jpg/1920px-Binghamton%2C_New_York%2C_USA.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Quintin Soloviev,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,2026-09-17,9896a2ced46a7f570dcaa3bf3fff38678ad55d97fb664c080027298c515acb08,binghamton-new-york.jpg
