cbsa,year,agencies,agencies_full_year,covered_pop,coverage,violent_per_100k,property_per_100k,agency_pop_over_census,zero_pop_offense_share
10180,2021,14,8,155356.0,0.8475045272624152,426.761760086511,1797.806328690234,0.9316188988081501,0.001444669170759896
10180,2022,14,11,175038.0,0.95487459411261,381.06011266125074,1607.6509100880953,0.9677980616651001,0.0057126535275635534
10180,2023,14,11,177069.0,0.9659541899754667,366.52378451338177,1418.6560041565717,0.9785448877851531,0.006911718504555451
10180,2024,14,13,185225.0,1.0,346.0655958968822,1400.9987852611687,1.0104471411608233,0.009488827670645853
10180,2025,14,13,185429.0,1.0,366.71718016060055,1337.439127644543,1.0115600104646256,0.018633540372670808
10420,2021,39,26,664840.0,0.9497958518933344,326.99596895493653,1933.3975091751397,1.007764485372481,0.01086026459553742
10420,2022,39,30,679305.0,0.9704606689886311,325.92134608165696,2056.366433339958,0.9970427811000855,0.01377292948991407
10420,2023,39,31,682045.0,0.9743750553585664,324.318776620311,1848.55837957906,0.9980428068150324,0.014627659574468085
10420,2024,39,28,655273.0,0.936128357586338,332.3805497861197,1873.5702523986183,1.0047115497255643,0.017602283539486202
10420,2025,39,29,669336.0,0.9562188741996223,335.8552356365114,1728.4293688072955,1.002954361683586,0.01805131120744794
10500,2021,15,11,139004.0,0.9536581952136177,935.2248856148025,2880.4926476935916,0.9886338036795541,0.011554230339172567
10500,2022,15,10,142328.0,0.9764630054413095,269.0967343038615,1091.141588443595,1.0129410968915613,0.027135678391959798
10500,2023,15,10,139208.0,0.9550577684044869,607.0053445204298,1649.330498247227,0.9940262768561383,0.01935685295035904
10500,2024,15,11,140061.0,0.960909905325131,579.7473957775541,1550.038911617081,0.9965647184278128,0.016809492419248517
10500,2025,15,10,134291.0,0.9213239381128021,854.8599682778444,2225.018802451393,0.9936489409468353,0.012180558872701218
10540,2021,5,4,82226.0,0.6280816697667969,167.83012672390728,1832.7536302386109,0.6280816697667969,0.02431791221826809
10540,2022,5,4,82723.0,0.6318779944071065,172.86607110477135,1928.1215623224498,0.6318779944071065,0.020845070422535212
10540,2023,5,4,83534.0,0.638072801818155,166.39931046041133,1619.6997629707666,0.638072801818155,0.01126573889993373
10540,2024,5,4,85879.0,0.6559850377970806,173.49992431211356,1365.8752430745585,0.6559850377970806,0.026509572901325478
10540,2025,5,4,85289.0,0.6514783345017432,201.66727245014013,1028.2685926672843,0.6514783345017432,0.02509293680297398
10580,2021,41,6,482872.0,0.5331290391886812,301.5291837174241,1707.9060289269205,0.9959790067796794,0.0
10580,2022,41,35,893641.0,0.9866506397339506,271.9212748743623,1899.8680678258943,1.001185845338995,0.0006179196704428424
10580,2023,41,34,882369.0,0.9742054564768249,277.43495068389757,1864.9793907084224,1.0066620792775456,0.006777701886197657
10580,2024,41,33,907592.0,1.0,246.69675360734777,1669.9133531366517,1.024731443115917,0.008436413384255829
10580,2025,41,37,912340.0,1.0,228.20439748339436,1436.7450731087094,1.022152313583567,0.011646821523846704
10740,2021,27,18,909743.0,0.9872291908381,1084.0424163747343,3349.2975488681973,1.0151463698254635,0.016532553035844916
10740,2022,27,19,885412.0,0.9608258291829054,1081.643347955528,3789.196441882423,1.003843200411937,0.017541062031573913
10740,2023,27,18,896833.0,0.973219598179822,1021.8178858271273,3589.185500533544,1.0072018130592935,0.017930084544504607
10740,2024,27,19,927522.0,1.0,903.5904269656137,3480.4565282548556,1.017340591076822,0.014110801309249606
10740,2025,27,20,923409.0,1.0,801.4866651722043,2942.791330818738,1.0105647664015092,0.011662807649429723
10780,2021,6,3,129523.0,0.8596049496896628,996.7341707650379,3987.7087467090787,0.9864255991775511,0.0
10780,2022,6,3,129170.0,0.8572621955283134,972.3620035611984,3520.1672214910586,0.9896576707825855,0.0
10780,2023,6,3,128827.0,0.8549858083403734,964.0836160121714,3363.4253689055863,0.9843217661204754,0.0
10780,2024,6,3,129145.0,0.8570962780947902,1228.8512911843277,3301.715126408301,0.9858880266929356,0.0
10780,2025,6,2,106491.0,0.7067485365332943,1335.32411189678,3479.1672535707244,0.9830807037177209,0.0
10900,2021,92,4,151749.0,0.17372305557686166,80.39591694179204,664.2547891584129,0.9873945491241667,0.0
10900,2022,92,26,235004.0,0.2690338186926095,79.57311364912938,905.5165018467771,0.9960011951767064,0.02771944561108778
10900,2023,92,64,712811.0,0.8160297924124597,150.6710755024824,1266.5348879296196,1.0024407248449074,0.019984478075281333
10900,2024,92,88,861000.0,0.9856773412126464,123.92566782810684,1055.7491289198606,1.01505647896821,0.02214306344469048
10900,2025,92,76,807936.0,0.9249293941347047,127.485345373891,908.8591175538656,1.0190736006758931,0.01989933278707714
11020,2021,21,1,27457.0,0.23118355434620882,80.1252868121062,546.3087737189059,1.0275741464661112,0.0
11020,2022,21,3,30031.0,0.25285622320614043,93.23698844527321,709.2670906729712,1.0215623805119578,0.00823045267489712
11020,2023,21,7,73260.0,0.6168374983211298,215.67021567021567,1336.3363363363364,1.0123173958933855,0.014731369150779897
11020,2024,21,20,120660.0,1.0,165.7550140891762,1273.8272832753191,1.0159379272103128,0.015306122448979591
11020,2025,21,19,118106.0,0.9944336551558197,152.4054662760571,1173.5220903256395,1.0045037841210405,0.01694915254237288
11100,2021,16,9,258737.0,0.951274908634628,651.240448795495,2865.457974700178,0.9724742389321397,0.004158914304476305
11100,2022,16,10,271386.0,0.9977803420257527,636.7314452477283,2802.650099857767,1.0008834004321177,0.0032037590773173856
11100,2023,16,10,270406.0,0.9941772647292627,592.4424753888597,2468.5103141202485,1.0028503865072422,0.0028912179255511385
11100,2024,16,12,274185.0,1.0,551.8172037128217,2130.3134744789104,1.0167369405366735,0.003793010024383636
11100,2025,16,12,274041.0,1.0,482.0446575512423,1946.424075229619,1.0108911314535929,0.00597460791635549
11180,2021,10,5,92988.0,0.7339979634848091,175.29143545403707,1271.131758936637,1.003173174832461,0.1039307128580946
11180,2022,10,6,95307.0,0.7523029197944541,174.17398512176442,1124.7862171718762,1.0121480499183027,0.10484454085321765
11180,2023,10,9,120856.0,0.953973177989849,145.62785463692327,1003.6737936056132,1.0090853836620963,0.07214428857715431
11180,2024,10,9,120261.0,0.9492765634990172,122.23414074388205,980.367700251952,1.004396662640997,0.1016260162601626
11180,2025,10,9,123490.0,0.9747645772652285,89.88582071422788,885.9016924447324,1.031005549109222,0.13184438040345822
11200,2021,22,18,159184.0,1.0,234.94823600361843,709.2421348879285,1.0450328783608862,0.0890909090909091
