cbsa,cross_group_pairing_rate,cross_group_pairing_moe,cross_group_pairing_n
10180,0.1931308832631483,0.01971450169819907,1897.2200124220824
10420,0.10366816447195705,0.007593457854259384,6838.808320944347
10500,0.08674705562281641,0.014470887990280405,1251.9482676424723
10540,0.1842593840265064,0.016751276153536353,1472.1688830601681
10580,0.13623373292175472,0.006062313047520475,9823.724804264704
10740,0.2962072842568834,0.009987481066206158,7013.518634325669
10780,0.150452327352614,0.012752580581098346,2056.9542931746087
10900,0.14166754347728058,0.009111830171798865,7547.79953239571
11020,0.06903356273851072,0.013323913962751824,2261.3419771886884
11100,0.21442800464007472,0.01729647795482453,2577.5350542753326
11180,0.1288631090487239,0.022291447591339192,1129.593662245043
11200,0.13980252988279163,0.013499092520890491,2261.3337434995565
11260,0.27337080902700395,0.01773310569679031,2595.712867246906
11460,0.17295842641039866,0.01225590237183293,3723.1910324206306
11500,0.08507709251101321,0.014469609249633966,991.6246455644058
11540,0.09825561164173952,0.012785489773251023,2557.5609580977966
11700,0.12559416539511328,0.00994383402307392,4145.915863678361
12020,0.11217241637587866,0.01305631781404645,2067.0911266095304
12060,0.1409419567570446,0.002950653734405625,48024.077871350324
12100,0.15197843635257413,0.010956609479339156,3489.9814092198767
12220,0.11310425330980757,0.015592716753717553,1875.552750927179
12260,0.14169878381624268,0.009919181146583387,5079.423276487995
12420,0.2531534848223841,0.006916815615002296,19113.266735308123
12540,0.1752394383141404,0.010235247120345708,7045.303127082023
12580,0.15829690122058745,0.004927294144653326,26723.196315419413
12620,0.0979041931392498,0.013899470214322163,1634.342492837568
12700,0.1205187503382409,0.011492123449952667,2435.6746377933723
12940,0.1205222050237503,0.009446408463583082,5105.1410560639415
12980,0.12668511617711536,0.013509708434558074,2184.997381037331
13020,0.10741730920738234,0.012980457721524282,2175.995833443741
13140,0.14836422286963913,0.012522274124807865,3178.471086215803
13220,0.06226136537188821,0.013933492295280804,823.287001218349
13380,0.2146144115850999,0.013371178052347282,2148.3329661503626
13460,0.17479829184923068,0.013928812875190268,2406.0341587329904
13740,0.1632282163787387,0.015976986443506327,1941.265852413092
13780,0.1267250094539074,0.010367635008410946,4096.160496223808
13820,0.08483603112382421,0.004969773056835168,9659.562167141894
13900,0.11075116628560538,0.020773514476695332,846.549787701882
13980,0.0956142208035438,0.01259893017261068,1792.4863847082377
14010,0.11865558179406722,0.012685027481640047,2042.5923818541885
