cbsa,offset
10180,-0.008001903578552412
10420,-0.001518568126629447
10500,-0.010622929715406071
10540,-0.007693954401274396
10580,0.0
10740,0.012075005416587237
10780,-0.035277244625172836
10900,0.006460470965626415
11020,-0.0009098788068508385
11100,0.006181011717163665
11180,-0.0010280314912343835
11200,0.04931560653869789
11260,0.009540657421632258
11460,0.00553009943317461
11500,0.029782895649368302
11540,0.007829043708878655
11700,0.011376013814302468
12020,-0.01893765279079806
12060,-0.010579156470712852
12100,0.0
12220,-0.05196536168283417
12260,0.0
12420,-0.005606156893289066
12540,0.021935423638945767
12580,-0.024367807493865752
12620,0.028694857204140597
12700,-0.005817705787327029
12940,0.007130666393763296
12980,-0.012752549907522953
13020,0.0
13140,0.024014342253422402
13220,0.0
13380,-0.006138247911784857
13460,0.010509141683740474
13740,0.02403005650085793
13780,0.0
13820,-0.012223513599270378
13900,0.013809111625280462
13980,0.025315673230580697
14010,0.0
14020,0.0018574918102217683
14260,-0.0011303123333387597
14460,0.0
14500,-0.0031643767150170313
14540,0.0038906332200666473
14580,0.01934510204584178
14740,0.016370726134389377
14860,0.003609542585889428
15180,0.035411889109917924
15260,-0.020702720631331124
15380,0.00016226323187548916
15500,0.004115516694992126
15540,0.001171074136067165
15940,0.019480284889847134
15980,0.0
16020,-0.021722518328933894
16180,-0.06738586330066468
16220,-0.046049399778191294
16300,0.004652196538602797
16540,0.038333710500373666
16580,-0.009992715859306743
16620,0.021621987215371244
16700,0.0
16740,-0.01702910990496443
16820,-0.005347096718046269
16860,0.0
16940,0.002613072574777187
16980,-0.023530133165561247
17020,0.0
17140,-0.020229778233130845
17300,0.00879829498568213
17410,-0.01572059334781011
17420,0.005139778948819474
17660,-0.0049121803578222566
17780,0.01140313397945138
17820,0.017883594349838047
17860,-0.010555114613002176
17900,0.011750638751306384
17980,0.0
18020,-0.01714215466977811
18140,-0.009142751291213249
18580,-0.005181154421178335
18700,0.009642703383136825
18880,0.011385950423734121
19100,-0.021598769811358966
19140,-0.008147542526209285
19300,0.0
19340,0.013945212891752464
19430,0.0016939392477566516
19460,-0.016470386451304577
19500,-0.01817197562156073
19660,0.01117748043157742
19740,0.001615805867437902
19780,-0.007600036618900394
19820,0.0
20020,0.013471445066218005
20100,0.0
20220,-0.01742964180948679
20260,0.000911573715122057
20500,-0.01356199481607911
20580,-0.05964203511891967
20740,0.010777335476757419
20940,0.01467001575946806
21060,-0.006626220239356076
21140,0.017762291113779766
21300,-0.038334678871610364
21340,0.02658188565495787
21420,0.0
21500,0.011994012932282246
21660,0.023391720992098415
21780,-0.005858708453648392
21820,0.0
22020,0.04055254125620683
22140,0.005011609787151834
22180,-0.0014337637125098888
22220,0.016164919229923285
22380,-0.0026033587749052355
22420,0.0
22500,-0.0006389806231723964
22520,-0.03909580826720267
22540,0.0
22660,0.020801124735000547
22900,-0.029846077981404675
23060,-0.02188123651472135
23420,-0.001155520735846105
23460,0.005251407619528361
23540,-0.011555588622716351
23580,0.0
23900,0.01100730859235122
24020,0.030449108703167957
24140,0.0
24220,-0.06849280849085848
24260,-0.00778949619120888
24300,0.012806529449295136
24340,-0.014735930575396222
24420,-0.06040275642536106
24500,-0.03186129484414649
24540,0.019938113503084342
24580,0.004336359915339156
24660,-0.003021045633095872
24780,0.008755369660754242
24860,0.008955380786364653
25060,0.0
25180,-0.02476726159093922
25220,-0.005137199087688847
25260,0.0307401784873889
25420,0.016496085473745887
25500,0.012009387126595652
25540,0.0
25620,0.0
25740,-0.05730750832916553
25860,0.0
25940,0.0
25980,-0.027602157336340447
26140,0.008101821002629026
26300,-0.03300011601713867
26380,-0.04193055959808423
26420,-0.009724369561724485
26580,-0.02939389192926309
26620,0.013914044603479971
26820,0.0
26900,-0.01134185990745616
26980,0.012421882629033187
27060,0.0023300173579855698
27100,0.0
27140,-0.021816233286347145
27180,-0.007021585483909943
27260,0.0
27340,0.0177337870749604
27500,0.02866573823837924
27620,-0.03802224109577949
27740,0.0
27780,0.017770864434143687
27860,-0.006153119414860339
27900,0.011046295200231362
27980,-0.018348314142710972
28020,0.013897278822088192
28100,-0.029996481194960758
28140,-0.023792329639807562
28420,0.009157551205527928
28450,-0.008191459877153816
28660,0.00908554860814183
28700,-0.01743270413127877
28740,0.019792482186939672
28880,-0.0030939999609681675
28940,5.8701262926696744e-05
29020,-0.04634488885802732
29100,-0.002115011948414493
29180,0.005539863469116477
29200,0.0
29340,0.014980230370669461
29420,0.01258470724367186
29460,0.0
29540,0.011275596827140208
29620,-0.015398344361728255
29700,0.0
29740,0.0
29820,0.0
29940,-0.004180419699090623
30020,0.01693771379003273
30140,0.0
30300,0.0
30340,0.03711178753989883
30460,-0.012963801654958657
30500,0.0
30620,0.02658286520094227
30700,0.0
30780,0.008587362062204746
30860,-0.034071850220607144
30980,-0.00035106451624012974
31020,-0.027385312767490556
31080,-0.023276290010746423
31140,-0.006154347086096347
31180,-0.00029804444680656974
31340,0.0017486021350440629
31420,0.0
31540,0.013232423877279511
31700,0.001973391051259453
31740,0.01813868991787143
31860,0.04186892746213644
31900,0.0
32580,0.01027770028861392
32780,0.0
32820,-0.008599349262976185
32900,0.0
33100,0.0004726799105919327
33140,0.027602732146270455
33220,-0.051858094304432285
33260,0.005146246778913899
33340,-0.0346168683759652
33460,-0.013682561838911925
33500,0.01830539521322372
33540,-0.009379558783306232
33660,0.04183543557417746
33700,0.022427623935930233
33740,0.012144209325916361
33780,0.009390628118497042
33860,0.022222245887643415
34060,-0.029280910693866735
34100,0.005251158865584215
34580,0.0
34620,0.0
34740,0.011374361384546405
34820,0.006005292094502277
34900,0.030170645372249477
34940,0.00628668059761412
34980,0.0
35300,0.005902231728292216
35380,0.0
35620,-0.024625078742527628
35660,0.0
35840,0.021490296591687583
35980,0.0
36100,0.014255456105807024
36220,0.03396037472878093
36260,-0.0014241029161570521
36420,0.0
36500,0.010946571212250764
36540,-0.007745121769935298
36740,0.0033460284266097974
36780,0.0
36980,0.0
37100,0.02079332918007355
37140,-0.08808751829618064
37340,0.0300253014363948
37460,-0.015573789024943592
37620,-0.006709629041846577
37860,0.006810218051084735
37900,0.004370124746735813
