sex_s,race_s,race_c,edu_s,edu_c,multiplier,log,sides_alloc
male,hispanic,nh_aian,bachelors,bachelors,0.7685,-0.26335,4.2
male,hispanic,nh_aian,bachelors,graduate,0.9901,-0.00991,5.8
male,hispanic,nh_aian,graduate,hs_or_less,1.0974,0.09295,6.6
male,hispanic,nh_aian,graduate,some_college,0.878,-0.13009,1.5
male,hispanic,nh_aian,graduate,bachelors,0.9758,-0.0245,4.8
male,hispanic,nh_aian,graduate,graduate,0.8905,-0.11599,1.7
male,hispanic,nh_nhpi,hs_or_less,hs_or_less,1.0538,0.05236,41.8
male,hispanic,nh_nhpi,hs_or_less,some_college,0.9767,-0.02355,18.9
male,hispanic,nh_nhpi,hs_or_less,bachelors,0.9295,-0.07316,2.2
male,hispanic,nh_nhpi,hs_or_less,graduate,0.9731,-0.0273,0.8
male,hispanic,nh_nhpi,some_college,hs_or_less,1.0935,0.08939,18.3
male,hispanic,nh_nhpi,some_college,some_college,1.0384,0.03771,23.1
male,hispanic,nh_nhpi,some_college,bachelors,1.0751,0.07241,7.7
male,hispanic,nh_nhpi,some_college,graduate,1.0022,0.00217,1.8
male,hispanic,nh_nhpi,bachelors,hs_or_less,0.9351,-0.06707,1.7
male,hispanic,nh_nhpi,bachelors,some_college,1.0618,0.05999,8.6
male,hispanic,nh_nhpi,bachelors,bachelors,0.9044,-0.10046,2.2
male,hispanic,nh_nhpi,bachelors,graduate,0.9941,-0.00589,2.1
male,hispanic,nh_nhpi,graduate,hs_or_less,0.9681,-0.03238,0.1
male,hispanic,nh_nhpi,graduate,some_college,0.9736,-0.02672,1.0
male,hispanic,nh_nhpi,graduate,bachelors,0.9733,-0.02702,1.1
male,hispanic,nh_nhpi,graduate,graduate,1.0718,0.0693,4.4
male,hispanic,nh_twoplus,hs_or_less,hs_or_less,0.8315,-0.18453,501.1
male,hispanic,nh_twoplus,hs_or_less,some_college,0.917,-0.08669,482.0
male,hispanic,nh_twoplus,hs_or_less,bachelors,0.879,-0.129,195.6
male,hispanic,nh_twoplus,hs_or_less,graduate,0.8358,-0.17933,72.0
male,hispanic,nh_twoplus,some_college,hs_or_less,0.7929,-0.23204,174.6
