cbsa,theta_hat_age,se_age,theta_tilde_age,prior_share_age,theta_hat_edu,se_edu,theta_tilde_edu,prior_share_edu,theta_hat_race,se_race,theta_tilde_race,prior_share_race
10180,0.9191060756944158,0.04461645242985049,0.9427696878913577,0.3044245489222669,1.1493200919376734,0.1159612255870825,1.0240459732257792,0.6912771493085735,0.844090355206444,0.05677614145465243,0.8566383408796598,0.17897382924578373
10420,1.0464175605484312,0.026423714621019015,1.0398195679485804,0.1330798206737114,0.9956871854476772,0.057264410515575494,0.9859433151984373,0.35318776322310497,1.0397978090180695,0.037925788491896026,1.0286642089888218,0.08864562401788614
10500,0.922303210872834,0.055330552046478035,0.9522890511349854,0.40230475275872374,1.1459821982377185,0.11872082910871994,1.0212460574425477,0.7012242945799778,1.254692628059994,0.09401397165395323,1.1273142231065838,0.374101522700103
10540,1.0139894314922284,0.05204245853522914,1.0075882011002022,0.37322602493981893,1.3190974572286314,0.1337911878918664,1.0562747536043695,0.7487855557165739,0.7474103397473768,0.07274524317783221,0.7913673120063085,0.2635456323016385
10580,1.0365715429360018,0.020123976765653657,1.0333230373958837,0.08175797632552574,0.8469154171525192,0.04253558520362719,0.8749721336517082,0.2315227496673993,0.9668388862192249,0.027346633077099163,0.9643050385106118,0.04813741494827806
10740,0.9179375256324241,0.02611863787666549,0.9282280130821032,0.13042306820074615,0.9090358776885996,0.05561493222868716,0.9291144023113744,0.3399512640078999,0.6812409311797303,0.025656825720182477,0.6911692012093751,0.04261788933783307
10780,0.8808318492688227,0.037353866290833974,0.908065056989632,0.23475587846706678,0.976851968543685,0.09071454997902118,0.9717916881061776,0.578110270993682,0.9640199610326922,0.04707417282989405,0.9575273753748167,0.13032380686654593
10900,0.9523995398111126,0.021887890239988522,0.9566342482104014,0.09529302178338571,0.8154887317712931,0.045811302813733926,0.8550094570308044,0.25896533866213994,0.9608051398638158,0.03632178773284033,0.956987934473497,0.08190715060136788
11020,0.9925655338740631,0.0500156666869932,0.9940816822957708,0.35483596284701574,0.9687407709754617,0.10190151958430002,0.968334049837001,0.6335783233446773,0.80785146941668,0.16697775697345363,0.8773440486194667,0.6534351743553085
11100,0.9531640579969227,0.036988252414296416,0.963263315265538,0.2312403262346072,1.06541179479663,0.1144665219202002,0.9986830844196461,0.6857124244638144,0.8189696054856869,0.05730790223406939,0.8362760158220286,0.18172993358330525
11180,1.31748677119941,0.07441074418977864,1.1414469762412618,0.5490118855943281,1.215557910408194,0.14714819242235533,1.0218298242630697,0.7828691688303301,0.8163819684840827,0.1228281013817285,0.8657811895171151,0.5050058015294923
11200,1.0365845757589232,0.039775646184281456,1.02632717494885,0.258072315585818,0.8847935759267621,0.0772103009172572,0.9262931477982056,0.49816273075653594,0.8478847078051325,0.08359923819340746,0.8691679436533172,0.3209348421036042
11260,0.9014119424953528,0.03477809636884942,0.9214574945974371,0.21006294656259902,0.8692745745904447,0.07037602832940501,0.9139402887243226,0.45197117692993366,0.7068833551483222,0.031434327601392836,0.7198687230532924,0.0626351057985275
11460,1.2029446000053894,0.03928479994194009,1.1507284245331935,0.2533459086443018,0.9824920703653618,0.07953502705826836,0.9751084505248783,0.5129921157234087,0.8946349001998196,0.04338972578207688,0.8968446138898541,0.11293534132886389
11500,0.9015735321359819,0.04999511556774959,0.9353589914280023,0.35464781701929066,1.1477487385446652,0.15108403582715343,1.0055182936914864,0.7917089657405052,1.2556723368606715,0.10846210019007754,1.1043795662195275,0.44306151556400647
11540,1.14643047093515,0.03407685154739704,1.1160060210239595,0.20338270151093396,1.1103268394028754,0.0979349837728832,1.022862881257753,0.6149559239250566,1.1254462838668058,0.07869106226679304,1.0630967053332454,0.2951526410447037
11700,0.9708484856710362,0.026788040681887067,0.9743901595625686,0.13627135568099713,1.0577956655595018,0.06190084356322665,1.022857314582767,0.3895159733269051,0.9328324755136425,0.05274844269500874,0.9298820030388996,0.15836028856788564
12020,0.9558471657892897,0.039011625092160516,0.9661242730652627,0.2507150685735784,1.0389940445086177,0.09827965704289149,0.9952787541046307,0.6166183357923777,1.3031973103299506,0.05492571628720894,1.2372848685879543,0.16944236819457156
12060,0.9970487223417024,0.008800692130731636,0.9970451999566721,0.01674348449791918,1.0122529389578028,0.018907019238048824,1.0097722995206548,0.05618139250733052,1.0511620710184115,0.010506881952307583,1.0501471897034538,0.007410002950052763
12100,0.9609411867047927,0.030806308142362498,0.9671382101865131,0.17263268483180227,0.8092213930162793,0.07340251942754909,0.8843548482225625,0.4729019901556602,0.9388921108565461,0.04449873465989696,0.935976304619537,0.11809173834767095
12220,1.066602055978843,0.0467802611055776,1.0439397371515438,0.32484395920390724,1.1663179223702487,0.0875981358762094,1.0551227185011227,0.5609712032850518,1.213181053062323,0.06793354854689072,1.1420678337811587,0.2378527885897626
12260,0.9677139594525473,0.026333889460168722,0.971567001651449,0.13229606788359596,0.9941555003873377,0.06274302711394893,0.9838380551801635,0.3959617353882391,1.064563238002312,0.03831140888887979,1.0509864606236146,0.09029384757093659
12420,1.0393233867460736,0.013319969734303775,1.0377283561497217,0.037543348810279216,0.828994016245083,0.028661380412625972,0.8457324271572596,0.12032948895183944,0.8267181375106682,0.017924745555956436,0.8285784896778707,0.02126531208152042
12540,0.9359107932619529,0.017916332582112286,0.939927228087638,0.06592148307723407,0.9469634096563064,0.06391959060229538,0.9555207650168374,0.40488223187243066,0.9233551125361135,0.030685558107053174,0.9228071231677223,0.05986319461238613
12580,1.0307796037705375,0.012636081947017224,1.0296285021417217,0.03391452767586145,0.9550741468038003,0.02721147314971792,0.9565038089169778,0.10976561260396688,0.9898985376791126,0.01625935384948527,0.988569023141344,0.017563530607731217
12620,0.980665866552638,0.04225231109937334,0.9852244079579338,0.2818702359345287,1.0474574328565776,0.11855915507409197,0.9918545903239244,0.7006529745628811,0.7129578151560643,0.1514936102532369,0.8353437494192915,0.6081492053326221
12700,0.9990647342133308,0.048937471744949605,0.9982968043122303,0.34492227592063035,0.8317014529824635,0.09818139406734297,0.9157420503218423,0.6161452690228699,1.1881638591554395,0.06892888671135126,1.1215453002411757,0.24316646293033448
12940,1.0237241926879614,0.024772504362623717,1.020527929363132,0.11888276023573568,1.0003181413043998,0.05664840570599917,0.9890973759741424,0.34826208841975453,1.140424083341609,0.04184343339016278,1.1164746848087304,0.10586632943547002
12980,0.9610511191222016,0.043001742605929254,0.9713951393156396,0.2890422161064196,1.0615754479611696,0.10769463346129769,0.9999881455602807,0.6588524750115106,0.7756341949087041,0.06752707028669037,0.8082921619355938,0.23568377084246217
13020,0.9741789451029248,0.0475967491804823,0.9817127285470233,0.33247933277031744,1.0491753449978978,0.11836025236715048,0.9924259855344808,0.6999481672620358,1.054419058664105,0.09588124800922082,1.0006656277112143,0.38335620829791184
13140,0.9460240955794885,0.030720248818821277,0.9547557637464622,0.1718350187643683,1.1574159127318175,0.09355267850219375,1.045139308701253,0.5930611291856179,1.0185770734462458,0.047793512629116706,1.0046115452747593,0.13380019962231338
13220,0.8538409161099024,0.05445237073183282,0.9102727589313017,0.3946353562701914,0.5778947468770839,0.13938591222517485,0.875964363900883,0.7638813416487029,0.6165755960879372,0.13175711787880867,0.7772955770817573,0.5400074500025402
13380,1.0530423138949954,0.03937981745328365,1.0387518410564238,0.25426093748336714,0.8702223675602515,0.09093436857825289,0.9269212633429875,0.5792904188986481,0.6545320880480793,0.053054160458829894,0.6960549432601822,0.15990686526707668
13460,1.0119497311827441,0.039068339994443285,1.0081528259446408,0.2512612783199491,1.0467390038698476,0.0878730497395083,1.0025028015600017,0.5625140309569258,0.6805960901498851,0.06605322153159433,0.7338174456860098,0.22782627447337
13740,0.9587673471735106,0.05314104997361625,0.9733504468217392,0.3830500643520177,0.94434279426685,0.1298223817860861,0.9618578299435826,0.7372878762215416,0.7171172554475215,0.07402564359326332,0.7704036469673227,0.27037424534370236
13780,0.9456122788372653,0.026843260326080927,0.9526177938737533,0.13675683167901456,0.9517469780173289,0.06799427441978417,0.9588596784461393,0.4349783312363844,0.8677175677063836,0.05568320148779298,0.8757746724409133,0.17333251245488224
13820,1.022141252994458,0.0203011124640432,1.0200389990128471,0.0830835057878223,1.1234148565294482,0.04443583311093069,1.084983744131406,0.24743816055568196,1.1361073093402754,0.027934559818812703,1.1249843445378829,0.05012461820253442
13900,0.8826362279611708,0.06371317288613672,0.9364934785642055,0.4715958878552528,0.8694084395719504,0.13861504541300837,0.9445981728904796,0.7618749353141858,0.6781396168113205,0.1111358842460613,0.7855738018901647,0.4551110614568374
13980,1.0531392033794211,0.03777208765778042,1.0396956953668197,0.23877982188318145,1.196068836765569,0.09408231797793615,1.0602481409344902,0.5957831759590474,0.9800616700666238,0.08703479410744698,0.9577523146918123,0.3387360611153653
14010,1.1542597268438084,0.04582633621306448,1.104534575351141,0.3158729273711243,0.895667622623501,0.08506192545686511,0.9352477784566827,0.5464517070228966,1.0966253756616946,0.06975093904693712,1.0514650206440967,0.24755669709779254
14020,1.1483919924906407,0.049755709691976416,1.0949763534887376,0.3524536772878699,1.0192543199151947,0.09881013582699912,0.9875808719626522,0.6191602657308111,0.8768843473392608,0.09723327192953621,0.8914377891224139,0.38999770433625747
14260,1.0640538808169384,0.025760173727087908,1.0554959765475502,0.12732033833528736,0.8675133641296087,0.05327194701994782,0.899792197732518,0.3209095266150266,0.7305365529287656,0.03326089700489138,0.7433204028430572,0.06960434773429218
14460,1.102508214781849,0.00924971802727367,1.1005572022955554,0.01846328155508434,0.933467289378031,0.02015608078533095,0.935661674021326,0.06336376404429574,1.038026332710814,0.014247795307005425,1.0363495220300303,0.013541751004131235
14500,1.1042396340574439,0.0314816089977857,1.0850239127323063,0.17891518980311624,0.9255874238737424,0.055259032701233814,0.9399170044859604,0.33707615399745333,0.6968932134475403,0.040932521155071316,0.719008889437341,0.10177116868281731
14540,0.9535958908190831,0.04136302246738048,0.9654157437682692,0.2733390626494887,1.123477115421099,0.10551158627134072,1.02254531666908,0.6495875353194486,0.9090884925332855,0.07604928372601628,0.9105258768589922,0.28114591697486235
14580,0.9717399973645285,0.06819550873624339,0.9844286880809869,0.5055587302515808,1.0335375444243924,0.12468468910545732,0.9863334142830088,0.7213486562454416,0.7101832783571984,0.15236703217128228,0.834814841972888,0.6108857164927117
14740,0.9942595407256797,0.03656483946432218,0.9948453745033007,0.22717230044235068,1.0307867862147793,0.08570536131841125,0.9962968476522844,0.550184430283827,0.5633663251598094,0.04168440210547377,0.6002557563458418,0.10514759503010436
14860,1.018254259218754,0.020435652554181827,1.016453278249685,0.08409546637983568,1.0018946915824003,0.045847686927454036,0.993132432685066,0.25927015838374207,1.0221152953352286,0.0246850023225259,1.0178444992165239,0.03957584530620385
15180,0.9562820390949975,0.03389790976872405,0.9644615163878221,0.20168199076845233,1.0286382603661344,0.08807460087144191,0.9945157349645857,0.5636413174321122,1.0888849635162032,0.09088197438605332,1.026282641372579,0.35837492536124377
15260,0.9407289084533701,0.04059278818567421,0.9556504264105005,0.26593596099720024,0.8823762206980741,0.10018392238862772,0.9360085830434706,0.6256501524863417,0.9392212848846156,0.06670011081436926,0.9334347768615135,0.2312734474039905
15380,1.0520141794560327,0.016091256871284754,1.0490423163520013,0.05386168313639705,0.944338695184314,0.041695016403546184,0.9496727648721092,0.22449662733959178,1.0584815183587208,0.0290165816554238,1.0507091802231654,0.053869661476390086
