cbsa,metro,rank_m3_1_0,rank_m3_2_0,move,index_m3_1_0,index_m3_2_0
35620,"New York, NY",1,1,0,105.87,103.82
14460,"Boston, MA",2,2,0,111.98,109.78
16980,"Chicago, IL",4,3,1,107.02,105.96
37980,"Philadelphia, PA",5,4,1,107.43,107.27
41860,"San Francisco, CA",3,5,-2,105.27,102.62
31080,"Los Angeles, CA",6,6,0,97.83,96.57
35380,"New Orleans, LA",9,7,2,104.75,104.35
41940,"San Jose, CA",8,8,0,110.49,107.76
42660,"Seattle, WA",7,9,-2,103.77,103.08
12060,"Atlanta, GA",12,10,2,108.93,108.52
12420,"Austin, TX",10,11,-1,106.62,104.33
47900,"Washington, DC",11,12,-1,111.52,109.14
26420,"Houston, TX",13,13,0,100.63,100.37
19100,"Dallas, TX",14,14,0,103.72,103.57
19740,"Denver, CO",16,15,1,110.17,108.61
41740,"San Diego, CA",15,16,-1,101.8,100.46
38300,"Pittsburgh, PA",17,17,0,103.67,103.87
33340,"Milwaukee, WI",18,18,0,102.34,103.18
38900,"Portland, OR",19,19,0,98.6,98.7
17410,"Cleveland, OH",22,20,2,99.45,100.63
12580,"Baltimore, MD",21,21,0,109.01,108.84
31540,"Madison, WI",23,22,1,110.15,108.78
19820,"Detroit, MI",27,23,4,104.69,105.99
18140,"Columbus, OH",26,24,2,104.17,104.73
41180,"St. Louis, MO",29,25,4,100.93,102.05
39580,"Raleigh, NC",25,26,-1,114.31,113.18
16740,"Charlotte, NC",28,27,1,106.24,106.4
38060,"Phoenix, AZ",24,28,-4,97.16,97.52
33100,"Miami, FL",20,29,-9,95.05,94.04
47260,"Virginia Beach, VA",32,30,2,101.15,102.04
15380,"Buffalo, NY",30,31,-1,101.42,102.04
36740,"Orlando, FL",31,32,-1,98.54,98.4
32820,"Memphis, TN",36,33,3,106.44,107.93
40380,"Rochester, NY",35,34,1,102.2,103.06
25540,"Hartford, CT",34,35,-1,104.19,103.85
26900,"Indianapolis, IN",41,36,5,100.27,101.52
33460,"Minneapolis, MN",38,37,1,101.72,102.06
39300,"Providence, RI",40,38,2,94.8,95.9
14500,"Boulder, CO",37,39,-2,111.03,108.69
28140,"Kansas City, MO",42,40,2,99.81,100.34
45300,"Tampa, FL",33,41,-8,94.87,95.24
14860,"Bridgeport, CT",39,42,-3,106.29,104.6
34980,"Nashville, TN",44,43,1,101.68,101.32
12940,"Baton Rouge, LA",53,44,9,103.11,104.86
16700,"Charleston, SC",51,45,6,102.31,103.59
