search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
female:30:edu=hs_or_less:race=nh_black,193,1.51,3.7,7.92,0.982,"Montgomery, AL | Memphis, TN | Jackson, MS","Montgomery, AL | Memphis, TN | Jackson, MS",False,10
female:30:edu=hs_or_less:race=nh_asian,193,12.93,24.32,112.33,0.815,"San Jose, CA | Stockton, CA | Honolulu, HI","Stockton, CA | Honolulu, HI | San Jose, CA",True,9
female:30:edu=hs_or_less:race=nh_aian,193,2.59,7.56,84.2,0.915,"Yakima, WA | Anchorage, AK | Sioux Falls, SD","Yakima, WA | Anchorage, AK | Sioux Falls, SD",False,10
female:30:edu=hs_or_less:race=nh_nhpi,193,5.62,14.53,145.1,0.947,"Fayetteville, AR | Reading, PA | Honolulu, HI","Fayetteville, AR | Reading, PA | Honolulu, HI",False,9
female:30:edu=hs_or_less:race=nh_twoplus,193,2.25,6.15,26.07,0.91,"Fayetteville, AR | Canton, OH | Flint, MI","Fayetteville, AR | Honolulu, HI | Flint, MI",False,8
female:30:edu=hs_or_less:race=nh_other,193,3.6,10.95,39.3,0.915,"Ocala, FL | Akron, OH | Visalia, CA","Ocala, FL | Akron, OH | Lakeland, FL",False,9
female:30:edu=some_college:race=hispanic,193,3.96,6.8,18.62,0.971,"Brownsville, TX | McAllen, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",True,9
female:30:edu=some_college:race=nh_white,193,2.85,6.34,11.91,0.915,"Portland, ME | Canton, OH | Sioux Falls, SD","Canton, OH | Portland, ME | Duluth, MN",True,8
female:30:edu=some_college:race=nh_black,193,1.43,3.14,8.21,0.972,"Memphis, TN | Jackson, MS | Montgomery, AL","Memphis, TN | Montgomery, AL | Jackson, MS",False,10
female:30:edu=some_college:race=nh_asian,193,2.25,6.72,31.59,0.91,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | Honolulu, HI | San Francisco, CA",False,9
female:30:edu=some_college:race=nh_aian,193,3.15,7.87,56.78,0.895,"Yakima, WA | Gulfport, MS | Anchorage, AK","Yakima, WA | Gulfport, MS | Anchorage, AK",False,8
female:30:edu=some_college:race=nh_nhpi,193,4.85,12.0,109.16,0.929,"Fayetteville, AR | Reading, PA | Salem, OR","Fayetteville, AR | Reading, PA | Honolulu, HI",False,10
female:30:edu=some_college:race=nh_twoplus,193,1.61,4.7,7.76,0.887,"Fayetteville, AR | Honolulu, HI | Peoria, IL","Fayetteville, AR | Honolulu, HI | Peoria, IL",False,8
female:30:edu=some_college:race=nh_other,193,2.3,7.76,65.43,0.921,"Greensboro, NC | Flint, MI | Waco, TX","Flint, MI | Greensboro, NC | Ocala, FL",True,10
female:30:edu=bachelors:race=hispanic,193,7.62,13.96,39.06,0.916,"Brownsville, TX | McAllen, TX | El Paso, TX","Brownsville, TX | McAllen, TX | El Paso, TX",False,10
female:30:edu=bachelors:race=nh_white,193,1.68,3.48,5.64,0.955,"Boulder, CO | Fort Collins, CO | Madison, WI","Fort Collins, CO | Boulder, CO | Portland, ME",True,10
female:30:edu=bachelors:race=nh_black,193,3.58,6.78,13.38,0.962,"Jackson, MS | Memphis, TN | Montgomery, AL","Jackson, MS | Memphis, TN | Montgomery, AL",False,9
female:30:edu=bachelors:race=nh_asian,193,2.84,5.41,37.92,0.96,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:30:edu=bachelors:race=nh_aian,193,4.52,9.55,19.98,0.895,"Gulfport, MS | Yakima, WA | Sioux Falls, SD","Gulfport, MS | Yakima, WA | Sioux Falls, SD",False,10
female:30:edu=bachelors:race=nh_nhpi,193,6.66,12.71,110.61,0.917,"Fayetteville, AR | Honolulu, HI | Reading, PA","Fayetteville, AR | Reading, PA | Honolulu, HI",False,9
female:30:edu=bachelors:race=nh_twoplus,193,2.13,4.53,6.6,0.92,"Ann Arbor, MI | Boulder, CO | San Francisco, CA","Ann Arbor, MI | Boulder, CO | Fort Collins, CO",False,9
female:30:edu=bachelors:race=nh_other,193,3.59,7.56,56.01,0.946,"Greensboro, NC | Bend, OR | Green Bay, WI","Greensboro, NC | Bend, OR | Green Bay, WI",False,9
female:30:edu=graduate:race=hispanic,193,8.95,16.0,47.5,0.876,"Brownsville, TX | McAllen, TX | El Paso, TX","Brownsville, TX | McAllen, TX | El Paso, TX",False,9
female:30:edu=graduate:race=nh_white,193,1.05,2.93,5.41,0.974,"Ann Arbor, MI | Boulder, CO | Boston, MA","Ann Arbor, MI | Boulder, CO | Madison, WI",False,10
female:30:edu=graduate:race=nh_black,193,2.99,6.69,15.04,0.951,"Tuscaloosa, AL | Jackson, MS | Atlanta, GA","Tuscaloosa, AL | Jackson, MS | Memphis, TN",False,9
female:30:edu=graduate:race=nh_asian,193,1.96,8.07,19.79,0.942,"San Jose, CA | San Francisco, CA | Seattle, WA","San Jose, CA | San Francisco, CA | Seattle, WA",False,10
female:30:edu=graduate:race=nh_aian,193,3.5,6.48,14.93,0.947,"Gulfport, MS | Anchorage, AK | Sioux Falls, SD","Gulfport, MS | Sioux Falls, SD | Anchorage, AK",False,10
female:30:edu=graduate:race=nh_nhpi,193,5.23,11.4,65.23,0.942,"Fayetteville, AR | Honolulu, HI | San Jose, CA","Fayetteville, AR | Honolulu, HI | San Jose, CA",False,10
female:30:edu=graduate:race=nh_twoplus,193,0.94,2.27,13.87,0.976,"Ann Arbor, MI | San Jose, CA | Boston, MA","Ann Arbor, MI | Boston, MA | Boulder, CO",False,10
female:30:edu=graduate:race=nh_other,193,1.99,5.86,35.12,0.964,"Greensboro, NC | Gainesville, FL | Lincoln, NE","Greensboro, NC | Gainesville, FL | Lincoln, NE",False,10
female:35:undisclosed,193,0.98,2.07,3.36,0.913,"Ann Arbor, MI | College Station, TX | Boulder, CO","Ann Arbor, MI | College Station, TX | Tuscaloosa, AL",False,10
female:35:edu=hs_or_less,193,2.07,4.4,8.57,0.895,"Visalia, CA | McAllen, TX | Merced, CA","McAllen, TX | Visalia, CA | Merced, CA",True,9
female:35:edu=some_college,193,1.9,4.15,5.65,0.824,"Jackson, MS | Memphis, TN | Fayetteville, NC","Jackson, MS | Memphis, TN | Montgomery, AL",False,9
female:35:edu=bachelors,193,2.41,4.78,6.67,0.906,"Ann Arbor, MI | Boulder, CO | Fort Collins, CO","Ann Arbor, MI | Boulder, CO | Fort Collins, CO",False,10
female:35:edu=graduate,193,1.87,3.17,5.05,0.954,"Ann Arbor, MI | Boulder, CO | San Francisco, CA","Ann Arbor, MI | Boulder, CO | San Francisco, CA",False,9
female:35:race=hispanic,193,1.33,3.72,8.71,0.961,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:35:race=nh_white,193,1.84,4.17,6.61,0.949,"Ann Arbor, MI | Portland, ME | Provo, UT","Ann Arbor, MI | Portland, ME | Duluth, MN",False,8
female:35:race=nh_black,193,1.35,2.78,7.37,0.972,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,9
female:35:race=nh_asian,193,1.36,3.51,10.43,0.96,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,9
female:35:race=nh_aian,193,2.7,7.58,58.8,0.912,"Anchorage, AK | Yakima, WA | Sioux Falls, SD","Anchorage, AK | Yakima, WA | Sioux Falls, SD",False,9
female:35:race=nh_nhpi,193,3.08,12.08,86.02,0.946,"Fayetteville, AR | Honolulu, HI | Reading, PA","Fayetteville, AR | Honolulu, HI | Reading, PA",False,10
female:35:race=nh_twoplus,193,1.25,3.07,7.93,0.926,"Fayetteville, AR | Ann Arbor, MI | Sioux Falls, SD","Fayetteville, AR | Ann Arbor, MI | Sioux Falls, SD",False,8
female:35:race=nh_other,193,1.84,6.36,45.15,0.941,"Lincoln, NE | Atlantic City, NJ | Waco, TX","Lincoln, NE | Atlantic City, NJ | Waco, TX",False,10
female:35:edu=hs_or_less:race=hispanic,193,7.72,16.56,36.49,0.923,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:35:edu=hs_or_less:race=nh_white,193,3.11,6.05,10.7,0.956,"Kingsport, TN | Duluth, MN | Canton, OH","Kingsport, TN | Duluth, MN | Canton, OH",False,10
female:35:edu=hs_or_less:race=nh_black,193,1.43,3.56,7.85,0.98,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:35:edu=hs_or_less:race=nh_asian,193,13.95,24.94,116.15,0.821,"San Jose, CA | Honolulu, HI | Stockton, CA","Honolulu, HI | San Jose, CA | Stockton, CA",True,9
female:35:edu=hs_or_less:race=nh_aian,193,2.83,7.82,72.88,0.913,"Anchorage, AK | Yakima, WA | Sioux Falls, SD","Anchorage, AK | Yakima, WA | Sioux Falls, SD",False,9
female:35:edu=hs_or_less:race=nh_nhpi,193,6.27,12.22,145.42,0.951,"Fayetteville, AR | Reading, PA | Honolulu, HI","Fayetteville, AR | Honolulu, HI | Reading, PA",False,9
female:35:edu=hs_or_less:race=nh_twoplus,193,2.14,7.21,43.75,0.912,"Fayetteville, AR | Sioux Falls, SD | Flint, MI","Fayetteville, AR | Sioux Falls, SD | Bremerton, WA",False,9
female:35:edu=hs_or_less:race=nh_other,193,4.48,11.09,28.5,0.913,"Atlantic City, NJ | Provo, UT | Evansville, IN","Atlantic City, NJ | Columbus, GA | Provo, UT",False,10
female:35:edu=some_college:race=hispanic,193,3.86,6.47,16.66,0.974,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:35:edu=some_college:race=nh_white,193,2.63,5.67,9.62,0.933,"Duluth, MN | Sioux Falls, SD | Springfield, MO","Duluth, MN | Springfield, MO | Sioux Falls, SD",False,9
female:35:edu=some_college:race=nh_black,193,1.52,3.09,7.73,0.969,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,9
female:35:edu=some_college:race=nh_asian,193,2.12,5.32,16.26,0.913,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
female:35:edu=some_college:race=nh_aian,193,2.74,7.79,61.18,0.909,"Anchorage, AK | Yakima, WA | Albuquerque, NM","Anchorage, AK | Yakima, WA | Albuquerque, NM",False,9
female:35:edu=some_college:race=nh_nhpi,193,5.46,13.89,50.08,0.931,"Fayetteville, AR | Honolulu, HI | Reading, PA","Fayetteville, AR | Honolulu, HI | Reading, PA",False,10
female:35:edu=some_college:race=nh_twoplus,193,1.78,4.81,8.46,0.888,"Fayetteville, AR | Sioux Falls, SD | Bremerton, WA","Fayetteville, AR | Sioux Falls, SD | Bremerton, WA",False,8
female:35:edu=some_college:race=nh_other,193,2.55,6.93,51.93,0.92,"Waco, TX | Evansville, IN | Atlantic City, NJ","Waco, TX | Evansville, IN | Wilmington, NC",False,9
female:35:edu=bachelors:race=hispanic,193,7.54,13.63,35.33,0.918,"McAllen, TX | El Paso, TX | Brownsville, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:35:edu=bachelors:race=nh_white,193,1.47,3.46,4.79,0.96,"Ann Arbor, MI | Boulder, CO | Provo, UT","Ann Arbor, MI | Boulder, CO | Fort Collins, CO",False,9
female:35:edu=bachelors:race=nh_black,193,3.42,6.92,16.4,0.959,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:35:edu=bachelors:race=nh_asian,193,3.22,6.04,31.26,0.957,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:35:edu=bachelors:race=nh_aian,193,4.37,10.02,23.63,0.895,"Yakima, WA | Anchorage, AK | Albuquerque, NM","Anchorage, AK | Yakima, WA | Albuquerque, NM",True,8
female:35:edu=bachelors:race=nh_nhpi,193,7.68,15.29,144.21,0.925,"Fort Wayne, IN | Fayetteville, AR | Honolulu, HI","Fayetteville, AR | Honolulu, HI | Fort Wayne, IN",True,9
female:35:edu=bachelors:race=nh_twoplus,193,2.18,4.91,7.78,0.916,"Fayetteville, AR | Ann Arbor, MI | Boulder, CO","Fayetteville, AR | Ann Arbor, MI | Boulder, CO",False,9
female:35:edu=bachelors:race=nh_other,193,3.54,7.49,67.42,0.95,"Lincoln, NE | Atlantic City, NJ | Waco, TX","Lincoln, NE | Waco, TX | Atlantic City, NJ",False,10
female:35:edu=graduate:race=hispanic,193,8.39,15.34,42.56,0.88,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:35:edu=graduate:race=nh_white,193,0.99,2.99,5.04,0.972,"Ann Arbor, MI | Boulder, CO | Bend, OR","Ann Arbor, MI | Boulder, CO | Bend, OR",False,10
female:35:edu=graduate:race=nh_black,193,2.7,6.57,15.21,0.951,"Atlanta, GA | Washington, DC | Jackson, MS","Jackson, MS | Atlanta, GA | Memphis, TN",True,10
female:35:edu=graduate:race=nh_asian,193,2.17,6.9,20.95,0.935,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Ann Arbor, MI",False,10
female:35:edu=graduate:race=nh_aian,193,3.23,7.64,17.87,0.936,"Anchorage, AK | Yakima, WA | Greenville, SC","Anchorage, AK | Yakima, WA | Albuquerque, NM",False,10
female:35:edu=graduate:race=nh_nhpi,193,6.22,11.39,273.09,0.939,"Fort Wayne, IN | Salt Lake City, UT | Honolulu, HI","Fort Wayne, IN | Fayetteville, AR | Honolulu, HI",False,10
female:35:edu=graduate:race=nh_twoplus,193,0.89,2.13,9.5,0.979,"Ann Arbor, MI | Fayetteville, AR | Boulder, CO","Ann Arbor, MI | Fayetteville, AR | Boulder, CO",False,10
female:35:edu=graduate:race=nh_other,193,2.44,5.93,95.38,0.964,"Lincoln, NE | Atlantic City, NJ | Nashville, TN","Lincoln, NE | Atlantic City, NJ | Nashville, TN",False,10
female:40:undisclosed,193,0.84,1.74,3.2,0.918,"Tuscaloosa, AL | Savannah, GA | Fargo, ND","Tuscaloosa, AL | Savannah, GA | Jackson, MS",False,10
female:40:edu=hs_or_less,193,2.33,5.08,8.82,0.886,"McAllen, TX | Bakersfield, CA | Merced, CA","McAllen, TX | Merced, CA | Salinas, CA",False,9
female:40:edu=some_college,193,1.85,3.75,5.35,0.854,"Fargo, ND | Jackson, MS | Tuscaloosa, AL","Jackson, MS | Fargo, ND | Tuscaloosa, AL",True,8
female:40:edu=bachelors,193,2.43,4.73,8.09,0.891,"Ann Arbor, MI | Boulder, CO | San Francisco, CA","Boulder, CO | Ann Arbor, MI | Fargo, ND",True,10
female:40:edu=graduate,193,1.95,3.66,5.82,0.944,"Ann Arbor, MI | Washington, DC | San Francisco, CA","Ann Arbor, MI | Washington, DC | Boulder, CO",False,9
female:40:race=hispanic,193,1.82,5.25,13.76,0.96,"Brownsville, TX | McAllen, TX | El Paso, TX","McAllen, TX | Brownsville, TX | Laredo, TX",True,10
female:40:race=nh_white,193,1.75,3.86,6.7,0.951,"Provo, UT | Duluth, MN | Portland, ME","Duluth, MN | Provo, UT | Portland, ME",True,9
female:40:race=nh_black,193,1.28,2.74,6.29,0.979,"Montgomery, AL | Jackson, MS | Memphis, TN","Montgomery, AL | Jackson, MS | Memphis, TN",False,10
female:40:race=nh_asian,193,2.39,5.58,15.77,0.936,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,9
female:40:race=nh_aian,193,2.73,7.46,44.5,0.912,"Yakima, WA | Tulsa, OK | Anchorage, AK","Yakima, WA | Albuquerque, NM | Anchorage, AK",False,10
female:40:race=nh_nhpi,193,3.39,9.78,88.95,0.936,"Honolulu, HI | Fayetteville, AR | Yakima, WA","Honolulu, HI | Fayetteville, AR | Salt Lake City, UT",False,9
female:40:race=nh_twoplus,193,1.21,3.28,17.09,0.922,"Fayetteville, AR | Honolulu, HI | Portland, ME","Fayetteville, AR | Honolulu, HI | Portland, ME",False,9
female:40:race=nh_other,193,2.01,7.12,57.35,0.942,"Lafayette, LA | Atlantic City, NJ | Manchester, NH","Lafayette, LA | Atlantic City, NJ | Manchester, NH",False,9
female:40:edu=hs_or_less:race=hispanic,193,7.94,16.8,39.79,0.926,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:40:edu=hs_or_less:race=nh_white,193,3.09,6.31,11.12,0.955,"Duluth, MN | Erie, PA | York, PA","Duluth, MN | Erie, PA | York, PA",False,9
female:40:edu=hs_or_less:race=nh_black,193,1.22,4.0,6.71,0.981,"Montgomery, AL | Jackson, MS | Memphis, TN","Montgomery, AL | Memphis, TN | Jackson, MS",False,10
female:40:edu=hs_or_less:race=nh_asian,193,14.94,27.53,130.06,0.795,"San Jose, CA | Honolulu, HI | Stockton, CA","Honolulu, HI | San Jose, CA | San Francisco, CA",True,9
female:40:edu=hs_or_less:race=nh_aian,193,2.63,7.11,52.91,0.915,"Yakima, WA | Anchorage, AK | Green Bay, WI","Yakima, WA | Anchorage, AK | Green Bay, WI",False,7
female:40:edu=hs_or_less:race=nh_nhpi,193,5.89,13.27,196.27,0.935,"Honolulu, HI | Fayetteville, AR | Olympia, WA","Honolulu, HI | Fayetteville, AR | Olympia, WA",False,9
female:40:edu=hs_or_less:race=nh_twoplus,193,2.42,7.8,54.03,0.909,"Fayetteville, AR | Akron, OH | Spokane, WA","Fayetteville, AR | Akron, OH | Spokane, WA",False,9
female:40:edu=hs_or_less:race=nh_other,193,3.85,11.77,41.27,0.911,"Lafayette, LA | Atlantic City, NJ | Columbus, GA","Atlantic City, NJ | Lafayette, LA | Columbus, GA",True,9
female:40:edu=some_college:race=hispanic,193,3.63,6.19,18.65,0.973,"Brownsville, TX | McAllen, TX | El Paso, TX","Brownsville, TX | McAllen, TX | El Paso, TX",False,9
female:40:edu=some_college:race=nh_white,193,2.24,5.35,8.56,0.936,"Duluth, MN | Fargo, ND | Provo, UT","Duluth, MN | Fargo, ND | Sioux Falls, SD",False,9
female:40:edu=some_college:race=nh_black,193,1.38,2.99,6.8,0.973,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:40:edu=some_college:race=nh_asian,193,2.03,5.7,17.4,0.916,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,9
female:40:edu=some_college:race=nh_aian,193,2.69,8.15,47.33,0.912,"Yakima, WA | Tulsa, OK | Anchorage, AK","Yakima, WA | Albuquerque, NM | Anchorage, AK",False,9
female:40:edu=some_college:race=nh_nhpi,193,6.06,13.81,94.49,0.925,"Fayetteville, AR | Honolulu, HI | Yakima, WA","Fayetteville, AR | Honolulu, HI | Sioux Falls, SD",False,9
female:40:edu=some_college:race=nh_twoplus,193,1.87,4.89,8.12,0.882,"Fayetteville, AR | Spokane, WA | Honolulu, HI","Fayetteville, AR | Spokane, WA | Sioux Falls, SD",False,9
female:40:edu=some_college:race=nh_other,193,2.59,7.89,76.35,0.919,"Lafayette, LA | Manchester, NH | Atlantic City, NJ","Lafayette, LA | Manchester, NH | Atlantic City, NJ",False,9
female:40:edu=bachelors:race=hispanic,193,8.12,13.99,45.27,0.911,"Brownsville, TX | El Paso, TX | McAllen, TX","Brownsville, TX | El Paso, TX | McAllen, TX",False,10
female:40:edu=bachelors:race=nh_white,193,1.57,3.38,6.56,0.96,"Provo, UT | Boulder, CO | Bend, OR","Provo, UT | Boulder, CO | Portland, ME",False,9
female:40:edu=bachelors:race=nh_black,193,3.27,6.8,16.21,0.956,"Jackson, MS | Memphis, TN | Montgomery, AL","Jackson, MS | Montgomery, AL | Memphis, TN",False,9
female:40:edu=bachelors:race=nh_asian,193,3.39,6.26,29.54,0.943,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:40:edu=bachelors:race=nh_aian,193,4.38,10.0,23.61,0.893,"Yakima, WA | Albuquerque, NM | Tulsa, OK","Albuquerque, NM | Yakima, WA | Tulsa, OK",True,10
female:40:edu=bachelors:race=nh_nhpi,193,8.67,16.02,204.88,0.919,"Yakima, WA | Honolulu, HI | Salt Lake City, UT","Honolulu, HI | Yakima, WA | Salt Lake City, UT",True,9
female:40:edu=bachelors:race=nh_twoplus,193,2.28,5.09,7.7,0.9,"Boulder, CO | Ann Arbor, MI | Honolulu, HI","Boulder, CO | Ann Arbor, MI | Fayetteville, AR",False,9
female:40:edu=bachelors:race=nh_other,193,3.57,8.24,73.15,0.945,"Lafayette, LA | Columbia, SC | Charleston, SC","Lafayette, LA | Columbia, SC | Charleston, SC",False,9
female:40:edu=graduate:race=hispanic,193,8.93,16.53,53.61,0.872,"El Paso, TX | McAllen, TX | Brownsville, TX","El Paso, TX | McAllen, TX | Brownsville, TX",False,10
female:40:edu=graduate:race=nh_white,193,1.13,2.78,5.71,0.972,"Ann Arbor, MI | Boulder, CO | Bend, OR","Ann Arbor, MI | Boulder, CO | Bend, OR",False,10
female:40:edu=graduate:race=nh_black,193,2.87,6.34,14.48,0.944,"Atlanta, GA | Memphis, TN | Jackson, MS","Atlanta, GA | Jackson, MS | Memphis, TN",False,9
female:40:edu=graduate:race=nh_asian,193,2.1,7.19,27.46,0.931,"San Jose, CA | San Francisco, CA | Ann Arbor, MI","San Jose, CA | San Francisco, CA | Ann Arbor, MI",False,9
female:40:edu=graduate:race=nh_aian,193,3.21,7.33,22.22,0.93,"Albuquerque, NM | Tulsa, OK | Yakima, WA","Albuquerque, NM | Tulsa, OK | Yakima, WA",False,10
female:40:edu=graduate:race=nh_nhpi,193,7.01,13.5,154.57,0.944,"Bridgeport, CT | Salt Lake City, UT | Fort Wayne, IN","Bridgeport, CT | Salt Lake City, UT | Fort Wayne, IN",False,10
female:40:edu=graduate:race=nh_twoplus,193,0.93,2.32,6.7,0.968,"Ann Arbor, MI | Boulder, CO | Bend, OR","Ann Arbor, MI | Boulder, CO | Bend, OR",False,10
female:40:edu=graduate:race=nh_other,193,2.54,6.74,44.47,0.966,"Lafayette, LA | Lincoln, NE | Kiryas Joel, NY","Lafayette, LA | Lincoln, NE | Kiryas Joel, NY",False,10
female:50:undisclosed,193,0.59,1.96,3.69,0.913,"Raleigh, NC | Ann Arbor, MI | Atlanta, GA","Raleigh, NC | Atlanta, GA | Ann Arbor, MI",False,9
female:50:edu=hs_or_less,193,2.98,5.97,12.27,0.87,"McAllen, TX | Yakima, WA | Brownsville, TX","McAllen, TX | Yakima, WA | Brownsville, TX",False,10
female:50:edu=some_college,193,1.86,3.98,5.71,0.823,"Tuscaloosa, AL | Birmingham, AL | Evansville, IN","Tuscaloosa, AL | Evansville, IN | Birmingham, AL",False,8
female:50:edu=bachelors,193,2.22,4.48,6.39,0.899,"Boulder, CO | Lincoln, NE | Ann Arbor, MI","Boulder, CO | Lincoln, NE | Ann Arbor, MI",False,9
female:50:edu=graduate,193,1.84,3.3,5.06,0.951,"Boulder, CO | Ann Arbor, MI | Washington, DC","Boulder, CO | Ann Arbor, MI | Lincoln, NE",False,7
female:50:race=hispanic,193,3.07,7.27,16.58,0.953,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,9
female:50:race=nh_white,193,1.83,3.87,6.53,0.934,"Lincoln, NE | Boulder, CO | Fargo, ND","Lincoln, NE | Provo, UT | Fargo, ND",False,8
female:50:race=nh_black,193,1.17,2.83,5.89,0.976,"Montgomery, AL | Jackson, MS | Memphis, TN","Montgomery, AL | Jackson, MS | Memphis, TN",False,9
female:50:race=nh_asian,193,3.55,9.35,42.31,0.905,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
female:50:race=nh_aian,193,2.72,7.26,71.89,0.91,"Green Bay, WI | Yakima, WA | Anchorage, AK","Green Bay, WI | Yakima, WA | Anchorage, AK",False,10
female:50:race=nh_nhpi,193,3.58,9.1,56.1,0.915,"Tallahassee, FL | Honolulu, HI | Myrtle Beach, SC","Honolulu, HI | Tallahassee, FL | Myrtle Beach, SC",True,10
female:50:race=nh_twoplus,193,0.99,2.97,9.47,0.918,"Fayetteville, AR | Boulder, CO | Honolulu, HI","Fayetteville, AR | Honolulu, HI | Boulder, CO",False,9
female:50:race=nh_other,193,2.22,7.96,25.12,0.942,"Wilmington, NC | Greenville, SC | Jackson, MS","Wilmington, NC | Jackson, MS | Greenville, SC",False,10
female:50:edu=hs_or_less:race=hispanic,193,10.27,19.5,54.36,0.925,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,9
female:50:edu=hs_or_less:race=nh_white,193,2.48,5.15,9.37,0.951,"Springfield, MO | Duluth, MN | Hickory, NC","Springfield, MO | Duluth, MN | Kingsport, TN",False,9
female:50:edu=hs_or_less:race=nh_black,193,1.3,4.01,7.47,0.983,"Montgomery, AL | Memphis, TN | Jackson, MS","Montgomery, AL | Memphis, TN | Jackson, MS",False,10
female:50:edu=hs_or_less:race=nh_asian,193,16.46,31.21,209.42,0.781,"Honolulu, HI | San Jose, CA | San Francisco, CA","Honolulu, HI | San Jose, CA | Anchorage, AK",False,9
female:50:edu=hs_or_less:race=nh_aian,193,2.62,6.94,60.53,0.923,"Green Bay, WI | Yakima, WA | Duluth, MN","Green Bay, WI | Yakima, WA | Duluth, MN",False,10
female:50:edu=hs_or_less:race=nh_nhpi,193,6.19,15.26,191.71,0.931,"Honolulu, HI | Salem, OR | Stockton, CA","Honolulu, HI | Salem, OR | Stockton, CA",False,10
female:50:edu=hs_or_less:race=nh_twoplus,193,2.02,6.0,32.84,0.902,"Fayetteville, AR | Slidell, LA | Evansville, IN","Fayetteville, AR | Slidell, LA | Honolulu, HI",False,9
female:50:edu=hs_or_less:race=nh_other,193,4.19,11.95,56.4,0.926,"Jackson, MS | Greenville, SC | Yakima, WA","Jackson, MS | Greenville, SC | Yakima, WA",False,9
female:50:edu=some_college:race=hispanic,193,3.78,7.44,24.86,0.973,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,9
female:50:edu=some_college:race=nh_white,193,2.23,5.49,9.21,0.924,"Duluth, MN | Provo, UT | Cedar Rapids, IA","Duluth, MN | Provo, UT | Springfield, MO",False,9
female:50:edu=some_college:race=nh_black,193,1.37,3.25,6.25,0.972,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:50:edu=some_college:race=nh_asian,193,2.34,5.98,14.58,0.904,"San Jose, CA | Honolulu, HI | San Francisco, CA","Honolulu, HI | San Jose, CA | San Francisco, CA",True,10
female:50:edu=some_college:race=nh_aian,193,2.57,7.73,67.75,0.909,"Yakima, WA | Green Bay, WI | Anchorage, AK","Yakima, WA | Green Bay, WI | Anchorage, AK",False,10
female:50:edu=some_college:race=nh_nhpi,193,5.55,12.34,73.41,0.914,"Tallahassee, FL | Honolulu, HI | Myrtle Beach, SC","Tallahassee, FL | Honolulu, HI | Myrtle Beach, SC",False,10
female:50:edu=some_college:race=nh_twoplus,193,1.84,4.55,8.57,0.861,"Fayetteville, AR | Evansville, IN | Honolulu, HI","Fayetteville, AR | Evansville, IN | Honolulu, HI",False,9
female:50:edu=some_college:race=nh_other,193,2.82,8.19,34.69,0.921,"Fayetteville, AR | Greenville, SC | Erie, PA","Fayetteville, AR | Greenville, SC | Jackson, MS",False,9
