search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
male:40:edu=graduate:race=nh_twoplus,193,3.61,6.68,19.28,0.925,"Boulder, CO | Fayetteville, AR | Honolulu, HI","Honolulu, HI | Boulder, CO | San Francisco, CA",True,9
male:40:edu=graduate:race=nh_other,193,2.28,6.98,20.85,0.936,"Raleigh, NC | Providence, RI | Modesto, CA","Raleigh, NC | Providence, RI | Modesto, CA",False,10
male:50:undisclosed,193,0.75,1.8,3.49,0.921,"Provo, UT | Ogden, UT | Eugene, OR","Provo, UT | Ogden, UT | Eugene, OR",False,10
male:50:edu=hs_or_less,193,0.57,1.65,5.79,0.957,"Laredo, TX | McAllen, TX | Yakima, WA","Laredo, TX | McAllen, TX | Yakima, WA",False,10
male:50:edu=some_college,193,1.09,3.22,8.15,0.895,"Provo, UT | Eugene, OR | Ogden, UT","Provo, UT | Eugene, OR | Des Moines, IA",False,10
male:50:edu=bachelors,193,1.26,2.98,6.1,0.954,"Provo, UT | Madison, WI | Boulder, CO","Provo, UT | Madison, WI | Boulder, CO",False,10
male:50:edu=graduate,193,1.61,3.49,12.04,0.953,"Boulder, CO | Madison, WI | San Francisco, CA","Boulder, CO | Madison, WI | San Francisco, CA",False,10
male:50:race=hispanic,193,1.77,4.62,19.83,0.967,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Laredo, TX | Brownsville, TX",False,10
male:50:race=nh_white,193,1.09,3.37,10.22,0.967,"Provo, UT | Eugene, OR | Ogden, UT","Provo, UT | Eugene, OR | Des Moines, IA",False,10
male:50:race=nh_black,193,1.16,3.3,8.97,0.971,"Memphis, TN | Jackson, MS | Montgomery, AL","Memphis, TN | Jackson, MS | Montgomery, AL",False,9
male:50:race=nh_asian,193,2.51,7.26,29.44,0.935,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
male:50:race=nh_aian,193,2.39,6.5,53.52,0.938,"Anchorage, AK | Yakima, WA | Tulsa, OK","Anchorage, AK | Yakima, WA | Albuquerque, NM",False,9
male:50:race=nh_nhpi,193,2.06,6.24,26.35,0.952,"Provo, UT | Fayetteville, AR | Honolulu, HI","Provo, UT | Fayetteville, AR | Honolulu, HI",False,10
male:50:race=nh_twoplus,193,1.21,3.79,12.1,0.935,"Fayetteville, AR | Eugene, OR | Kalamazoo, MI","Fayetteville, AR | Eugene, OR | Kalamazoo, MI",False,9
male:50:race=nh_other,193,1.8,5.75,87.03,0.955,"Fargo, ND | Fayetteville, NC | Roanoke, VA","Fargo, ND | Fayetteville, NC | Peoria, IL",False,10
male:50:edu=hs_or_less:race=hispanic,193,6.29,13.2,53.24,0.946,"McAllen, TX | Laredo, TX | Brownsville, TX","McAllen, TX | Laredo, TX | Brownsville, TX",False,10
male:50:edu=hs_or_less:race=nh_white,193,3.94,9.29,25.7,0.934,"Lancaster, PA | Duluth, MN | Evansville, IN","Duluth, MN | Evansville, IN | Lancaster, PA",True,10
male:50:edu=hs_or_less:race=nh_black,193,2.04,6.39,19.26,0.944,"Memphis, TN | Jackson, MS | Tuscaloosa, AL","Memphis, TN | Jackson, MS | Montgomery, AL",False,9
male:50:edu=hs_or_less:race=nh_asian,193,9.42,22.74,150.6,0.846,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,9
male:50:edu=hs_or_less:race=nh_aian,193,2.16,7.19,56.75,0.947,"Anchorage, AK | Yakima, WA | Tulsa, OK","Anchorage, AK | Yakima, WA | Tulsa, OK",False,10
male:50:edu=hs_or_less:race=nh_nhpi,193,3.0,9.36,104.56,0.95,"Fayetteville, AR | Honolulu, HI | Provo, UT","Fayetteville, AR | Provo, UT | Honolulu, HI",False,10
male:50:edu=hs_or_less:race=nh_twoplus,193,3.37,10.1,30.43,0.852,"Fayetteville, AR | Yakima, WA | Manchester, NH","Fayetteville, AR | Manchester, NH | Duluth, MN",False,9
male:50:edu=hs_or_less:race=nh_other,193,2.24,9.27,65.03,0.942,"Fargo, ND | Hickory, NC | Fayetteville, NC","Fargo, ND | Fayetteville, NC | Hickory, NC",False,9
male:50:edu=some_college:race=hispanic,193,6.16,11.94,40.68,0.95,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
male:50:edu=some_college:race=nh_white,193,1.43,3.36,7.93,0.957,"Provo, UT | Des Moines, IA | Eugene, OR","Provo, UT | Des Moines, IA | Eugene, OR",False,9
