cbsa,metro,rank_m3_0_0,rank_m3_2_0,move,index_m3_0_0,index_m3_2_0
35620,"New York, NY",1,1,0,105.43,103.82
14460,"Boston, MA",2,2,0,111.19,109.78
16980,"Chicago, IL",3,3,0,106.85,105.96
37980,"Philadelphia, PA",5,4,1,107.2,107.27
41860,"San Francisco, CA",4,5,-1,103.19,102.62
31080,"Los Angeles, CA",6,6,0,97.6,96.57
35380,"New Orleans, LA",7,7,0,105.43,104.35
41940,"San Jose, CA",11,8,3,105.81,107.76
42660,"Seattle, WA",9,9,0,102.48,103.08
12060,"Atlanta, GA",10,10,0,108.06,108.52
12420,"Austin, TX",8,11,-3,106.27,104.33
47900,"Washington, DC",12,12,0,110.48,109.14
26420,"Houston, TX",13,13,0,100.41,100.37
19100,"Dallas, TX",14,14,0,103.63,103.57
19740,"Denver, CO",16,15,1,110.53,108.61
41740,"San Diego, CA",15,16,-1,101.6,100.46
38300,"Pittsburgh, PA",17,17,0,103.34,103.87
33340,"Milwaukee, WI",18,18,0,101.87,103.18
38900,"Portland, OR",20,19,1,98.54,98.7
17410,"Cleveland, OH",23,20,3,99.46,100.63
12580,"Baltimore, MD",21,21,0,109.02,108.84
31540,"Madison, WI",25,22,3,107.52,108.78
19820,"Detroit, MI",26,23,3,104.84,105.99
18140,"Columbus, OH",29,24,5,103.96,104.73
41180,"St. Louis, MO",27,25,2,101.45,102.05
39580,"Raleigh, NC",24,26,-2,113.0,113.18
16740,"Charlotte, NC",28,27,1,106.44,106.4
38060,"Phoenix, AZ",22,28,-6,97.72,97.52
33100,"Miami, FL",19,29,-10,95.65,94.04
47260,"Virginia Beach, VA",32,30,2,100.77,102.04
15380,"Buffalo, NY",30,31,-1,102.02,102.04
36740,"Orlando, FL",31,32,-1,99.34,98.4
32820,"Memphis, TN",35,33,2,106.98,107.93
40380,"Rochester, NY",33,34,-1,103.18,103.06
25540,"Hartford, CT",34,35,-1,104.29,103.85
26900,"Indianapolis, IN",40,36,4,100.49,101.52
33460,"Minneapolis, MN",39,37,2,101.58,102.06
39300,"Providence, RI",38,38,0,95.27,95.9
14500,"Boulder, CO",37,39,-2,110.65,108.69
28140,"Kansas City, MO",41,40,1,100.31,100.34
45300,"Tampa, FL",36,41,-5,95.22,95.24
14860,"Bridgeport, CT",43,42,1,105.78,104.6
34980,"Nashville, TN",45,43,2,101.26,101.32
12940,"Baton Rouge, LA",57,44,13,102.8,104.86
16700,"Charleston, SC",48,45,3,102.51,103.59
41700,"San Antonio, TX",42,46,-4,93.62,93.4
21500,"Erie, PA",51,47,4,103.67,104.56
40060,"Richmond, VA",47,48,-1,105.86,106.34
20500,"Durham, NC",49,49,0,110.55,111.16
35300,"New Haven, CT",44,50,-6,103.49,102.21
42340,"Savannah, GA",52,51,1,104.08,104.45
17140,"Cincinnati, OH",53,52,1,97.01,98.12
10580,"Albany, NY",46,53,-7,101.79,101.91
22020,"Fargo, ND",64,54,10,100.85,103.22
22660,"Fort Collins, CO",54,55,-1,114.19,113.97
11460,"Ann Arbor, MI",56,56,0,115.11,114.92
36540,"Omaha, NE",63,57,6,97.04,99.02
17900,"Columbia, SC",60,58,2,107.72,109.33
41620,"Salt Lake City, UT",55,59,-4,99.5,99.64
36420,"Oklahoma City, OK",61,60,1,95.06,95.78
23540,"Gainesville, FL",59,61,-2,111.05,111.56
40140,"Riverside, CA",58,62,-4,93.78,94.06
21340,"El Paso, TX",50,63,-13,94.91,93.87
40900,"Sacramento, CA",62,64,-2,92.64,93.4
45780,"Toledo, OH",65,65,0,95.41,96.43
13820,"Birmingham, AL",71,66,5,104.55,106.53
19780,"Des Moines, IA",74,67,7,93.85,95.73
24660,"Greensboro, NC",67,68,-1,103.31,103.89
45220,"Tallahassee, FL",69,69,0,109.97,109.14
29820,"Las Vegas, NV",66,70,-4,88.56,88.94
17780,"College Station, TX",68,71,-3,107.75,108.12
17820,"Colorado Springs, CO",72,72,0,103.4,103.32
31140,"Louisville, KY",80,73,7,95.2,96.53
42200,"Santa Maria, CA",73,74,-1,99.16,99.27
19430,"Dayton, OH",83,75,8,96.59,98.43
45940,"Trenton, NJ",76,76,0,102.36,102.79
42020,"San Luis Obispo, CA",78,77,1,102.15,102.56
24860,"Greenville, SC",85,78,7,96.6,98.57
48900,"Wilmington, NC",75,79,-4,99.48,99.69
30780,"Little Rock, AR",82,80,2,99.2,100.02
30460,"Lexington, KY",81,81,0,98.61,99.43
45060,"Syracuse, NY",90,82,8,94.49,95.96
27260,"Jacksonville, FL",79,83,-4,95.04,95.58
12100,"Atlantic City, NJ",77,84,-7,97.19,97.55
46060,"Tucson, AZ",70,85,-15,97.0,95.91
27140,"Jackson, MS",87,86,1,103.66,105.55
10420,"Akron, OH",84,87,-3,97.12,97.97
24340,"Grand Rapids, MI",92,88,4,99.4,101.08
33860,"Montgomery, AL",88,89,-1,106.51,107.76
26620,"Huntsville, AL",86,90,-4,106.73,106.29
43620,"Sioux Falls, SD",94,91,3,97.2,98.5
21660,"Eugene, OR",91,92,-1,95.15,95.56
37340,"Palm Bay, FL",93,93,0,96.33,96.68
28020,"Kalamazoo, MI",99,94,5,107.72,109.0
33660,"Mobile, AL",102,95,7,103.11,104.31
28880,"Kiryas Joel, NY",97,96,1,101.35,101.58
14260,"Boise City, ID",103,97,6,95.1,95.94
49340,"Worcester, MA",106,98,8,95.62,97.03
25060,"Gulfport, MS",100,99,1,98.54,99.56
10740,"Albuquerque, NM",89,100,-11,94.75,93.82
38860,"Portland, ME",95,101,-6,100.69,99.69
35840,"North Port, FL",96,102,-6,95.01,94.7
44060,"Spokane, WA",101,103,-2,94.75,95.27
10900,"Allentown, PA",98,104,-6,95.25,95.59
37900,"Peoria, IL",116,105,11,95.07,96.55
46220,"Tuscaloosa, AL",107,106,1,111.82,113.4
29620,"Lansing, MI",108,107,1,99.45,99.73
29180,"Lafayette, LA",123,108,15,91.78,94.13
44180,"Springfield, MO",104,109,-5,96.56,96.46
25420,"Harrisburg, PA",105,110,-5,95.92,96.32
30700,"Lincoln, NE",111,111,0,92.34,93.38
46520,"Honolulu, HI",117,112,5,90.31,91.13
12260,"Augusta, GA",115,113,2,104.92,105.25
19340,"Davenport, IA",110,114,-4,92.47,92.64
17980,"Columbus, GA",119,115,4,104.05,105.32
20260,"Duluth, MN",120,116,4,93.16,94.38
31180,"Lubbock, TX",118,117,1,97.1,97.97
18580,"Corpus Christi, TX",109,118,-9,89.77,88.99
48620,"Wichita, KS",127,119,8,91.21,92.87
37100,"Oxnard, CA",112,120,-8,92.93,93.11
16300,"Cedar Rapids, IA",122,121,1,90.96,92.15
43340,"Shreveport, LA",124,122,2,97.53,98.75
22220,"Fayetteville, AR",121,123,-2,94.68,94.9
43640,"Slidell, LA",114,124,-10,95.69,95.62
19660,"Deltona, FL",125,125,0,91.29,91.94
42100,"Santa Cruz, CA",113,126,-13,95.99,95.47
46140,"Tulsa, OK",126,127,-1,89.69,89.98
22180,"Fayetteville, NC",129,128,1,102.4,103.26
42220,"Santa Rosa, CA",128,129,-1,91.38,91.37
11700,"Asheville, NC",132,130,2,93.43,93.93
49180,"Winston-Salem, NC",131,131,0,97.45,98.24
37860,"Pensacola, FL",136,132,4,95.45,96.06
39900,"Reno, NV",130,133,-3,91.9,92.41
34820,"Myrtle Beach, SC",139,134,5,92.81,93.63
13140,"Beaumont, TX",140,135,5,93.89,95.07
13460,"Bend, OR",134,136,-2,101.34,100.85
23420,"Fresno, CA",135,137,-2,88.44,88.92
28420,"Kennewick, WA",138,138,0,93.08,93.8
11100,"Amarillo, TX",133,139,-6,91.66,91.51
43780,"South Bend, IN",142,140,2,95.53,97.0
36260,"Ogden, UT",156,141,15,92.88,95.29
47380,"Waco, TX",146,142,4,94.63,95.68
15980,"Cape Coral, FL",141,143,-2,90.74,90.51
32580,"McAllen, TX",137,144,-7,91.83,91.4
28660,"Killeen, TX",149,145,4,95.15,96.37
29540,"Lancaster, PA",144,146,-2,99.06,99.57
12540,"Bakersfield, CA",143,147,-4,89.49,89.97
36500,"Olympia, WA",145,148,-3,99.08,99.46
42540,"Scranton, PA",151,149,2,86.6,88.66
24540,"Greeley, CO",152,150,2,102.22,103.19
47930,"Waterbury, CT",158,151,7,95.51,96.84
23060,"Fort Wayne, IN",165,152,13,91.54,93.84
39340,"Provo, UT",164,153,11,92.78,95.26
41500,"Salinas, CA",148,154,-6,83.28,84.01
31700,"Manchester, NH",147,155,-8,98.05,98.68
46540,"Utica, NY",157,156,1,91.6,92.51
41420,"Salem, OR",154,157,-3,88.83,89.27
44140,"Springfield, MA",155,158,-3,92.17,92.54
33700,"Modesto, CA",159,159,0,88.66,89.17
32900,"Merced, CA",150,160,-10,93.37,93.46
46700,"Vallejo, CA",160,161,-1,92.11,92.72
28940,"Knoxville, TN",162,162,0,90.73,91.56
14740,"Bremerton, WA",161,163,-2,92.53,93.01
11260,"Anchorage, AK",163,164,-1,93.1,93.71
31340,"Lynchburg, VA",166,165,1,93.44,94.83
15940,"Canton, OH",169,166,3,88.1,90.14
15180,"Brownsville, TX",153,167,-14,92.9,91.06
40220,"Roanoke, VA",174,168,6,91.75,93.39
44700,"Stockton, CA",170,169,1,88.23,89.41
21780,"Evansville, IN",172,170,2,92.33,93.55
22420,"Flint, MI",175,171,4,91.16,92.66
24580,"Green Bay, WI",171,172,-1,84.36,86.29
29700,"Laredo, TX",167,173,-6,91.85,91.7
18880,"Crestview, FL",176,174,2,92.51,93.83
16860,"Chattanooga, TN",173,175,-2,89.73,90.98
