cbsa,metro,rank_m3_0_0,rank_m3_2_0,move,index_m3_0_0,index_m3_2_0
29460,"Lakeland, FL",168,176,-8,90.71,90.16
49660,"Youngstown, OH",177,177,0,89.28,90.2
39740,"Reading, PA",180,178,2,89.23,90.55
40420,"Rockford, IL",178,179,-1,89.41,89.96
17300,"Clarksville, TN",184,180,4,94.35,95.66
35980,"Norwich, CT",182,181,1,88.08,88.95
34940,"Naples, FL",183,182,1,89.47,89.65
38940,"Port St. Lucie, FL",181,183,-2,88.17,87.15
30980,"Longview, TX",186,184,2,90.64,92.1
49420,"Yakima, WA",179,185,-6,93.01,92.51
49620,"York, PA",185,186,-1,87.0,87.84
47300,"Visalia, CA",188,187,1,87.63,87.49
43900,"Spartanburg, SC",190,188,2,90.92,92.51
26580,"Huntington, WV",187,189,-2,89.58,89.54
25860,"Hickory, NC",189,190,-1,86.7,87.77
28700,"Kingsport, TN",192,191,1,85.26,86.87
36100,"Ocala, FL",191,192,-1,84.5,85.23
25180,"Hagerstown, MD",193,193,0,84.07,85.18
