search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
male:50:edu=graduate,193,1.49,4.05,18.3,0.94,"Boulder, CO | Madison, WI | San Francisco, CA","Boulder, CO | Madison, WI | San Francisco, CA",False,10
male:50:race=hispanic,193,1.11,4.24,11.3,0.967,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,9
male:50:race=nh_white,193,1.38,4.32,18.92,0.948,"Provo, UT | Eugene, OR | Ogden, UT","Eugene, OR | Des Moines, IA | Duluth, MN",True,8
male:50:race=nh_black,193,1.17,3.6,8.76,0.964,"Memphis, TN | Jackson, MS | Montgomery, AL","Memphis, TN | Jackson, MS | Montgomery, AL",False,10
male:50:race=nh_asian,193,1.56,5.16,18.38,0.954,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
male:50:race=nh_aian,193,2.19,6.59,34.97,0.943,"Anchorage, AK | Yakima, WA | Tulsa, OK","Anchorage, AK | Yakima, WA | Tulsa, OK",False,9
male:50:race=nh_nhpi,193,1.77,8.4,255.75,0.959,"Provo, UT | Fayetteville, AR | Honolulu, HI","Fayetteville, AR | Honolulu, HI | Provo, UT",True,10
male:50:race=nh_twoplus,193,1.63,4.19,16.11,0.915,"Fayetteville, AR | Eugene, OR | Kalamazoo, MI","Fayetteville, AR | Eugene, OR | Kalamazoo, MI",False,9
male:50:race=nh_other,193,2.88,9.8,85.59,0.931,"Fargo, ND | Fayetteville, NC | Roanoke, VA","Fargo, ND | Fayetteville, NC | Peoria, IL",False,9
male:50:edu=hs_or_less:race=hispanic,193,1.15,4.56,11.14,0.964,"McAllen, TX | Laredo, TX | Brownsville, TX","McAllen, TX | Laredo, TX | Brownsville, TX",False,9
male:50:edu=hs_or_less:race=nh_white,193,1.32,4.5,14.62,0.95,"Lancaster, PA | Duluth, MN | Evansville, IN","Duluth, MN | Lancaster, PA | Scranton, PA",True,10
male:50:edu=hs_or_less:race=nh_black,193,1.23,3.98,10.45,0.965,"Memphis, TN | Jackson, MS | Tuscaloosa, AL","Memphis, TN | Jackson, MS | Montgomery, AL",False,10
male:50:edu=hs_or_less:race=nh_asian,193,1.57,4.84,30.04,0.948,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
male:50:edu=hs_or_less:race=nh_aian,193,2.34,7.95,49.86,0.946,"Anchorage, AK | Yakima, WA | Tulsa, OK","Anchorage, AK | Yakima, WA | Tulsa, OK",False,9
male:50:edu=hs_or_less:race=nh_nhpi,193,1.77,9.17,162.16,0.958,"Fayetteville, AR | Honolulu, HI | Provo, UT","Fayetteville, AR | Honolulu, HI | Provo, UT",False,10
male:50:edu=hs_or_less:race=nh_twoplus,193,1.46,4.45,14.95,0.916,"Fayetteville, AR | Yakima, WA | Manchester, NH","Fayetteville, AR | Yakima, WA | Manchester, NH",False,9
male:50:edu=hs_or_less:race=nh_other,193,2.5,8.97,83.47,0.931,"Fargo, ND | Hickory, NC | Fayetteville, NC","Fargo, ND | Hickory, NC | Fayetteville, NC",False,10
male:50:edu=some_college:race=hispanic,193,1.17,4.4,14.72,0.967,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
male:50:edu=some_college:race=nh_white,193,1.35,4.46,20.83,0.946,"Provo, UT | Des Moines, IA | Eugene, OR","Des Moines, IA | Eugene, OR | Provo, UT",True,9
male:50:edu=some_college:race=nh_black,193,1.28,4.15,8.07,0.962,"Memphis, TN | Jackson, MS | Montgomery, AL","Memphis, TN | Jackson, MS | Montgomery, AL",False,10
male:50:edu=some_college:race=nh_asian,193,1.54,4.97,16.91,0.953,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
male:50:edu=some_college:race=nh_aian,193,2.14,6.05,31.75,0.948,"Yakima, WA | Anchorage, AK | Tulsa, OK","Yakima, WA | Anchorage, AK | Duluth, MN",False,10
male:50:edu=some_college:race=nh_nhpi,193,1.78,11.05,286.09,0.958,"Provo, UT | Fayetteville, AR | Honolulu, HI","Fayetteville, AR | Provo, UT | Honolulu, HI",True,10
male:50:edu=some_college:race=nh_twoplus,193,1.6,4.43,16.69,0.917,"Fayetteville, AR | Eugene, OR | Kalamazoo, MI","Fayetteville, AR | Eugene, OR | Kalamazoo, MI",False,9
male:50:edu=some_college:race=nh_other,193,2.9,10.63,133.0,0.927,"Fargo, ND | Roanoke, VA | Fayetteville, NC","Fargo, ND | Roanoke, VA | Fayetteville, NC",False,10
male:50:edu=bachelors:race=hispanic,193,1.38,3.86,17.33,0.963,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
male:50:edu=bachelors:race=nh_white,193,1.56,4.48,22.44,0.947,"Provo, UT | Madison, WI | Boulder, CO","Madison, WI | Provo, UT | Boulder, CO",True,10
male:50:edu=bachelors:race=nh_black,193,1.36,3.72,9.9,0.964,"Jackson, MS | Atlanta, GA | Memphis, TN","Jackson, MS | Atlanta, GA | Memphis, TN",False,10
male:50:edu=bachelors:race=nh_asian,193,1.68,5.34,12.63,0.953,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
male:50:edu=bachelors:race=nh_aian,193,2.09,6.22,81.14,0.95,"Fayetteville, AR | Rockford, IL | Anchorage, AK","Fayetteville, AR | Anchorage, AK | Yakima, WA",False,9
male:50:edu=bachelors:race=nh_nhpi,193,2.01,7.44,589.65,0.96,"Provo, UT | Clarksville, TN | Honolulu, HI","Provo, UT | Clarksville, TN | Honolulu, HI",False,9
male:50:edu=bachelors:race=nh_twoplus,193,1.69,4.5,21.56,0.933,"Kalamazoo, MI | Ann Arbor, MI | Provo, UT","Kalamazoo, MI | Ann Arbor, MI | Fayetteville, AR",False,10
male:50:edu=bachelors:race=nh_other,193,2.77,11.72,55.55,0.928,"Fargo, ND | Peoria, IL | Raleigh, NC","Fargo, ND | Peoria, IL | Raleigh, NC",False,8
male:50:edu=graduate:race=hispanic,193,1.18,4.66,19.41,0.963,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
male:50:edu=graduate:race=nh_white,193,1.56,4.35,22.2,0.95,"Boulder, CO | Madison, WI | Provo, UT","Boulder, CO | Madison, WI | Portland, ME",False,10
male:50:edu=graduate:race=nh_black,193,1.31,3.61,15.9,0.966,"Jackson, MS | Atlanta, GA | Montgomery, AL","Jackson, MS | Atlanta, GA | Montgomery, AL",False,9
male:50:edu=graduate:race=nh_asian,193,1.7,6.66,13.53,0.947,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
male:50:edu=graduate:race=nh_aian,193,2.12,6.2,144.34,0.954,"Fayetteville, AR | Rockford, IL | Salem, OR","Fayetteville, AR | Rockford, IL | Salem, OR",False,10
male:50:edu=graduate:race=nh_nhpi,193,1.86,7.07,413.28,0.961,"Provo, UT | Clarksville, TN | Honolulu, HI","Provo, UT | Honolulu, HI | Clarksville, TN",False,10
male:50:edu=graduate:race=nh_twoplus,193,1.8,4.32,24.32,0.937,"Ann Arbor, MI | San Francisco, CA | Kalamazoo, MI","Ann Arbor, MI | Boulder, CO | San Francisco, CA",False,10
male:50:edu=graduate:race=nh_other,193,2.93,14.06,54.83,0.936,"Fargo, ND | Gainesville, FL | Bend, OR","Fargo, ND | Gainesville, FL | Santa Rosa, CA",False,10
female:25:undisclosed,193,0.91,2.26,4.52,0.874,"Ann Arbor, MI | Boulder, CO | Madison, WI","Ann Arbor, MI | Boston, MA | Boulder, CO",False,10
