search,metros,median_abs_change_pts,p90_abs_change_pts,max_abs_change_pts,kendall_tau_index,top_by_index_before,top_by_index_after,top1_changes,top10_score_overlap
female:30:edu=some_college:race=hispanic,193,0.73,2.26,5.35,0.979,"Brownsville, TX | McAllen, TX | Laredo, TX","Brownsville, TX | McAllen, TX | Laredo, TX",False,9
female:30:edu=some_college:race=nh_white,193,0.94,2.85,6.95,0.96,"Portland, ME | Canton, OH | Sioux Falls, SD","Portland, ME | Canton, OH | Duluth, MN",False,9
female:30:edu=some_college:race=nh_black,193,0.63,2.2,6.41,0.985,"Memphis, TN | Jackson, MS | Montgomery, AL","Memphis, TN | Jackson, MS | Montgomery, AL",False,10
female:30:edu=some_college:race=nh_asian,193,0.78,2.35,9.27,0.971,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,9
female:30:edu=some_college:race=nh_aian,193,0.89,2.61,12.29,0.969,"Yakima, WA | Gulfport, MS | Anchorage, AK","Yakima, WA | Gulfport, MS | Anchorage, AK",False,9
female:30:edu=some_college:race=nh_nhpi,193,1.05,3.48,33.34,0.974,"Fayetteville, AR | Reading, PA | Salem, OR","Fayetteville, AR | Reading, PA | Salem, OR",False,10
female:30:edu=some_college:race=nh_twoplus,193,0.86,2.39,5.67,0.934,"Fayetteville, AR | Honolulu, HI | Peoria, IL","Fayetteville, AR | Honolulu, HI | Peoria, IL",False,9
female:30:edu=some_college:race=nh_other,193,1.06,3.72,9.89,0.97,"Greensboro, NC | Flint, MI | Waco, TX","Greensboro, NC | Flint, MI | Ocala, FL",False,10
female:30:edu=bachelors:race=hispanic,193,0.76,2.33,5.72,0.98,"Brownsville, TX | McAllen, TX | El Paso, TX","Brownsville, TX | McAllen, TX | El Paso, TX",False,10
female:30:edu=bachelors:race=nh_white,193,0.84,2.43,6.17,0.968,"Boulder, CO | Fort Collins, CO | Madison, WI","Boulder, CO | Portland, ME | Fort Collins, CO",False,10
female:30:edu=bachelors:race=nh_black,193,0.65,2.37,6.82,0.983,"Jackson, MS | Memphis, TN | Montgomery, AL","Jackson, MS | Memphis, TN | Montgomery, AL",False,10
female:30:edu=bachelors:race=nh_asian,193,0.68,2.21,9.93,0.981,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:30:edu=bachelors:race=nh_aian,193,0.96,2.22,13.79,0.972,"Gulfport, MS | Yakima, WA | Sioux Falls, SD","Gulfport, MS | Yakima, WA | Anchorage, AK",False,10
female:30:edu=bachelors:race=nh_nhpi,193,0.97,3.84,12.54,0.973,"Fayetteville, AR | Honolulu, HI | Reading, PA","Fayetteville, AR | Honolulu, HI | Reading, PA",False,10
female:30:edu=bachelors:race=nh_twoplus,193,0.87,2.0,5.22,0.961,"Ann Arbor, MI | Boulder, CO | San Francisco, CA","Ann Arbor, MI | San Francisco, CA | Boulder, CO",False,9
female:30:edu=bachelors:race=nh_other,193,0.94,3.32,8.65,0.974,"Greensboro, NC | Bend, OR | Green Bay, WI","Greensboro, NC | Bend, OR | Green Bay, WI",False,9
female:30:edu=graduate:race=hispanic,193,0.64,1.9,6.31,0.98,"Brownsville, TX | McAllen, TX | El Paso, TX","Brownsville, TX | McAllen, TX | El Paso, TX",False,10
female:30:edu=graduate:race=nh_white,193,0.69,2.05,6.61,0.977,"Ann Arbor, MI | Boulder, CO | Boston, MA","Ann Arbor, MI | Boulder, CO | Boston, MA",False,10
female:30:edu=graduate:race=nh_black,193,0.58,2.21,11.92,0.985,"Tuscaloosa, AL | Jackson, MS | Atlanta, GA","Tuscaloosa, AL | Jackson, MS | Atlanta, GA",False,9
female:30:edu=graduate:race=nh_asian,193,0.57,1.84,8.74,0.982,"San Jose, CA | San Francisco, CA | Seattle, WA","San Jose, CA | San Francisco, CA | Seattle, WA",False,10
female:30:edu=graduate:race=nh_aian,193,0.84,2.15,11.44,0.978,"Gulfport, MS | Anchorage, AK | Sioux Falls, SD","Gulfport, MS | Anchorage, AK | Sioux Falls, SD",False,10
female:30:edu=graduate:race=nh_nhpi,193,0.8,3.49,19.02,0.977,"Fayetteville, AR | Honolulu, HI | San Jose, CA","Fayetteville, AR | Honolulu, HI | San Jose, CA",False,10
female:30:edu=graduate:race=nh_twoplus,193,0.64,1.9,5.38,0.974,"Ann Arbor, MI | San Jose, CA | Boston, MA","Ann Arbor, MI | San Jose, CA | San Francisco, CA",False,10
female:30:edu=graduate:race=nh_other,193,0.84,3.31,14.45,0.978,"Greensboro, NC | Gainesville, FL | Lincoln, NE","Greensboro, NC | Gainesville, FL | Bend, OR",False,10
female:35:undisclosed,193,0.87,2.38,6.61,0.88,"Ann Arbor, MI | College Station, TX | Boulder, CO","Ann Arbor, MI | Washington, DC | Augusta, GA",False,10
female:35:edu=hs_or_less,193,0.84,2.49,6.41,0.915,"Visalia, CA | McAllen, TX | Merced, CA","Visalia, CA | McAllen, TX | Merced, CA",False,10
female:35:edu=some_college,193,0.94,2.5,6.51,0.886,"Jackson, MS | Memphis, TN | Fayetteville, NC","Jackson, MS | Memphis, TN | Augusta, GA",False,9
female:35:edu=bachelors,193,0.95,2.42,8.18,0.95,"Ann Arbor, MI | Boulder, CO | Fort Collins, CO","Ann Arbor, MI | Boulder, CO | San Francisco, CA",False,10
female:35:edu=graduate,193,0.79,2.36,8.52,0.962,"Ann Arbor, MI | Boulder, CO | San Francisco, CA","Ann Arbor, MI | San Francisco, CA | Boulder, CO",False,10
female:35:race=hispanic,193,0.71,2.56,8.68,0.978,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,9
female:35:race=nh_white,193,0.94,2.94,10.21,0.961,"Ann Arbor, MI | Portland, ME | Provo, UT","Portland, ME | Ann Arbor, MI | Bend, OR",True,9
female:35:race=nh_black,193,0.7,2.22,7.01,0.984,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:35:race=nh_asian,193,0.62,2.36,10.98,0.975,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:35:race=nh_aian,193,0.89,2.92,31.94,0.966,"Anchorage, AK | Yakima, WA | Sioux Falls, SD","Anchorage, AK | Yakima, WA | Sioux Falls, SD",False,10
female:35:race=nh_nhpi,193,0.79,3.93,34.82,0.978,"Fayetteville, AR | Honolulu, HI | Reading, PA","Fayetteville, AR | Honolulu, HI | Reading, PA",False,10
female:35:race=nh_twoplus,193,0.92,2.63,8.92,0.937,"Fayetteville, AR | Ann Arbor, MI | Sioux Falls, SD","Fayetteville, AR | Ann Arbor, MI | Sioux Falls, SD",False,9
female:35:race=nh_other,193,0.88,3.33,24.47,0.97,"Lincoln, NE | Atlantic City, NJ | Waco, TX","Lincoln, NE | Atlantic City, NJ | Waco, TX",False,10
female:35:edu=hs_or_less:race=hispanic,193,0.68,2.43,9.75,0.981,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:35:edu=hs_or_less:race=nh_white,193,1.04,3.08,8.53,0.959,"Kingsport, TN | Duluth, MN | Canton, OH","Kingsport, TN | Duluth, MN | Canton, OH",False,9
female:35:edu=hs_or_less:race=nh_black,193,0.72,2.03,6.19,0.989,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:35:edu=hs_or_less:race=nh_asian,193,0.85,2.42,7.43,0.96,"San Jose, CA | Honolulu, HI | Stockton, CA","San Jose, CA | Honolulu, HI | Stockton, CA",False,10
female:35:edu=hs_or_less:race=nh_aian,193,0.93,3.09,39.52,0.965,"Anchorage, AK | Yakima, WA | Sioux Falls, SD","Anchorage, AK | Yakima, WA | Sioux Falls, SD",False,10
female:35:edu=hs_or_less:race=nh_nhpi,193,0.81,3.37,44.45,0.978,"Fayetteville, AR | Reading, PA | Honolulu, HI","Fayetteville, AR | Honolulu, HI | Reading, PA",False,9
female:35:edu=hs_or_less:race=nh_twoplus,193,0.92,2.66,8.18,0.928,"Fayetteville, AR | Sioux Falls, SD | Flint, MI","Fayetteville, AR | Sioux Falls, SD | Flint, MI",False,9
female:35:edu=hs_or_less:race=nh_other,193,0.95,3.4,22.77,0.971,"Atlantic City, NJ | Provo, UT | Evansville, IN","Atlantic City, NJ | Columbus, GA | Evansville, IN",False,9
female:35:edu=some_college:race=hispanic,193,0.72,2.77,8.82,0.979,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:35:edu=some_college:race=nh_white,193,1.01,3.19,10.34,0.958,"Duluth, MN | Sioux Falls, SD | Springfield, MO","Duluth, MN | Sioux Falls, SD | Portland, ME",False,9
female:35:edu=some_college:race=nh_black,193,0.69,2.21,5.81,0.985,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,9
female:35:edu=some_college:race=nh_asian,193,0.77,2.46,9.89,0.966,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:35:edu=some_college:race=nh_aian,193,0.85,3.05,30.66,0.971,"Anchorage, AK | Yakima, WA | Albuquerque, NM","Anchorage, AK | Yakima, WA | Albuquerque, NM",False,10
female:35:edu=some_college:race=nh_nhpi,193,0.87,3.88,19.09,0.981,"Fayetteville, AR | Honolulu, HI | Reading, PA","Fayetteville, AR | Honolulu, HI | Sioux Falls, SD",False,10
female:35:edu=some_college:race=nh_twoplus,193,0.96,2.79,8.19,0.935,"Fayetteville, AR | Sioux Falls, SD | Bremerton, WA","Fayetteville, AR | Sioux Falls, SD | Bremerton, WA",False,9
female:35:edu=some_college:race=nh_other,193,0.93,3.7,18.08,0.968,"Waco, TX | Evansville, IN | Atlantic City, NJ","Waco, TX | Evansville, IN | Lafayette, LA",False,10
female:35:edu=bachelors:race=hispanic,193,0.78,2.64,6.81,0.979,"McAllen, TX | El Paso, TX | Brownsville, TX","McAllen, TX | El Paso, TX | Brownsville, TX",False,10
female:35:edu=bachelors:race=nh_white,193,1.0,2.81,12.21,0.966,"Ann Arbor, MI | Boulder, CO | Provo, UT","Boulder, CO | Ann Arbor, MI | Portland, ME",True,9
female:35:edu=bachelors:race=nh_black,193,0.81,2.35,9.96,0.982,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,10
female:35:edu=bachelors:race=nh_asian,193,0.68,2.59,13.16,0.978,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:35:edu=bachelors:race=nh_aian,193,0.92,2.96,18.19,0.972,"Yakima, WA | Anchorage, AK | Albuquerque, NM","Yakima, WA | Anchorage, AK | Albuquerque, NM",False,10
female:35:edu=bachelors:race=nh_nhpi,193,0.96,3.99,27.81,0.981,"Fort Wayne, IN | Fayetteville, AR | Honolulu, HI","Fort Wayne, IN | Fayetteville, AR | Honolulu, HI",False,10
female:35:edu=bachelors:race=nh_twoplus,193,0.91,2.62,9.77,0.958,"Fayetteville, AR | Ann Arbor, MI | Boulder, CO","Fayetteville, AR | Ann Arbor, MI | Boulder, CO",False,10
female:35:edu=bachelors:race=nh_other,193,1.11,3.58,33.26,0.974,"Lincoln, NE | Atlantic City, NJ | Waco, TX","Lincoln, NE | Waco, TX | Atlantic City, NJ",False,10
female:35:edu=graduate:race=hispanic,193,0.77,2.58,8.33,0.976,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | El Paso, TX | Brownsville, TX",False,10
female:35:edu=graduate:race=nh_white,193,0.94,2.68,9.17,0.97,"Ann Arbor, MI | Boulder, CO | Bend, OR","Ann Arbor, MI | Boulder, CO | Bend, OR",False,10
female:35:edu=graduate:race=nh_black,193,0.78,2.16,13.16,0.984,"Atlanta, GA | Washington, DC | Jackson, MS","Atlanta, GA | Washington, DC | Jackson, MS",False,10
female:35:edu=graduate:race=nh_asian,193,0.59,2.42,10.83,0.979,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:35:edu=graduate:race=nh_aian,193,0.81,2.48,13.63,0.974,"Anchorage, AK | Yakima, WA | Greenville, SC","Anchorage, AK | Yakima, WA | Greenville, SC",False,10
female:35:edu=graduate:race=nh_nhpi,193,0.84,3.35,47.81,0.98,"Fort Wayne, IN | Salt Lake City, UT | Honolulu, HI","Fort Wayne, IN | Honolulu, HI | Salt Lake City, UT",False,10
female:35:edu=graduate:race=nh_twoplus,193,0.83,2.42,10.63,0.97,"Ann Arbor, MI | Fayetteville, AR | Boulder, CO","Ann Arbor, MI | Fayetteville, AR | San Francisco, CA",False,10
female:35:edu=graduate:race=nh_other,193,1.01,3.29,50.3,0.982,"Lincoln, NE | Atlantic City, NJ | Nashville, TN","Lincoln, NE | Atlantic City, NJ | Nashville, TN",False,9
female:40:undisclosed,193,0.93,2.46,8.16,0.868,"Tuscaloosa, AL | Savannah, GA | Fargo, ND","Jackson, MS | Baltimore, MD | Tuscaloosa, AL",True,9
female:40:edu=hs_or_less,193,1.0,2.67,6.63,0.903,"McAllen, TX | Bakersfield, CA | Merced, CA","Bakersfield, CA | Merced, CA | McAllen, TX",True,10
female:40:edu=some_college,193,0.9,2.68,7.53,0.893,"Fargo, ND | Jackson, MS | Tuscaloosa, AL","Jackson, MS | Fargo, ND | Tuscaloosa, AL",True,9
female:40:edu=bachelors,193,1.03,2.54,10.53,0.932,"Ann Arbor, MI | Boulder, CO | San Francisco, CA","Ann Arbor, MI | Boulder, CO | San Francisco, CA",False,10
female:40:edu=graduate,193,1.02,2.53,9.93,0.946,"Ann Arbor, MI | Washington, DC | San Francisco, CA","Ann Arbor, MI | Washington, DC | San Francisco, CA",False,9
female:40:race=hispanic,193,0.89,3.25,7.91,0.97,"Brownsville, TX | McAllen, TX | El Paso, TX","Brownsville, TX | McAllen, TX | El Paso, TX",False,10
female:40:race=nh_white,193,0.95,2.87,13.2,0.956,"Provo, UT | Duluth, MN | Portland, ME","Portland, ME | Duluth, MN | Bend, OR",True,9
female:40:race=nh_black,193,0.97,3.51,10.78,0.976,"Montgomery, AL | Jackson, MS | Memphis, TN","Montgomery, AL | Jackson, MS | Memphis, TN",False,10
female:40:race=nh_asian,193,1.08,3.14,10.02,0.952,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:40:race=nh_aian,193,1.44,4.02,25.06,0.956,"Yakima, WA | Tulsa, OK | Anchorage, AK","Yakima, WA | Anchorage, AK | Tulsa, OK",False,10
female:40:race=nh_nhpi,193,1.29,7.13,28.65,0.965,"Honolulu, HI | Fayetteville, AR | Yakima, WA","Honolulu, HI | Fayetteville, AR | Yakima, WA",False,10
female:40:race=nh_twoplus,193,1.0,2.79,10.92,0.923,"Fayetteville, AR | Honolulu, HI | Portland, ME","Fayetteville, AR | Honolulu, HI | Portland, ME",False,9
female:40:race=nh_other,193,1.92,8.56,41.28,0.939,"Lafayette, LA | Atlantic City, NJ | Manchester, NH","Lafayette, LA | Lincoln, NE | Columbia, SC",False,9
female:40:edu=hs_or_less:race=hispanic,193,0.96,3.33,9.59,0.971,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:40:edu=hs_or_less:race=nh_white,193,1.02,3.17,11.35,0.959,"Duluth, MN | Erie, PA | York, PA","Duluth, MN | Kingsport, TN | Erie, PA",False,9
female:40:edu=hs_or_less:race=nh_black,193,1.07,3.44,9.17,0.98,"Montgomery, AL | Jackson, MS | Memphis, TN","Montgomery, AL | Jackson, MS | Memphis, TN",False,10
female:40:edu=hs_or_less:race=nh_asian,193,1.08,2.93,6.36,0.949,"San Jose, CA | Honolulu, HI | Stockton, CA","San Jose, CA | Honolulu, HI | Stockton, CA",False,9
female:40:edu=hs_or_less:race=nh_aian,193,1.54,4.58,30.31,0.95,"Yakima, WA | Anchorage, AK | Green Bay, WI","Yakima, WA | Green Bay, WI | Anchorage, AK",False,9
female:40:edu=hs_or_less:race=nh_nhpi,193,1.33,7.21,22.76,0.964,"Honolulu, HI | Fayetteville, AR | Olympia, WA","Honolulu, HI | Fayetteville, AR | Olympia, WA",False,9
female:40:edu=hs_or_less:race=nh_twoplus,193,1.14,2.96,8.07,0.92,"Fayetteville, AR | Akron, OH | Spokane, WA","Fayetteville, AR | Akron, OH | Spokane, WA",False,9
female:40:edu=hs_or_less:race=nh_other,193,2.03,6.63,35.26,0.938,"Lafayette, LA | Atlantic City, NJ | Columbus, GA","Lafayette, LA | Atlantic City, NJ | Columbus, GA",False,9
female:40:edu=some_college:race=hispanic,193,0.89,3.42,7.32,0.969,"Brownsville, TX | McAllen, TX | El Paso, TX","Brownsville, TX | McAllen, TX | El Paso, TX",False,9
female:40:edu=some_college:race=nh_white,193,0.98,3.1,12.26,0.953,"Duluth, MN | Fargo, ND | Provo, UT","Duluth, MN | Fargo, ND | Sioux Falls, SD",False,10
female:40:edu=some_college:race=nh_black,193,1.09,3.67,10.62,0.974,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,9
female:40:edu=some_college:race=nh_asian,193,1.11,2.97,5.32,0.956,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
female:40:edu=some_college:race=nh_aian,193,1.38,4.06,25.05,0.955,"Yakima, WA | Tulsa, OK | Anchorage, AK","Yakima, WA | Anchorage, AK | Tulsa, OK",False,10
female:40:edu=some_college:race=nh_nhpi,193,1.29,7.8,27.45,0.964,"Fayetteville, AR | Honolulu, HI | Yakima, WA","Fayetteville, AR | Honolulu, HI | Yakima, WA",False,10
female:40:edu=some_college:race=nh_twoplus,193,0.92,2.98,9.61,0.928,"Fayetteville, AR | Spokane, WA | Honolulu, HI","Fayetteville, AR | Sioux Falls, SD | Honolulu, HI",False,10
female:40:edu=some_college:race=nh_other,193,2.08,8.55,49.75,0.938,"Lafayette, LA | Manchester, NH | Atlantic City, NJ","Lafayette, LA | Manchester, NH | Atlantic City, NJ",False,9
female:40:edu=bachelors:race=hispanic,193,1.11,3.2,7.88,0.965,"Brownsville, TX | El Paso, TX | McAllen, TX","Brownsville, TX | El Paso, TX | McAllen, TX",False,10
female:40:edu=bachelors:race=nh_white,193,0.96,3.1,15.37,0.961,"Provo, UT | Boulder, CO | Bend, OR","Boulder, CO | Portland, ME | Bend, OR",True,10
female:40:edu=bachelors:race=nh_black,193,1.18,3.53,14.92,0.973,"Jackson, MS | Memphis, TN | Montgomery, AL","Jackson, MS | Memphis, TN | Montgomery, AL",False,10
female:40:edu=bachelors:race=nh_asian,193,1.01,3.59,10.79,0.959,"San Jose, CA | San Francisco, CA | Honolulu, HI","San Jose, CA | San Francisco, CA | Honolulu, HI",False,10
female:40:edu=bachelors:race=nh_aian,193,1.26,4.12,18.08,0.958,"Yakima, WA | Albuquerque, NM | Tulsa, OK","Yakima, WA | Albuquerque, NM | Tulsa, OK",False,10
female:40:edu=bachelors:race=nh_nhpi,193,1.19,7.05,60.49,0.966,"Yakima, WA | Honolulu, HI | Salt Lake City, UT","Yakima, WA | Honolulu, HI | Salt Lake City, UT",False,10
female:40:edu=bachelors:race=nh_twoplus,193,1.02,2.72,13.48,0.942,"Boulder, CO | Ann Arbor, MI | Honolulu, HI","Boulder, CO | Ann Arbor, MI | Honolulu, HI",False,10
female:40:edu=bachelors:race=nh_other,193,1.9,8.34,60.0,0.944,"Lafayette, LA | Columbia, SC | Charleston, SC","Lafayette, LA | Columbia, SC | Lincoln, NE",False,9
female:40:edu=graduate:race=hispanic,193,1.04,3.27,6.96,0.966,"El Paso, TX | McAllen, TX | Brownsville, TX","El Paso, TX | McAllen, TX | Brownsville, TX",False,10
female:40:edu=graduate:race=nh_white,193,0.92,2.86,14.8,0.965,"Ann Arbor, MI | Boulder, CO | Bend, OR","Ann Arbor, MI | Boulder, CO | Bend, OR",False,10
female:40:edu=graduate:race=nh_black,193,1.33,3.58,13.92,0.967,"Atlanta, GA | Memphis, TN | Jackson, MS","Atlanta, GA | Memphis, TN | Jackson, MS",False,10
female:40:edu=graduate:race=nh_asian,193,1.11,4.11,20.04,0.956,"San Jose, CA | San Francisco, CA | Ann Arbor, MI","San Jose, CA | San Francisco, CA | Ann Arbor, MI",False,10
female:40:edu=graduate:race=nh_aian,193,1.14,4.18,17.28,0.963,"Albuquerque, NM | Tulsa, OK | Yakima, WA","Albuquerque, NM | Tulsa, OK | Yakima, WA",False,9
female:40:edu=graduate:race=nh_nhpi,193,1.14,8.05,135.66,0.965,"Bridgeport, CT | Salt Lake City, UT | Fort Wayne, IN","Bridgeport, CT | Fort Wayne, IN | Yakima, WA",False,10
female:40:edu=graduate:race=nh_twoplus,193,1.12,2.73,16.44,0.955,"Ann Arbor, MI | Boulder, CO | Bend, OR","Ann Arbor, MI | Boulder, CO | San Francisco, CA",False,10
female:40:edu=graduate:race=nh_other,193,1.76,8.94,129.83,0.953,"Lafayette, LA | Lincoln, NE | Kiryas Joel, NY","Lafayette, LA | Lincoln, NE | Kiryas Joel, NY",False,9
female:50:undisclosed,193,1.05,2.66,6.96,0.844,"Raleigh, NC | Ann Arbor, MI | Atlanta, GA","Atlanta, GA | Raleigh, NC | Ann Arbor, MI",True,10
female:50:edu=hs_or_less,193,1.03,2.66,10.44,0.909,"McAllen, TX | Yakima, WA | Brownsville, TX","McAllen, TX | Yakima, WA | Brownsville, TX",False,10
female:50:edu=some_college,193,1.09,2.69,6.28,0.867,"Tuscaloosa, AL | Birmingham, AL | Evansville, IN","Tuscaloosa, AL | Birmingham, AL | Jackson, MS",False,10
female:50:edu=bachelors,193,0.99,2.58,8.63,0.93,"Boulder, CO | Lincoln, NE | Ann Arbor, MI","Boulder, CO | Lincoln, NE | Ann Arbor, MI",False,9
female:50:edu=graduate,193,1.0,3.1,8.64,0.946,"Boulder, CO | Ann Arbor, MI | Washington, DC","Boulder, CO | Ann Arbor, MI | Washington, DC",False,9
female:50:race=hispanic,193,0.86,2.89,19.94,0.968,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,9
female:50:race=nh_white,193,1.01,2.66,8.23,0.948,"Lincoln, NE | Boulder, CO | Fargo, ND","Fargo, ND | Madison, WI | Boulder, CO",True,9
female:50:race=nh_black,193,0.96,3.64,9.3,0.975,"Montgomery, AL | Jackson, MS | Memphis, TN","Montgomery, AL | Memphis, TN | Jackson, MS",False,10
female:50:race=nh_asian,193,1.21,3.72,8.19,0.938,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
female:50:race=nh_aian,193,1.49,5.63,51.31,0.946,"Green Bay, WI | Yakima, WA | Anchorage, AK","Green Bay, WI | Yakima, WA | Anchorage, AK",False,9
female:50:race=nh_nhpi,193,1.05,7.34,75.34,0.949,"Tallahassee, FL | Honolulu, HI | Myrtle Beach, SC","Honolulu, HI | Tallahassee, FL | Myrtle Beach, SC",True,10
female:50:race=nh_twoplus,193,1.12,2.76,10.94,0.912,"Fayetteville, AR | Boulder, CO | Honolulu, HI","Fayetteville, AR | Honolulu, HI | Boulder, CO",False,10
female:50:race=nh_other,193,2.33,11.53,43.99,0.929,"Wilmington, NC | Greenville, SC | Jackson, MS","Jackson, MS | Greenville, SC | Wilmington, NC",True,10
female:50:edu=hs_or_less:race=hispanic,193,0.9,3.5,20.79,0.968,"McAllen, TX | Brownsville, TX | Laredo, TX","McAllen, TX | Brownsville, TX | Laredo, TX",False,10
female:50:edu=hs_or_less:race=nh_white,193,1.06,2.82,7.48,0.957,"Springfield, MO | Duluth, MN | Hickory, NC","Duluth, MN | Springfield, MO | Kingsport, TN",True,10
female:50:edu=hs_or_less:race=nh_black,193,1.15,3.55,10.56,0.976,"Montgomery, AL | Memphis, TN | Jackson, MS","Montgomery, AL | Memphis, TN | Jackson, MS",False,10
female:50:edu=hs_or_less:race=nh_asian,193,1.25,3.73,8.91,0.937,"Honolulu, HI | San Jose, CA | San Francisco, CA","Honolulu, HI | San Jose, CA | San Francisco, CA",False,10
female:50:edu=hs_or_less:race=nh_aian,193,1.39,5.92,36.53,0.945,"Green Bay, WI | Yakima, WA | Duluth, MN","Green Bay, WI | Yakima, WA | Duluth, MN",False,10
female:50:edu=hs_or_less:race=nh_nhpi,193,1.18,8.91,57.71,0.959,"Honolulu, HI | Salem, OR | Stockton, CA","Honolulu, HI | Salem, OR | Stockton, CA",False,10
female:50:edu=hs_or_less:race=nh_twoplus,193,1.09,3.05,11.67,0.913,"Fayetteville, AR | Slidell, LA | Evansville, IN","Fayetteville, AR | Yakima, WA | Slidell, LA",False,10
female:50:edu=hs_or_less:race=nh_other,193,2.08,11.03,43.76,0.934,"Jackson, MS | Greenville, SC | Yakima, WA","Jackson, MS | Greenville, SC | Yakima, WA",False,10
female:50:edu=some_college:race=hispanic,193,0.92,3.15,20.14,0.968,"McAllen, TX | Brownsville, TX | El Paso, TX","McAllen, TX | Brownsville, TX | El Paso, TX",False,10
female:50:edu=some_college:race=nh_white,193,1.14,2.84,8.01,0.954,"Duluth, MN | Provo, UT | Cedar Rapids, IA","Duluth, MN | Cedar Rapids, IA | Spokane, WA",False,10
female:50:edu=some_college:race=nh_black,193,1.06,3.6,9.37,0.973,"Jackson, MS | Montgomery, AL | Memphis, TN","Jackson, MS | Montgomery, AL | Memphis, TN",False,9
female:50:edu=some_college:race=nh_asian,193,1.19,3.63,9.16,0.94,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
female:50:edu=some_college:race=nh_aian,193,1.55,5.09,50.64,0.944,"Yakima, WA | Green Bay, WI | Anchorage, AK","Green Bay, WI | Yakima, WA | Anchorage, AK",True,10
female:50:edu=some_college:race=nh_nhpi,193,1.24,7.17,97.98,0.949,"Tallahassee, FL | Honolulu, HI | Myrtle Beach, SC","Tallahassee, FL | Honolulu, HI | Myrtle Beach, SC",False,10
female:50:edu=some_college:race=nh_twoplus,193,1.21,2.9,11.11,0.909,"Fayetteville, AR | Evansville, IN | Honolulu, HI","Fayetteville, AR | Evansville, IN | Honolulu, HI",False,10
female:50:edu=some_college:race=nh_other,193,2.21,11.31,69.59,0.93,"Fayetteville, AR | Greenville, SC | Erie, PA","Greenville, SC | Fayetteville, AR | Jackson, MS",True,9
female:50:edu=bachelors:race=hispanic,193,0.96,2.75,18.99,0.968,"McAllen, TX | Brownsville, TX | El Paso, TX","Brownsville, TX | McAllen, TX | El Paso, TX",True,10
female:50:edu=bachelors:race=nh_white,193,0.98,2.66,12.75,0.955,"Lincoln, NE | Boulder, CO | Madison, WI","Boulder, CO | Lincoln, NE | Fargo, ND",True,10
female:50:edu=bachelors:race=nh_black,193,1.21,4.32,13.6,0.966,"Memphis, TN | Jackson, MS | Montgomery, AL","Memphis, TN | Montgomery, AL | Jackson, MS",False,9
female:50:edu=bachelors:race=nh_asian,193,1.25,3.88,9.61,0.946,"San Jose, CA | Honolulu, HI | San Francisco, CA","San Jose, CA | Honolulu, HI | San Francisco, CA",False,10
female:50:edu=bachelors:race=nh_aian,193,1.54,5.17,106.57,0.943,"Yakima, WA | Green Bay, WI | Anchorage, AK","Yakima, WA | Green Bay, WI | Anchorage, AK",False,9
female:50:edu=bachelors:race=nh_nhpi,193,1.13,5.59,57.69,0.949,"Honolulu, HI | Tallahassee, FL | Myrtle Beach, SC","Honolulu, HI | Tallahassee, FL | Myrtle Beach, SC",False,10
