cbsa,sex,median,published,pub_moe,gap,gap_pct,pass_pub_moe,pass_within_3pct
40220,Female,36549.0,37281.0,1280.0,-732.0,-1.963466645208015,True,True
24420,Female,32488.0,30213.0,2664.0,2275.0,7.529871247476253,True,False
31020,Male,58094.036,58670.0,3419.0,-575.9639999999999,-0.9817010397136526,True,True
45220,Male,41763.435,41815.0,1161.0,-51.56500000000233,-0.12331699151022918,True,True
11540,Female,40326.561,40907.0,678.0,-580.4389999999985,-1.4189234116410356,True,True
35980,Male,58094.036,58600.0,2020.0,-505.96399999999994,-0.8634197952218429,True,True
44420,Female,37780.92,37475.0,1383.0,305.91999999999825,0.8163308872581675,True,True
22520,Female,30457.5,30611.0,1626.0,-153.5,-0.5014537257848486,True,True
37900,Female,36660.51,36884.0,731.0,-223.48999999999796,-0.60592668907927,True,True
27060,Female,33410.748,33855.0,3004.0,-444.2520000000004,-1.3122197607443522,True,True
42540,Female,35750.176,35526.0,460.0,224.17599999999948,0.6310195349884578,True,True
46520,Female,42770.595,43603.0,732.0,-832.4049999999988,-1.9090544228608095,False,True
39150,Male,42453.334,43695.0,1845.0,-1241.6659999999974,-2.8416660945188177,True,True
12260,Male,47729.64,48804.0,1438.0,-1074.3600000000006,-2.2013769363166964,True,True
30460,Female,35107.345,35061.0,906.0,46.345000000001164,0.13218390804598032,True,True
20220,Female,36660.51,38033.0,1618.0,-1372.489999999998,-3.6086819341098466,True,False
39580,Male,63283.041,64230.0,1378.0,-946.9590000000026,-1.4743250817375098,True,True
43640,Female,36549.0,37310.0,1954.0,-761.0,-2.039667649423747,True,True
16540,Female,36867.369,38745.0,1303.0,-1877.6310000000012,-4.846124661246615,False,False
47300,Female,30550.425,30865.0,651.0,-314.5750000000007,-1.0191965008909791,True,True
49620,Male,55524.4921,55511.0,1037.0,13.49210000000312,0.024305272828814325,True,True
33340,Male,56212.782,56892.0,650.0,-679.2180000000008,-1.1938726007171496,False,True
48620,Female,34007.3685,34373.0,797.0,-365.63150000000314,-1.0637171617257821,True,True
28140,Female,41978.8,41915.0,439.0,63.80000000000291,0.152212811642617,True,True
46540,Male,48880.68,49656.0,1101.0,-775.3199999999997,-1.5613823102948279,True,True
15540,Male,51390.878,55378.0,1791.0,-3987.122000000003,-7.199830257502985,False,False
41140,Female,35797.23,34385.0,1537.0,1412.2300000000032,4.107110658717474,True,False
16020,Female,30722.8075,30886.0,1276.0,-163.19250000000102,-0.5283704591076896,True,True
13380,Female,36867.369,36457.0,828.0,410.3689999999988,1.125624708560767,True,True
21060,Male,47729.64,47956.0,1567.0,-226.36000000000058,-0.47201601468012466,True,True
13900,Male,56671.38,54781.0,2948.0,1890.3799999999974,3.4507949836622136,True,False
39340,Female,25136.8425,25354.0,702.0,-217.15750000000116,-0.8565019326339084,True,True
26380,Male,57275.568,57473.0,2822.0,-197.4320000000007,-0.3435213056565704,True,True
