cbsa,sex,est,published,gap,pub_moe,moe,n_alloc,pass_pub_moe,pass_combined_moe
41860,Male,0.5795690658244681,0.5722041203255234,0.0073649454989447305,0.01081505761932515,0.013091717031423795,4867.0,True,True
44220,Female,0.38393071926870337,0.3981236468607169,-0.014192927592013516,0.05994248235347202,0.06640701967419345,69.0,True,True
24860,Female,0.3457854370078388,0.3185306518639852,0.0272547851438536,0.02347857494433493,0.029583841943622055,451.1404835723743,False,True
27740,Male,0.43485594830537005,0.43646080760095013,-0.0016048592955800745,0.04794430363117256,0.05647543158837806,125.1231198204211,True,True
17300,Male,0.29619438075517324,0.30810316958324546,-0.011908788828072225,0.04179448959681709,0.03995612594687303,155.5971631213263,True,True
42140,Female,0.5094035119684676,0.48801128349788436,0.021392228470583197,0.06559323886992686,0.06795157207863935,105.80349222137718,True,True
35620,Female,0.5006324884167861,0.49803359414374593,0.0025988942730401643,0.006695005166092252,0.007121809698170186,14254.296047837897,True,True
45060,Male,0.5606963234557487,0.5547066455240017,0.005989677931746984,0.028823720054602157,0.03626841094716678,677.0042113791366,True,True
10180,Male,0.3945303926712329,0.4247467438494935,-0.030216351178260603,0.058475472696310773,0.04988048576997846,180.81870206702786,True,True
46340,Male,0.4452893414099755,0.45374903375418707,-0.008459692344211567,0.05525105369241178,0.06952487850302547,128.0,True,True
47020,Female,0.37337691264631306,0.4043427230046948,-0.03096581035838175,0.07178268564558217,0.07075043933496399,46.59859331095225,True,True
38300,Male,0.5219946988189167,0.529908833400776,-0.0079141345818593,0.013125332736615153,0.018377032967055743,1984.642845132292,True,True
29540,Female,0.3409988636978519,0.3379559680552558,0.0030428956425960774,0.0307361437145846,0.03448956424571426,220.0,True,True
39740,Female,0.380008971291866,0.39809972748029754,-0.018090756188431534,0.03726517328668499,0.03718974499872231,218.0,True,True
44180,Male,0.3604893101534267,0.34594287875922075,0.014546431394205972,0.030671876640127698,0.03741840736695123,242.47918662435478,True,True
45940,Female,0.4706232970027248,0.47226246271836386,-0.001639165715639046,0.04252206428006208,0.04073076732619953,199.0,True,True
36740,Male,0.5304317390646284,0.5374243439999244,-0.006992604935296076,0.021201816767861596,0.021669429158921977,1778.0,True,True
27260,Male,0.4827251115577913,0.4608517171177786,0.021873394440012683,0.024039591998961423,0.023374590214663756,926.6482929512293,True,True
37340,Female,0.4611049107142857,0.447460213647264,0.013644697067021705,0.04370552631358364,0.04196621811888868,257.0,True,True
36100,Male,0.48839326354119256,0.47148391747004237,0.01690934607115019,0.04654088686931793,0.05733897753312678,187.0,True,True
15980,Female,0.4281852586051541,0.41754573374282283,0.010639524862331273,0.0362657843797142,0.03430219255499135,300.0,True,True
31140,Female,0.3995890148119156,0.3887979037012774,0.010791111110638185,0.024191507553669937,0.02456044196261293,720.9782874294026,True,True
29200,Female,0.23765769975430626,0.238982087005971,-0.0013243872516647548,0.033480787415758675,0.04282346886230524,103.75037303006104,True,True
23060,Female,0.34342472563379295,0.3359068472345273,0.007517878399265654,0.030932834824310324,0.03391442004082068,212.71140643937983,True,True
29020,Male,0.5373995435479505,0.45390625,0.08349329354795049,0.08038888746759723,0.07572590922977453,57.16903109895768,False,True
49340,Female,0.40711736373401713,0.4001314742414282,0.006985889492588937,0.025414925397780484,0.026738367968447106,558.0,True,True
44140,Female,0.5666860052858893,0.549228108385113,0.01745789690077626,0.036220348110854034,0.04459393008051618,334.0,True,True
12700,Female,0.38795523473967247,0.39640151515151517,-0.0084462804118427,0.061539204127660556,0.07308283733889515,100.09878368965775,True,True
12580,Male,0.548403533411429,0.5422333821580526,0.006170151253376388,0.014105360811129548,0.01722678890966085,2274.2753889904434,True,True
24340,Male,0.443351071870793,0.43679966730587066,0.006551404564922314,0.020429686499344693,0.022986528395202405,716.017005737403,True,True
11460,Female,0.4079539769884942,0.4240890688259109,-0.016135091837416682,0.03126106150676989,0.04433995840952326,223.0,True,True
45900,Female,0.4090523256689112,0.4211469534050179,-0.0120946277361067,0.05596267741217106,0.06067031818413066,96.23683787730357,True,True
13020,Male,0.4858751671061311,0.5395977372721559,-0.053722570166024775,0.07344838864182181,0.05745444553665446,64.63811492462673,True,True
12980,Female,0.38012361743656475,0.4430235213519068,-0.06289990391534206,0.061416012895572414,0.060650791666642466,59.02359689026153,False,True
38540,Female,0.20313197751199888,0.2421120412105602,-0.03898006369856133,0.05819337118773823,0.05847195496507661,29.100423186378073,True,True
30860,Female,0.17467074213246883,0.16956521739130434,0.005105524741164491,0.0428786217290031,0.04312803315141094,44.20047374566739,True,True
25500,Male,0.47771139705882354,0.4703016241299304,0.007409772928893166,0.07014772853975165,0.0857505233892,73.0,True,True
39540,Female,0.4956036523503551,0.4439073178863144,0.051696334464040705,0.05911654028864314,0.08607921946261816,58.0,True,True
43100,Female,0.4439546599496222,0.33866103739445114,0.10529362255517105,0.0693573978379217,0.10674133202124254,61.0,False,True
12620,Female,0.2711896827493143,0.31557949331737484,-0.04438981056806052,0.05643399490659924,0.0647950791834753,74.2731681982203,True,True
28100,Male,0.5557833840568628,0.5318195398864655,0.02396384417039732,0.06496685464338282,0.0640760935651749,94.76218948260055,True,True
42660,Female,0.3797262415995493,0.37854833633736734,0.0011779052621819774,0.010694360999055874,0.012362729340793516,2598.0,True,True
47460,Female,0.2512895794148599,0.35602094240837695,-0.10473136299351704,0.09994512176223391,0.07136246758769366,21.597155740747162,False,True
25060,Male,0.4799842914373381,0.44921380132647737,0.03077049011086075,0.04285643566191341,0.046445872715460586,212.71128345902693,True,True
40580,Male,0.6273476866697205,0.5699635369188697,0.05738414975085082,0.0702809226047494,0.07503503075263199,93.0,True,True
20500,Male,0.4955982840054394,0.4868403473613894,0.008757936644050002,0.03503304069155178,0.02763717450666216,486.70988441395167,True,True
27860,Male,0.37129516849370686,0.4045704612780364,-0.03327529278432956,0.07015050115649982,0.0708761968503016,72.0,True,True
30020,Male,0.46664249456127627,0.44572579168954785,0.02091670287172842,0.03961898357751589,0.07589461603914673,143.0,True,True
24500,Male,0.42444430310567455,0.3614536015574302,0.06299070154824432,0.053984634070192036,0.06425235065453269,56.83239145022816,False,True
23420,Female,0.43853714285714285,0.4309695494419694,0.007567593415173435,0.021607000457535663,0.024788356532522305,780.0,True,True
26580,Male,0.38249889519177616,0.42069720751962036,-0.03819831232784421,0.03744275399448489,0.04162857612614362,195.97141438262034,False,True
49660,Female,0.4449656287909422,0.4206769329483478,0.02428869584259441,0.03507538324988617,0.047396318239473004,212.0,True,True
13780,Female,0.44965053727106247,0.46705776173285196,-0.017407224461789494,0.043189846920234844,0.041796641932092427,200.27442945478984,True,True
47380,Female,0.3346517854060445,0.3054065208419315,0.029245264564113027,0.04789237267834492,0.05513649629429406,147.0408041980246,True,True
28660,Male,0.38266775101594097,0.35052978088674003,0.03213797012920094,0.030603247635544877,0.03876051473932881,291.0821059479837,False,True
36220,Female,0.25015792798483893,0.2421875,0.007970427984838935,0.057743395971364644,0.06593552167480948,57.0,True,True
48700,Female,0.37685363229162855,0.4041019955654102,-0.02724836327378166,0.05735472229448352,0.07328455853216347,98.74179765422465,True,True
30140,Female,0.4752160072760346,0.4498968126576473,0.025319194618387275,0.06027707872903617,0.07512484237319737,63.0,True,True
41180,Female,0.40495980589151914,0.40781956738017827,-0.0028597614886591294,0.017142255021054056,0.018724284660096145,1353.8051479535236,True,True
12100,Female,0.47969685628742514,0.4719924812030075,0.007704375084417625,0.03829283384823538,0.04980475856403763,208.0,True,True
45300,Female,0.42937803955003784,0.4426729986431479,-0.01329495909311007,0.014894789277279023,0.015399296673829237,1839.0,True,True
29460,Female,0.4097676107480029,0.4110273873351688,-0.0012597765871659172,0.03194139397112046,0.034459238905754,396.0,True,True
37860,Female,0.35231515016437287,0.3428919397697077,0.009423210394665149,0.03097035904003634,0.036564516704983605,229.0,True,True
46660,Male,0.39796489450781464,0.39958847736625513,-0.0016235828584404977,0.06481088989722886,0.06011396423538841,100.39918848999349,True,True
38340,Female,0.46912148448825747,0.5150818730249929,-0.0459603885367354,0.06990479160233033,0.07614525541434894,96.0,True,True
34740,Male,0.49278930706999646,0.5045148579871942,-0.011725550917197736,0.050997334278821346,0.06269746839668193,149.0,True,True
35660,Male,0.42280854775403404,0.4590019784568037,-0.03619343070276965,0.050311501343606756,0.07092257958137443,101.0,True,True
37140,Female,0.2783824217959321,0.33115671641791045,-0.05277429462197836,0.062276332018294356,0.03674416854374867,38.596277610962616,True,True
40420,Male,0.5062191510365252,0.5152808770738333,-0.009061726037308149,0.03920083609077131,0.04723401020961609,227.0,True,True
35380,Male,0.6215118487566841,0.6167629720422576,0.004748876714426475,0.021987382533481106,0.027584232174096574,870.0,True,True
43340,Female,0.5196537115801483,0.5046728971962616,0.014980814383886654,0.03672516728195013,0.04286226392543286,254.40376783184558,True,True
29180,Male,0.4921564583503375,0.4483303559158994,0.043826102434438075,0.04193697925571796,0.05099790398326898,229.67350602270358,False,True
29340,Female,0.3605730955011585,0.34784122562674097,0.012731869874417545,0.05026949122278161,0.05943263885884339,86.46411942493059,True,True
49420,Female,0.3784002778099317,0.3793340987370838,-0.000933820927152107,0.04256717943089443,0.05631140582500076,143.0,True,True
16220,Male,0.45163946103910485,0.5076765609007164,-0.056037099861611595,0.07611635754866586,0.06633194914160105,53.103604150365676,True,True
25860,Female,0.3052772064191964,0.32016165244723843,-0.014884446028042009,0.043058316615305216,0.04475727247688917,125.14381051488553,True,True
22900,Male,0.39639305466060615,0.3721328763511732,0.024260178309432945,0.0421519949519876,0.055262241951010274,114.99316403767371,True,True
46220,Female,0.36526639553516166,0.3942927278306229,-0.029026332295461255,0.04002619059173398,0.049282635417935955,118.51634357888668,True,True
37620,Male,0.4505371657194562,0.42000778513040093,0.030529380589055244,0.07197204287597805,0.06590619551304995,55.99989742954338,True,True
31740,Male,0.3001637256685465,0.2936893203883495,0.006474405280196993,0.0519578206608465,0.08542071038971726,77.0,True,True
45820,Male,0.4092929114506048,0.3969811320754717,0.012311779375133114,0.04048195713981315,0.049341654730897064,135.2146549754084,True,True
29940,Male,0.485679012345679,0.4472425081843364,0.03843650416134259,0.06401666556342216,0.08863828459783744,63.0,True,True
14860,Male,0.5594043721617911,0.5392205229403059,0.020183849221485195,0.02563536552198343,0.03440489382274701,631.0,True,True
29820,Female,0.4313308624570818,0.4303514231843893,0.000979439272692506,0.017219054542150336,0.020836655605345443,1391.0,True,True
41620,Female,0.32646662693426226,0.3228230028373896,0.003643624096872633,0.01510692058760383,0.02430215504979793,634.3968191872995,True,True
16300,Male,0.4925474341683064,0.4865009070536762,0.0060465271146301625,0.03937622937758364,0.06039186304141216,143.68076602104293,True,True
33700,Female,0.4322117763483424,0.42727044025157235,0.004941336096770055,0.03189937106918239,0.03630935971425502,343.0,True,True
47300,Female,0.4090854247104247,0.4185194087249129,-0.009433984014488195,0.03181016527466222,0.03829014220153863,297.0,True,True
42020,Female,0.3993127147766323,0.4006019975372828,-0.0012892827606504897,0.04348539538765871,0.05232794885898907,150.0,True,True
12260,Male,0.47731562657207377,0.4655365126676602,0.011779113904413552,0.03438793863199784,0.0327819602225155,390.8460565518651,True,True
22140,Female,0.4927446423477813,0.47268292682926827,0.020061715518513046,0.04814640547451904,0.07085178245282094,106.03287798614723,True,True
46540,Male,0.5600316750352737,0.5214902928964201,0.03854138213885361,0.04151823975838672,0.051512626242825946,324.52738170674616,True,True
27060,Female,0.38224990268587,0.4409448818897638,-0.05869497920389377,0.06907440713445628,0.08644123244159402,70.0,True,True
24020,Female,0.3738244514106583,0.3850881881346873,-0.011263736724029028,0.06437204328722931,0.06080777820758575,92.0,True,True
49620,Male,0.49504555429939484,0.4783011378671606,0.016744416432234233,0.03482780446677498,0.04804641687965102,284.0,True,True
42540,Female,0.46483802165699406,0.48766581992661584,-0.02282779826962178,0.027028243690961788,0.03424691157605501,372.31161445343395,True,True
16540,Female,0.2667915273192317,0.26874115983026875,-0.001949632511037025,0.046142877627752994,0.07855353938326753,49.11171377496733,True,True
28140,Female,0.3496252649078441,0.3445451664025357,0.005080098505308439,0.01197049013000361,0.018559043169146573,969.0460876934764,True,True
17860,Male,0.47594969712184465,0.4728456636187309,0.0031040335031137234,0.04609983311625943,0.05907447968771405,137.0973261525296,True,True
16020,Female,0.334448826628023,0.2423954372623574,0.0920533893656656,0.05906037403990273,0.06397623305858437,45.198781225200534,False,False
41140,Female,0.35141557449381516,0.3274215552523875,0.02399401924142769,0.05800158364305124,0.07004990638961683,67.44223899030393,True,True
13900,Male,0.46677651848565366,0.4795073692711488,-0.01273085078549513,0.06219193868654303,0.07814744616217362,90.76730704524405,True,True
45220,Male,0.544814373072068,0.5404543968617195,0.0043599762103485595,0.04077238438587086,0.039808727778135905,346.26162574045844,True,True
35840,Male,0.46677772489290814,0.46583792437726607,0.0009398005156420752,0.035342966795081115,0.03574028947922797,408.0,True,True
17980,Male,0.5226615805623019,0.4899240171787248,0.03273756338357714,0.04334983813440012,0.049981933964853995,241.97717803936683,True,True
47580,Male,0.40951666644852386,0.4182056129126072,-0.008688946464083358,0.06350963959549652,0.054786739011059675,99.58212961257937,True,True
40660,Female,0.28084868788386375,0.36993076162215627,-0.08908207373829252,0.07116636123336482,0.050620475531496185,30.23368218673288,False,False
21780,Male,0.3940648483368337,0.42275681222209555,-0.02869196388526185,0.04567787507857638,0.05143134158937172,169.465583008613,True,True
39300,Female,0.49816281115768773,0.4799582392003834,0.01820457195730435,0.02140370199632217,0.02465488239455656,1105.0,True,True
28020,Male,0.5202492211838006,0.4971969166082691,0.02305230457553148,0.045961522461053075,0.06571759226681012,174.0,True,True
44420,Female,0.3202678027216421,0.3216695826043489,-0.0014017798827067884,0.05637099065027834,0.06293243909292806,51.39234381448708,True,True
40220,Female,0.34203388530464574,0.33421346603026303,0.007820419274382706,0.03613668279897215,0.035656615283399605,126.19552980885165,True,True
33340,Male,0.566669783970822,0.5529120705370264,0.013757713433795615,0.01683578488435878,0.026995921935941917,842.0,True,True
11540,Female,0.29182751326031725,0.26580976863753214,0.02601774462278511,0.03593882955765474,0.05159444920341338,96.08944952356227,True,True
30460,Female,0.35109424925653215,0.32860376525147683,0.022490484005055322,0.03229365866322353,0.03552476234165931,244.88748025324546,True,True
21060,Male,0.41664316762266124,0.45471521942110177,-0.03807205179844053,0.06478258990873925,0.06570474186451915,78.78966268429994,True,True
24420,Female,0.3068085718866706,0.2657638595006348,0.0410447123860358,0.07157252281163276,0.05862909497860453,33.52891562546354,True,True
46520,Female,0.42049531304247195,0.4306209046560633,-0.010125591613591334,0.018416418901365354,0.027304384863192477,695.0,True,True
37900,Female,0.4006378789037306,0.3921996335398307,0.008438245363899866,0.03259807408408642,0.034647116456370516,218.36881234256654,True,True
43640,Female,0.3741888968997837,0.3684399282725643,0.0057489686272194085,0.04757919904363419,0.05477204873644535,101.0,True,True
26380,Male,0.3599550535779073,0.3400437636761488,0.0199112899017585,0.054048023750958976,0.051097237169000755,119.7189938184025,True,True
31020,Male,0.43911829646515244,0.47333333333333333,-0.03421503686818089,0.06410145292165122,0.07690894871179935,69.19219351200853,True,True
13380,Female,0.38100154878678366,0.3616910229645094,0.01931052582227427,0.04734448173022785,0.06326315737689088,151.0,True,True
38060,Male,0.5317916160319016,0.5267062550745865,0.005085360957315155,0.011530238596575036,0.01287134552978677,3941.5003689661307,True,True
39150,Male,0.4901516472023706,0.492223551529653,-0.0020719043272824367,0.07662038582236076,0.06145153866479385,121.0,True,True
22380,Male,0.537653947102766,0.5906714917571371,-0.05301754465437103,0.06342483264999012,0.06658676181855745,165.0,True,True
39580,Male,0.45166828041764806,0.44106569181344857,0.010602588604199492,0.019425621232010006,0.027514147207014283,841.7241489675505,True,True
48900,Male,0.5016273715964118,0.49376017362995117,0.007867197966460626,0.04528942974759725,0.04745696078870759,241.0,True,True
22520,Female,0.2720904714068927,0.31619747042023666,-0.04410699901334397,0.053288997427790134,0.060307724866341984,44.87743665980977,True,True
11500,Male,0.4904118201823326,0.5033133480593247,-0.012901527876992114,0.08933946512055481,0.1008775869478552,44.0,True,True
48620,Female,0.3160593617638577,0.3260691164402298,-0.010009754676372107,0.025247860107799197,0.03190584507279553,245.77721373683625,True,True
35980,Male,0.4822208359326263,0.48378321824649506,-0.0015623823138687376,0.04101276417660599,0.04199889553869019,227.0,True,True
15540,Male,0.4788562970440798,0.48713420787083755,-0.008277910826757773,0.041265684863661126,0.054542615068465,138.93092374905217,True,True
39340,Female,0.17998962914407218,0.17902434900236727,0.0009652801417049106,0.01850691608205795,0.023089613054936522,245.79424013762215,True,True
20220,Female,0.3074109156341679,0.31661991584852733,-0.009209000214359442,0.04831856099045437,0.05571907676667346,47.545322666409106,True,True
20100,Female,0.32948157401623984,0.2864493996569468,0.04303217435929302,0.045998923931586846,0.06729713438726638,73.0,True,True
32900,Female,0.4493292862038578,0.4290912667191188,0.020238019484739023,0.04485854329931838,0.05669153919531613,160.0,True,True
12540,Male,0.5114983146678265,0.5157660106556485,-0.004267695987822062,0.02462324977961167,0.031193274848762494,955.0,True,True
49700,Male,0.4772271555428244,0.4101818181818182,0.06704533736100621,0.055307256198722426,0.061777478986806494,118.0,False,True
17410,Female,0.4817486218906837,0.4780201755105388,0.0037284463801448564,0.015913469265931755,0.019447320156410805,1381.0,True,True
45780,Female,0.4654842508714087,0.45243405740884407,0.013050193462564641,0.02893437855158928,0.03098976361566905,325.3003066159717,True,True
15940,Female,0.4126126126126126,0.39421663126940043,0.018395981343212187,0.029840535494014667,0.041623998139452244,216.0,True,True
34980,Male,0.43551222886934365,0.4221908554720976,0.013321373397246039,0.01741848659204475,0.020586415151064113,1293.4278405165614,True,True
27180,Female,0.39679296723548746,0.3685944966221783,0.028198470613309157,0.05686531444235056,0.046881941160571136,101.67485103184335,True,True
40380,Female,0.46166592774158394,0.4606590450571621,0.0010068826844218393,0.022287988561778847,0.02779791348646516,733.9956126154727,True,True
19100,Female,0.35634043686591543,0.3540751072396642,0.0022653296262512557,0.008540227717595722,0.00899675564297342,3729.7619868746297,True,True
30980,Male,0.4192901345559409,0.3957442141055172,0.023545920450423696,0.04241131844089954,0.04669700862986836,213.3119965748453,True,True
25420,Male,0.5330188679245284,0.520557826400577,0.012461041523951333,0.0335414730354513,0.03286824725444749,456.0,True,True
33500,Female,0.18308851111444144,0.2728581713462923,-0.08976966023185087,0.08609794792939826,0.07839581276130154,21.272755904618265,False,True
33100,Male,0.5678189853699301,0.5675913182562119,0.000227667113718244,0.010467103726143302,0.011390510365318494,4476.311090101057,True,True
42680,Female,0.4147091722595078,0.41407753643112455,0.0006316358283832701,0.08867174339491565,0.07992724988959737,55.0,True,True
38940,Female,0.3911970382558618,0.4184815794830043,-0.027284541227142523,0.05102986050546436,0.0462539192067201,179.0,True,True
42340,Male,0.4655146002801725,0.46182768289574305,0.0036869173844294445,0.03625333626769399,0.033472303190150515,333.0552354603997,True,True
31340,Male,0.4008838383838384,0.41861648016276704,-0.017732641778928637,0.04531776329632481,0.054436158185799464,142.0,True,True
13980,Male,0.453243928959768,0.46029173419773095,-0.007047805237962945,0.051607370303868624,0.06937581412692757,98.0,True,True
29100,Female,0.3777546563697239,0.39118742242449317,-0.013432766054769285,0.05383088163996849,0.08367952040242255,77.15423347814955,True,True
22540,Female,0.30097253272742214,0.38985841290747447,-0.08888588018005233,0.08495015400537777,0.08582699792816713,51.91055047643771,False,True
36980,Male,0.353759475423519,0.3896303901437372,-0.035870914720218194,0.06144878957059426,0.08122672872062486,47.82043663483738,True,True
