cbsa,sex,band,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
25220,Male,25-29,4607.2133909019385,4669,-61.78660909806149,162.0,171.3818113531888,True,True
29340,Male,45-49,6952.7657086730505,6898,54.76570867305054,181.0,351.00414250938536,True,True
29340,Male,35-39,8183.479604033228,8882,-698.5203959667724,562.0,787.3726716783772,False,True
29340,Male,40-44,6970.193133932121,6766,204.19313393212087,581.0,707.1501050338171,True,True
16300,Female,25-29,9234.44351429509,8594,640.4435142950897,59.0,363.1763590022518,False,False
26980,Male,35-39,6314.701484677835,6061,253.70148467783474,471.0,750.5598204540828,True,True
16300,Male,60-64,9205.60629804188,8969,236.6062980418792,705.0992837891697,721.1859937231843,True,True
20220,Male,40-44,2847.1217399300253,2756,91.12173993002534,297.0,282.1804040957521,True,True
26980,Female,50-54,4279.191383006866,4181,98.19138300686609,113.0,320.07142161703547,True,True
26980,Female,65-69,4249.771203582232,4342,-92.22879641776763,413.4948609112331,433.1688938360409,True,True
26980,Male,45-49,4575.7675400702265,4663,-87.23245992977354,140.0,259.3849033458795,True,True
26980,Male,40-44,5188.760645244595,5463,-274.23935475540475,457.0,729.4440069664593,True,True
11180,Male,45-49,3009.0,3115,-106.0,105.0,209.13152263886477,False,True
17980,Male,65-69,8589.908171866657,8743,-153.09182813334337,641.775661738586,439.21370840843986,True,True
12220,Male,18-24,16657.687229675415,17616,-958.3127703245846,1256.9248187540893,549.1994433485207,True,True
12220,Male,30-34,6625.044787567139,6352,273.0447875671389,71.0,318.0494578745054,False,True
17980,Male,50-54,9014.713273626425,9094,-79.28672637357522,272.0,367.21388920652515,True,True
26620,Female,60-64,18703.774311360263,18456,247.7743113602628,990.9656906270772,1059.2389844609145,True,True
46220,Male,60-64,7667.772159338672,7813,-145.22784066132772,667.8689991308175,582.3539850063034,True,True
22520,Female,65-69,4689.210054942834,4844,-154.78994505716582,411.80820778610035,388.5330652766657,True,True
26420,Female,60-64,202060.5915565196,202592,-531.4084434804099,3910.908334389851,3367.144377695863,True,True
12420,Female,60-64,63685.52767291663,63681,4.527672916628944,2046.0738012105037,1606.1161687758588,True,True
13140,Male,18-24,17612.0,17542,70.0,997.6542487254791,467.23733979103173,True,True
19100,Female,30-34,303184.7714479293,303992,-807.2285520706791,343.0,924.2023426939802,False,True
