cbsa,est,published,gap_pct,pub_moe,moe,pass_4pct,pass_combined_moe,gq_flag
28740,14098.018289085538,14627.0,-3.6164744029155838,316.0,813.2821011386736,True,True,False
24020,3942.0,4065.0,-3.025830258302583,86.0,324.60001837838826,True,True,False
16580,14870.431097131921,15583.0,-4.5727324832707374,367.0,957.9991725991074,False,True,False
17140,45534.94608672623,45663.0,-0.28043254554840585,543.0,1245.034153522139,True,True,False
18140,48694.014098881955,49401.0,-1.431116578850722,625.0,1618.9651049011343,True,True,False
42020,15806.0,15107.0,4.626994108691336,170.0,787.1641273687782,False,True,False
34900,4285.0,4066.0,5.386128873585834,6401.0,483.93190874207716,False,True,False
46140,17130.994907454173,16824.0,1.8247438626615122,134.0,622.2506544494772,True,True,False
25060,7380.233239494486,6631.0,11.298947964024823,109.0,570.1508740838088,False,False,True
48900,8032.0,7934.0,1.2351903201411647,124.0,556.290017506606,True,True,False
24140,2958.0,2870.0,3.0662020905923346,77.0,268.9861727835652,True,True,False
14580,3965.0,4518.0,-12.239929172200089,68.0,366.69998187891963,False,False,True
17900,31266.152036693504,30889.0,1.2209914101897237,287.0,1136.6036434815412,True,True,False
17860,10991.867287192556,11987.0,-8.301766186764366,246.0,558.6937442726713,False,False,True
15260,1453.52913046829,1514.0,-3.994112914908185,29.0,232.90732693200923,True,True,False
36740,49698.0,50005.0,-0.6139386061393861,516.0,1932.0716180407883,True,True,False
37340,8736.0,8545.0,2.235225277940316,118.0,351.4722567643142,True,True,False
48680,6429.0,7861.0,-18.216511894161048,137.0,372.65404624128263,False,False,True
10900,24572.0,24664.0,-0.37301329873499833,496.0,1036.413121688813,True,True,False
25180,8737.985520619432,8736.0,0.02272802906858464,332.0,1800.588670814561,True,True,False
27980,2267.401366294823,2603.0,-12.89276349232335,219.0,340.3984597392286,False,True,False
46520,34191.0,34231.0,-0.11685314481025971,234.0,643.099700740484,True,True,False
39740,13868.0,13629.0,1.7536136180203978,289.0,814.8527051682408,True,True,False
38300,64662.10203108371,65802.0,-1.7323150799615332,590.0,1822.994430121815,True,True,False
16540,1848.4613935969878,1761.0,4.9665754455984,58.0,231.12918464350489,False,True,False
30460,16524.364709406225,16427.0,0.5927114470458714,179.0,794.1472926992149,True,True,False
41100,2840.0,2722.0,4.335047759000735,89.0,443.10938465575293,False,True,False
34100,1939.8404921960882,2252.0,-13.861434627171926,52.0,274.2545410205479,False,False,True
41180,57743.45606864765,57462.0,0.4898125172246825,454.0,1414.2496779678313,True,True,False
37140,2367.513336279597,1741.0,35.98583206660522,56.0,186.02939342871355,False,False,True
22900,3121.412129055421,3029.0,3.0509121510538395,50.0,339.5441030978475,True,True,False
31900,6866.0,6805.0,0.896399706098457,212.0,449.24118758329587,True,True,False
49660,10404.0,10149.0,2.512562814070352,99.0,761.5841916098312,True,True,False
12540,25205.0,25600.0,-1.54296875,770.0,1086.2017336883143,True,True,False
46700,10277.0,10461.0,-1.7589140617531787,130.0,952.4080495768344,True,True,False
17020,6319.0,6344.0,-0.39407313997477933,104.0,509.5261036566233,True,True,False
30020,10500.0,9649.0,8.819566794486475,167.0,819.3980138163931,False,False,True
10180,12262.935282814118,12808.0,-4.255658316566848,198.0,646.9809885226094,False,True,False
29700,2626.0,2720.0,-3.4558823529411766,184.0,368.0356187602635,True,True,False
46340,6367.0,6461.0,-1.45488314502399,78.0,518.366228603147,True,True,False
33340,27094.0,26344.0,2.846948071667173,284.0,1011.1921508305186,True,True,False
24660,27934.844559524998,28171.0,-0.8382927140499175,408.0,1092.7359264501195,True,True,False
33660,8086.0,8006.0,0.9992505620784412,152.0,492.45678987856394,True,True,False
27620,9586.24485768271,9115.0,5.169992953183873,176.0,600.8327066725404,False,True,False
46660,5272.057653653604,5297.0,-0.4708768424843559,103.0,451.15432953972135,True,True,False
12100,7818.0,7664.0,2.009394572025052,194.0,661.2296396581902,True,True,False
13020,1261.1329561573546,1119.0,12.701783392078156,15.0,153.60986835338346,False,True,False
14020,14618.135103121518,14625.0,-0.04693946583577358,392.0,1150.1877062787053,True,True,False
18020,1129.6368377409008,1089.0,3.7315737135813385,23.0,162.00352385534725,True,True,False
29200,16654.964795321262,16742.0,-0.5198614542989936,295.0,953.4020124249029,True,True,False
21500,13699.0,13439.0,1.9346677580177096,173.0,650.7165488425048,True,True,False
16620,3524.165139512239,3314.0,6.341736255649938,39.0,371.61673712956576,False,True,False
37620,1061.2254490380892,1091.0,-2.729106412640769,18.0,116.56094267068846,True,True,False
41620,16860.33202247191,16873.0,-0.07507839464286124,227.0,834.6518899616188,True,True,False
