cbsa,sex,band,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
13220,Male,25-34,hs_or_less,4466.0,4416,50.0,520.7965053646194,534.32729865224,True,True
13380,Male,25-34,hs_or_less,5141.0,5385,-244.0,544.0349253494669,563.0438753951596,True,True
13460,Male,25-34,hs_or_less,5978.0,6113,-135.0,612.5055101792963,579.8425496568012,True,True
13740,Male,25-34,hs_or_less,4630.965667212912,5178,-547.0343327870878,582.5238192554876,602.2790481799998,True,True
13780,Male,25-34,hs_or_less,5638.670264883501,5101,537.6702648835007,548.978141641359,471.21268785031197,True,True
13820,Male,25-34,hs_or_less,30447.82648507213,30327,120.82648507213162,1420.9781842097366,1512.141425049912,True,True
13900,Male,25-34,hs_or_less,3041.3354249423837,3131,-89.66457505761628,488.99591000334556,498.9628196824191,True,True
13980,Male,25-34,hs_or_less,3745.0,3898,-153.0,437.14299719885713,530.4185098910106,True,True
14010,Male,25-34,hs_or_less,2712.0,2719,-7.0,348.4207226902556,405.0615011683411,True,True
14020,Male,25-34,hs_or_less,3139.366457976709,2939,200.36645797670917,346.15025639164276,442.2847613011692,True,True
14260,Male,25-34,hs_or_less,21962.428664636966,21008,954.4286646369656,1065.5350768510627,1339.4378212870379,True,True
14460,Male,25-34,hs_or_less,87505.76231865748,87589,-83.23768134252168,2634.546070957955,2414.7014137234437,True,True
14500,Male,25-34,hs_or_less,4113.142018762635,3589,524.1420187626354,442.712096062441,485.5615364652076,False,True
14540,Male,25-34,hs_or_less,5020.0633220651935,5095,-74.93667793480654,548.2745662530773,502.5811019502923,True,True
14580,Male,25-34,hs_or_less,2647.0,2265,382.0,480.8419698819977,519.8254659522752,True,True
14740,Male,25-34,hs_or_less,7935.0,7912,23.0,667.57321695826,700.8655656668403,True,True
14860,Male,25-34,hs_or_less,16542.0,16611,-69.0,1086.8767179399879,1191.9933228876537,True,True
15180,Male,25-34,hs_or_less,12965.0,12650,315.0,990.2504733651987,896.2843298522797,True,True
15260,Male,25-34,hs_or_less,3521.6737585416486,3644,-122.32624145835143,456.55339227739836,386.4099050318267,True,True
15380,Male,25-34,hs_or_less,24107.0,24300,-193.0,1058.8904570350985,1446.3952839352044,True,True
15500,Male,25-34,hs_or_less,4691.0,4696,-5.0,561.6021723604708,563.6368717467835,True,True
15540,Male,25-34,hs_or_less,3839.98624510177,4056,-216.01375489823022,486.96406438257844,653.2997393031674,True,True
15940,Male,25-34,hs_or_less,10366.0,10432,-66.0,703.4017344306168,724.1077178267402,True,True
15980,Male,25-34,hs_or_less,21625.0,21302,323.0,1405.1224145959668,1348.6970679668955,True,True
16020,Male,25-34,hs_or_less,3023.1059111595127,2473,550.1059111595127,337.5277766347534,277.28184057037237,False,False
16180,Male,25-34,hs_or_less,2049.0057104633747,2179,-129.99428953662527,312.1858420876898,214.5915101300476,True,True
16220,Male,25-34,hs_or_less,2083.7823739209643,2243,-159.21762607903565,363.0110191165001,245.04467145441515,True,True
16300,Male,25-34,hs_or_less,5999.1195784035735,6020,-20.88042159642646,543.2154268796129,773.2667534165516,True,True
16540,Male,25-34,hs_or_less,5867.965897766513,5380,487.9658977665131,555.2422894556934,717.008862529391,True,True
16580,Male,25-34,hs_or_less,4567.5827979310925,4148,419.5827979310925,565.2132340984241,563.0892571509661,True,True
16620,Male,25-34,hs_or_less,5862.81937157808,5745,117.81937157807988,557.654014600451,627.1725992123106,True,True
16700,Male,25-34,hs_or_less,19151.0,18796,355.0,1403.1396936869828,1270.0964464839865,True,True
16740,Male,25-34,hs_or_less,64427.398553163264,62987,1440.3985531632643,2311.057333776036,2054.6403578155755,True,True
16820,Male,25-34,hs_or_less,3936.1248447432813,3455,481.1248447432813,480.1468525357633,503.8646947482658,False,True
16860,Male,25-34,hs_or_less,14581.49289731461,14134,447.4928973146107,1014.0853021319261,971.3876494075212,True,True
16940,Male,25-34,hs_or_less,1553.0,2084,-531.0,446.64303420069143,345.94119245545187,False,True
16980,Male,25-34,hs_or_less,193021.8560329047,194056,-1034.1439670952968,4103.178524022565,3711.9271604280016,True,True
17020,Male,25-34,hs_or_less,4588.0,4537,51.0,495.5592800059343,513.4337254578238,True,True
17140,Male,25-34,hs_or_less,55593.97410204836,54897,696.9741020483634,1774.172764980908,2120.5481196670175,True,True
17300,Male,25-34,hs_or_less,11237.422079086306,11493,-255.57792091369447,831.0252703738918,1008.8234456698046,True,True
17410,Male,25-34,hs_or_less,51736.0,52726,-990.0,1837.8305144925632,2301.3512079132447,True,True
17420,Male,25-34,hs_or_less,3691.0,3768,-77.0,435.0850491570585,452.52556721554424,True,True
17660,Male,25-34,hs_or_less,4341.1398654686345,4474,-132.86013453136547,632.0363913573332,672.8511225175341,True,True
17780,Male,25-34,hs_or_less,6115.937125259812,6310,-194.0628747401879,548.0218973727236,526.84936105572,True,True
17820,Male,25-34,hs_or_less,19995.0,19871,124.0,1203.3391043259585,1446.32250506068,True,True
17860,Male,25-34,hs_or_less,4859.971971466208,4664,195.97197146620783,547.3298822465297,621.0319180265429,True,True
17900,Male,25-34,hs_or_less,21199.879371236755,20594,605.8793712367551,1350.9141349471477,1317.6289848743143,True,True
17980,Male,25-34,hs_or_less,10994.24939997726,10779,215.2493999772596,804.1057144430699,873.2563138193718,True,True
18020,Male,25-34,hs_or_less,3040.172752729466,2927,113.17275272946608,407.23703171494606,299.239265370076,True,True
18140,Male,25-34,hs_or_less,55786.46491475175,57024,-1237.5350852482516,1827.1918344826304,2238.6750457283915,True,True
18580,Male,25-34,hs_or_less,14553.045596651129,14574,-20.954403348870983,957.4701039719204,1108.740182450145,True,True
18700,Male,25-34,hs_or_less,2234.075485291168,1529,705.0754852911682,343.7920883324688,292.6759218661599,False,False
18880,Male,25-34,hs_or_less,8591.74049184265,8354,237.74049184264913,844.6448957994122,664.9603315231187,True,True
19100,Male,25-34,hs_or_less,202587.96719828405,203064,-476.03280171594815,4522.832519561165,4054.888873498811,True,True
19140,Male,25-34,hs_or_less,5489.778243747789,5516,-26.22175625221098,532.274365341785,487.9257149813375,True,True
19300,Male,25-34,hs_or_less,5183.0,5130,53.0,804.4407995620312,855.9567462217353,True,True
19340,Male,25-34,hs_or_less,8807.510064026703,8544,263.5100640267028,599.5439933816367,669.967417801301,True,True
