cbsa,alpha,beta,n_fit_points,fallback,val_p90_rel_err
24860,0.25756909811208534,-0.5211216841818731,94,False,0.3895694603886439
25060,0.3480748343081269,-0.562614375112228,81,False,0.551541539188047
25180,0.3527580519715105,-0.5732853501843798,71,False,0.36272281853278954
25220,0.6863385361051876,-0.6938959917203494,48,False,0.3880175585251508
25260,0.4629623457666327,-0.5788796049578927,59,False,0.4959744304733458
25420,0.35837366168300056,-0.542235137749254,83,False,0.6262159238508813
25500,0.5150536753226176,-0.601978230841172,58,False,0.30110073095455936
25540,0.38581641772431086,-0.5497865569718291,101,False,0.43395310065798837
25620,0.45191228568695596,-0.6123697838336831,58,False,0.3149666678535317
25740,0.07474888671950478,-0.609690088198583,49,False,0.5956797031591925
25860,0.3192993447498913,-0.559849239566113,68,False,0.47843219975493795
25940,0.20767612227162988,-0.5400689651033075,67,False,0.3397949335485107
25980,0.2823412931945694,-0.597150955093464,47,False,0.6075523964388871
26140,0.36253082384104973,-0.5847249911177609,43,False,0.23675934072932608
26300,0.2694885104091015,-0.6134079292727264,44,False,0.7379535346203421
26380,0.20112544868897347,-0.550850232891544,55,False,0.3678737041785876
26420,0.6323752259737884,-0.5634385067086402,111,False,0.4599228330958142
26580,0.49146396673361553,-0.6116289886732427,62,False,0.3062804141976046
26620,0.35746152899245404,-0.547973726182196,86,False,0.2750581234875413
26820,0.3446713229303098,-0.5767881680928701,57,False,0.8124107270430806
26900,0.3507198379367157,-0.5361283537881442,103,False,0.35238517587305734
26980,0.3788454295742314,-0.5713014183048051,65,False,0.4220470492473022
27060,0.3825878539865655,-0.5634120150247698,68,False,0.4539694665599518
27100,0.504224706023529,-0.5875440568420606,57,False,0.2854837453802061
27140,0.44027876719397135,-0.5727530106692384,84,False,0.3633149164449336
27180,0.34849194687190127,-0.5779968897828269,63,False,0.30233815049696433
27260,0.40912282624499363,-0.5475769564359881,101,False,0.4579292341729694
27340,0.316428279888045,-0.5509943428785531,64,False,0.39750292992633085
27500,0.5350599597090153,-0.5967029302833705,58,False,0.6371950806953992
27620,0.2057899111509664,-0.5693540341009455,56,False,0.25132875476963235
