cbsa,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
10180,1,14308.097765260774,13668,640.0977652607744,1007.5534725263965,949.9156381565191,True,True
10420,1,56509.0,57366,-857.0,2115.2805960439387,2513.0211186090337,True,True
10500,1,12407.12886940705,12255,152.12886940704993,934.2103617494296,928.9432398668741,True,True
10540,1,8773.065895154214,9440,-666.9341048457864,788.7268221634155,818.0296009580976,True,True
10580,1,54329.741980474246,54850,-520.2580195257542,1998.3520710825708,2148.170135630982,True,True
10740,1,67955.60421962771,68609,-653.3957803722878,2283.8971080151573,2584.865666470132,True,True
10780,1,13023.468813485208,12314,709.4688134852076,854.2476221798922,659.4727556472711,True,True
10900,1,57219.0,56659,560.0,2008.124000155369,2110.769428328803,True,True
11020,1,10882.061013763408,11110,-227.93898623659152,687.7339601910029,737.5049169946142,True,True
11100,1,19776.976895632,20706,-929.0231043679996,1186.2900151312074,1090.8388955247585,True,True
11180,1,9112.0,9171,-59.0,724.1643459878427,836.8152349533318,True,True
11200,1,10702.371933019676,9941,761.3719330196764,917.1270359116015,827.0782464025503,True,True
11260,1,19796.745047606513,18912,884.7450476065133,1196.412972179757,1335.8187852027913,True,True
11460,1,21957.0,22470,-513.0,1217.8045820245545,1438.7341063183808,True,True
11500,1,11270.0,10771,499.0,876.6675538652038,899.9649020475744,True,True
11540,1,17251.810662150892,16377,874.8106621508923,972.7317204656174,1376.0732944777708,True,True
11700,1,32128.1000180316,31791,337.1000180316005,1763.4559818719604,1438.0604304646586,True,True
12020,1,18522.4598532318,17370,1152.4598532318014,1214.6522135986086,1331.6664462321078,True,True
12060,1,344590.2732658025,348149,-3558.726734197524,5608.526009567933,5260.086369826891,True,True
12100,1,26175.0,26575,-400.0,1548.6038873772725,1489.739510263875,True,True
12220,1,14667.976443279003,13773,894.9764432790034,989.5180645142361,806.8730606934946,True,True
12260,1,45969.11265831468,44938,1031.1126583146834,2006.9588934504861,2019.346697051987,True,True
